series,year,month,value,unit,src
CATL,2025,1,8.8,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
CATL,2025,2,8.6,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
CATL,2025,3,12.6,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
CATL,2025,4,10.3,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
CATL,2025,5,11.1,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
CATL,2025,6,12.3,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
CATL,2025,7,10.9,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
CATL,2025,8,9.9,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
CATL,2025,9,13.3,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
CATL,2025,10,12.8,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
CATL,2025,11,12.7,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
CATL,2025,12,15.4,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
CATL,2026,1,11.3,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
CATL,2026,2,11.0,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
CATL,2026,3,18.5,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
CATL,2026,4,15.3,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
CATL,2026,5,15.5,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
CATL,2026,6,18.9,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
Grand Total,2025,1,28.8,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
Grand Total,2025,2,29.6,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
Grand Total,2025,3,41.7,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
Grand Total,2025,4,34.4,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
Grand Total,2025,5,37.4,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
