series,year,month,value,unit,src
글로벌,2025,1,64.9,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2025,2,64.4,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2025,3,94.9,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2025,4,85.6,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2025,5,93.6,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2025,6,103.9,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2025,7,95.0,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2025,8,102.0,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2025,9,125.1,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2025,10,109.3,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2025,11,115.9,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2025,12,134.6,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2026,1,73.5,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2026,2,62.5,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2026,3,111.0,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2026,4,108.2,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2026,5,117.7,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2026,6,135.6,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌(중국 제외),2025,1,28.8,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌(중국 제외),2025,2,29.6,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌(중국 제외),2025,3,41.7,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌(중국 제외),2025,4,29.6,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌(중국 제외),2025,5,37.4,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌(중국 제외),2025,6,41.4,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌(중국 제외),2025,7,38.4,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌(중국 제외),2025,8,38.9,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌(중국 제외),2025,9,50.3,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌(중국 제외),2025,10,37.6,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌(중국 제외),2025,11,38.3,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌(중국 제외),2025,12,46.9,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌(중국 제외),2026,1,32.4,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌(중국 제외),2026,2,33.8,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌(중국 제외),2026,3,53.4,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌(중국 제외),2026,4,45.3,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌(중국 제외),2026,5,47.4,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌(중국 제외),2026,6,56.7,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
기타,2025,1,5.6,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
기타,2025,2,6.2,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
기타,2025,3,8.4,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
기타,2025,4,2.2,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
기타,2025,5,8.5,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
기타,2025,6,9.2,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
기타,2025,7,8.6,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
기타,2025,8,9.1,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
기타,2025,9,10.4,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
기타,2025,10,10.8,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
기타,2025,11,9.6,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
기타,2025,12,11.3,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
기타,2026,1,10.2,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
기타,2026,2,10.5,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
기타,2026,3,15.4,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
기타,2026,4,14.3,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
기타,2026,5,15.1,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
기타,2026,6,17.0,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2025,1,8.6,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2025,2,8.8,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2025,3,11.3,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2025,4,10.2,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2025,5,11.0,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2025,6,10.0,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2025,7,12.1,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2025,8,14.9,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2025,9,16.5,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2025,10,6.4,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2025,11,5.9,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2025,12,8.0,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2026,1,5.6,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2026,2,6.6,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2026,3,8.0,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2026,4,8.5,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2026,5,9.3,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2026,6,9.4,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
유럽,2025,1,14.6,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
유럽,2025,2,14.5,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
유럽,2025,3,22.0,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
유럽,2025,4,17.1,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
유럽,2025,5,17.9,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
유럽,2025,6,22.2,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
유럽,2025,7,17.7,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
유럽,2025,8,15.0,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
유럽,2025,9,23.4,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
유럽,2025,10,20.4,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
유럽,2025,11,22.7,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
유럽,2025,12,27.6,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
유럽,2026,1,16.5,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
유럽,2026,2,16.7,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
유럽,2026,3,30.1,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
유럽,2026,4,22.5,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
유럽,2026,5,22.9,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
유럽,2026,6,30.3,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
