series,year,month,value,unit,src
완성차,2025,1,706.7,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
완성차,2025,2,688.2,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
완성차,2025,3,884.6,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
완성차,2025,4,764.3,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
완성차,2025,5,788.4,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
완성차,2025,6,804.0,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
완성차,2025,7,779.9,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
완성차,2025,8,766.2,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
완성차,2025,9,858.5,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
완성차,2025,10,870.5,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
완성차,2025,11,865.2,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
완성차,2025,12,891.2,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
완성차,2026,1,694.1,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
완성차,2026,2,643.5,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
완성차,2026,3,875.9,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
완성차,2026,4,769.4,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
완성차,2026,5,789.2,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
완성차,2026,6,826.4,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
전기차,2025,1,124.5,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
전기차,2025,2,120.6,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
전기차,2025,3,174.6,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
전기차,2025,4,156.1,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
전기차,2025,5,172.8,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
전기차,2025,6,190.5,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
전기차,2025,7,170.7,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
전기차,2025,8,181.8,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
전기차,2025,9,221.2,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
전기차,2025,10,202.2,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
전기차,2025,11,208.1,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
전기차,2025,12,227.1,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
전기차,2026,1,121.9,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
전기차,2026,2,107.6,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
전기차,2026,3,187.0,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
전기차,2026,4,174.8,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
전기차,2026,5,188.3,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
전기차,2026,6,211.1,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
침투율,2025,1,15.3,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
침투율,2025,2,13.0,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
침투율,2025,3,16.0,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
침투율,2025,4,16.9,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
침투율,2025,5,18.6,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
침투율,2025,6,19.6,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
침투율,2025,7,19.4,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
침투율,2025,8,21.0,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
침투율,2025,9,22.8,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
침투율,2025,10,22.3,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
침투율,2025,11,23.6,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
침투율,2025,12,24.1,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
침투율,2026,1,17.6,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
침투율,2026,2,16.7,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
침투율,2026,3,21.3,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
침투율,2026,4,22.7,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
침투율,2026,5,23.9,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
침투율,2026,6,25.5,만대·%,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
