series,year,month,value,unit,src
글로벌,2025,1,124.5,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2025,2,120.6,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2025,3,174.6,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2025,4,156.1,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2025,5,172.8,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2025,6,190.5,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2025,7,170.7,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2025,8,181.8,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2025,9,221.2,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2025,10,202.2,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2025,11,208.1,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2025,12,227.1,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2026,1,121.9,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2026,2,107.6,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2026,3,187.0,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2026,4,174.8,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2026,5,188.3,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
글로벌,2026,6,211.1,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2025,1,11.1,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2025,2,11.4,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2025,3,15.1,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2025,4,13.3,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2025,5,14.0,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2025,6,12.8,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2025,7,15.3,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2025,8,18.5,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2025,9,20.1,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2025,10,8.1,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2025,11,7.6,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2025,12,9.9,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2026,1,7.0,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2026,2,8.1,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2026,3,9.6,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2026,4,10.1,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2026,5,11.0,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
미국,2026,6,11.9,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
유럽,2025,1,25.7,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
유럽,2025,2,25.8,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
유럽,2025,3,39.2,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
유럽,2025,4,31.7,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
유럽,2025,5,33.2,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
유럽,2025,6,40.1,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
유럽,2025,7,33.5,만대,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
