year,month,mw,mwh,date
2020,1,18.4,30.0,2020-01-01
2020,2,13.7,24.0,2020-02-01
2020,3,24.8,40.0,2020-03-01
2020,4,18.200000000000003,13.3,2020-04-01
2020,5,15.0,31.599999999999998,2020-05-01
2020,6,2.3,4.5,2020-06-01
2020,7,253.20000000000002,1010.2,2020-07-01
2020,8,108.7,100.5,2020-08-01
2020,10,27.6,34.7,2020-10-01
2020,11,23.0,26.5,2020-11-01
2020,12,80.1,126.7,2020-12-01
2021,1,140.1,550.1,2021-01-01
2021,2,13.0,22.0,2021-02-01
2021,3,129.4,574.6,2021-03-01
2021,4,178.4,623.7,2021-04-01
2021,5,240.7,981.7,2021-05-01
2021,6,273.0,797.5,2021-06-01
2021,7,267.5,1019.3,2021-07-01
2021,8,67.4,199.0,2021-08-01
2021,9,174.5,408.8,2021-09-01
2021,10,516.8,647.1,2021-10-01
2021,11,710.3,2060.1,2021-11-01
2021,12,420.7,1147.7,2021-12-01
2022,1,75.3,161.5,2022-01-01
2022,2,72.5,278.0,2022-02-01
2022,3,247.9,851.8,2022-03-01
2022,4,750.7,2463.0,2022-04-01
2022,5,14.0,25.1,2022-05-01
2022,6,543.9,1292.3,2022-06-01
2022,7,395.5,612.8,2022-07-01
2022,8,569.3,1662.6,2022-08-01
2022,9,503.8,1707.9,2022-09-01
2022,10,725.0,1803.7,2022-10-01
2022,11,82.0,123.8,2022-11-01
2022,12,327.1,832.1,2022-12-01
2023,1,69.1,55.9,2023-01-01
2023,2,86.0,131.9,2023-02-01
2023,3,292.1,359.6,2023-03-01
2023,4,170.0,530.1,2023-04-01
2023,5,171.6,456.2,2023-05-01
2023,6,915.9,3234.9,2023-06-01
2023,7,1635.0,4688.6,2023-07-01
2023,8,480.6,1571.0,2023-08-01
2023,9,654.5,2112.9,2023-09-01
2023,10,253.9,798.5,2023-10-01
2023,11,472.3,1159.2,2023-11-01
2023,12,2033.5,4650.1,2023-12-01
2024,1,300.0,545.5,2024-01-01
2024,2,35.9,34.2,2024-02-01
2024,3,1046.4,1800.2,2024-03-01
2024,4,497.3,1863.2,2024-04-01
2024,5,1157.5,4332.8,2024-05-01
2024,6,1280.4,4210.9,2024-06-01
2024,7,763.2,2230.2,2024-07-01
2024,8,1296.8,3640.3,2024-08-01
2024,9,840.7,2048.6,2024-09-01
2024,10,773.8,2246.4,2024-10-01
2024,11,873.0,2881.6,2024-11-01
2024,12,2199.8,4715.0,2024-12-01
2025,1,346.1,738.7,2025-01-01
2025,2,533.9,1822.9,2025-02-01
2025,3,1025.3,3378.9,2025-03-01
2025,4,1323.5,5212.0,2025-04-01
2025,5,1812.7,4468.3,2025-05-01
2025,6,1714.7,4412.5,2025-06-01
2025,7,1675.3,5303.2,2025-07-01
2025,8,1054.9,3442.5,2025-08-01
2025,9,998.3,2395.9,2025-09-01
2025,10,1676.8,4336.3,2025-10-01
2025,11,1332.2,2973.1,2025-11-01
2025,12,2861.3,8214.4,2025-12-01
2026,1,950.4,1706.9,2026-01-01
2026,2,1081.9,1477.6000000000001,2026-02-01
2026,3,1270.1,2260.7,2026-03-01
2026,4,1721.3,4312.3,2026-04-01
2026,5,580.1,1955.2,2026-05-01
2026,6,2983.2,10356.4,2026-06-01
2026,7,1107.7,2828.8,2026-07-01
