month,brand,keyword,searches
2018-11,abib,abib,1600
2018-12,abib,abib,2400
2019-01,abib,abib,4400
2019-02,abib,abib,2900
2019-03,abib,abib,3600
2019-04,abib,abib,2900
2019-05,abib,abib,1600
2019-06,abib,abib,1600
2019-07,abib,abib,1600
2019-08,abib,abib,1600
2019-09,abib,abib,1900
2019-10,abib,abib,2400
2019-11,abib,abib,1600
2019-12,abib,abib,2900
2020-01,abib,abib,3600
2020-02,abib,abib,2900
2020-03,abib,abib,3600
2020-04,abib,abib,3600
2020-05,abib,abib,2400
2020-06,abib,abib,1900
2020-07,abib,abib,2400
2020-08,abib,abib,2400
2020-09,abib,abib,2400
2020-10,abib,abib,1900
2020-11,abib,abib,1900
2020-12,abib,abib,2900
2021-01,abib,abib,3600
2021-02,abib,abib,2400
2021-03,abib,abib,3600
2021-04,abib,abib,1900
2021-05,abib,abib,1600
2021-06,abib,abib,2400
2021-07,abib,abib,1900
2021-08,abib,abib,1900
2021-09,abib,abib,1900
2021-10,abib,abib,2400
2021-11,abib,abib,2400
2021-12,abib,abib,2900
2022-01,abib,abib,4400
2022-02,abib,abib,2900
2022-03,abib,abib,3600
2022-04,abib,abib,4400
2022-05,abib,abib,2400
2022-06,abib,abib,2400
2022-07,abib,abib,2400
2022-08,abib,abib,3600
2022-09,abib,abib,3600
2022-10,abib,abib,2900
2022-11,abib,abib,3600
2022-12,abib,abib,3600
2023-01,abib,abib,5400
2023-02,abib,abib,4400
2023-03,abib,abib,5400
2023-04,abib,abib,4400
2023-05,abib,abib,3600
2023-06,abib,abib,3600
2023-07,abib,abib,4400
2023-08,abib,abib,3600
2023-09,abib,abib,2900
2023-10,abib,abib,2900
2023-11,abib,abib,4400
2023-12,abib,abib,4400
2024-01,abib,abib,5400
2024-02,abib,abib,4400
2024-03,abib,abib,6600
2024-04,abib,abib,5400
2024-05,abib,abib,4400
2024-06,abib,abib,4400
2024-07,abib,abib,5400
2024-08,abib,abib,4400
2024-09,abib,abib,4400
2024-10,abib,abib,4400
2024-11,abib,abib,5400
2024-12,abib,abib,6600
2025-01,abib,abib,8100
2025-02,abib,abib,6600
2025-03,abib,abib,6600
2025-04,abib,abib,8100
2025-05,abib,abib,8100
2025-06,abib,abib,6600
