date,rank,asin,brand,product,kbeauty,price_krw,list_price_krw,rating,reviews,bought_month,bsr_beauty,bsr_sub,sub_note,note,access_date
2026-09-09,1,B08BW46XXK,Vanicream,데일리 페이셜 모이스처라이저 88.7ml,0,18734,,4.6,25672,,17,1,페이스 모이스처라이저,BSR은 사용자 화면 캡처 기준,2026-09-09
2026-09-09,2,B01N9SPQHQ,La Roche-Posay,Toleriane 더블 리페어,0,33512,,4.6,51517,,,,,,2026-09-09
2026-09-09,3,B0DWFLY18Y,Anua,PDRN 히알루론산 100 크림 59.74ml,1,28966,36207,4.5,,100000,24,3,페이스 모이스처라이저,K뷰티 크림 1위 · -20% 할인 중,2026-09-09
2026-09-09,4,B00TTD9BRC,CeraVe,모이스처라이징 크림 19oz,0,25425,,4.7,148140,,,,,,2026-09-09
2026-09-09,5,B0CZF2T7CK,L'Oreal Paris,Infallible 세팅 미스트,0,30695,,4.5,14043,,,,,,2026-09-09
2026-09-09,6,B00365DABC,CeraVe,PM 페이셜 로션,0,20075,,4.7,63173,,,,,,2026-09-09
2026-09-09,7,B0CM2PPNMW,medicube,콜라겐 젤리 크림 100ml,1,27584,,4.5,37046,30000,58,6,페이스 모이스처라이저,,2026-09-09
2026-09-09,8,B07PK2P2XB,Dr.Althea,345 릴리프 크림,1,36207,,4.6,21899,,67,7,페이스 모이스처라이저,한국 배송불가 리스팅 — 월구매 숨김,2026-09-09
2026-09-09,9,B00SNPCSUY,CeraVe,스킨 리뉴잉 나이트 크림,0,20705,,4.6,57050,,,,,,2026-09-09
2026-09-09,10,B0FVT77ZLL,Anua,PDRN 콜라겐 글로우 세럼 스프레이 100ml,1,28161,33525,4.5,6705,60000,85,2,페이스 미스트,-16% 할인 중,2026-09-09
2026-09-09,11,B0D2Z3GGCY,medicube,딥 비타민C 캡슐 크림 55g,1,26686,,4.6,27283,,91,8,페이스 모이스처라이저,한국 배송불가 리스팅 — 월구매 숨김,2026-09-09
2026-09-09,12,B0BBSP2JNQ,SimplyVital,레티놀 콜라겐 크림,0,32144,,4.4,37357,,,,,,2026-09-09
2026-09-09,13,B000NWGCZ2,Vanicream,모이스처라이징 크림 16oz,0,18184,,4.6,50078,,,,,,2026-09-09
2026-09-09,14,B077RTL1HJ,Illiyoon,세라마이드 아토 크림 200ml,1,33512,,4.7,8293,20000,161,10,페이스 모이스처라이저,,2026-09-09
2026-09-09,15,B0BFQ9RD5B,d'alba,화이트 트러플 스프레이 세럼 100ml,1,28148,,4.4,34610,,143,3,페이스 미스트,한국 배송불가 리스팅 — 월구매 숨김,2026-09-09
2026-09-09,16,B0GVQ6NYR3,medicube,PDRN 구아샤 넥 크림,1,40096,,4.5,696,,231,2,넥·데콜테,한국 배송불가 리스팅 · 신제품,2026-09-09
2026-09-09,17,B002JDUMFO,L'Oreal Paris,콜라겐 수분 크림,0,13397,,4.6,56562,,,,,,2026-09-09
2026-09-09,18,B0GF86QJK7,BIODANCE,콜라겐 펩타이드 젤리 세럼 미스트,1,22784,25479,4.6,4449,20000,239,4,페이스 미스트,-11% 할인 중 · 신제품,2026-09-09
2026-09-09,19,B0DFY92NDB,CENTELLIAN 24,Madeca 크림 타임 리버스 50ml,1,38876,,4.5,6743,50000,248,12,페이스 모이스처라이저,월구매는 9/8 검색카드 기준 · 한국 배송불가 리스팅,2026-09-09
2026-09-09,20,B01NCWV3KM,La Roche-Posay,Toleriane UV SPF30,0,33512,,4.6,29303,,,,,,2026-09-09
2026-09-09,21,B07N74F8NP,The Ordinary,NMF + 히알루론산,0,16762,,4.6,25985,,,,,,2026-09-09
2026-09-09,22,B0B3SCM1L6,Tower 28,SOS 데일리 레스큐 스프레이,0,16092,,4.6,5382,,,,,,2026-09-09
2026-09-09,23,B01LMMZY6O,IT Cosmetics,CC+ 크림 SPF50,0,52299,,4.5,34190,,,,,,2026-09-09
2026-09-09,24,B00CVZ3NJ2,Clinique,DD 모이스처라이징 로션+,0,45594,,4.7,20256,,,,,,2026-09-09
2026-09-09,25,B0BPXT3GBN,medicube,트리플 콜라겐 크림,1,26686,,4.6,10616,,283,16,페이스 모이스처라이저,한국 배송불가 리스팅 — 월구매 숨김,2026-09-09
2026-09-09,26,B01A74442I,Cliganic,유기농 호호바 오일,0,13383,,4.7,87831,,,,,,2026-09-09
2026-09-09,27,B001459IEE,Aveeno,데일리 모이스처라이징 로션,0,13370,,4.7,59793,,,,,,2026-09-09
2026-09-09,28,B07RW4CHC3,DRMTLGY,SPF46 틴트 모이스처라이저,0,41571,,4.1,39191,,,,,,2026-09-09
2026-09-09,29,B008C13146,Maybelline,드림 프레시 BB 크림,0,10715,,4.5,44860,,,,,,2026-09-09
2026-09-09,30,B00F97FHAW,CeraVe,AM 페이셜 로션 SPF30,0,20075,,4.5,97973,,,,,,2026-09-09
