brand,year,rev_eok,rev_note
medicube,2019,1590,APR 메디큐브 브랜드 연매출(억원)
medicube,2020,2199,
medicube,2021,2592,
medicube,2022,3977,
medicube,2023,5238,
medicube,2024,7228,
medicube,2025,15273,
beauty of joseon,2020,109,조선미녀(구다이글로벌) 연매출
beauty of joseon,2021,117,
beauty of joseon,2022,413,
beauty of joseon,2023,1396,
beauty of joseon,2024,3237,
beauty of joseon,2025,4564,
anua,2021,299,아누아(더파운더즈) 연매출
anua,2022,576,
anua,2023,1432,
anua,2024,4278,
anua,2025,7177,
cosrx,2018,365,코스알엑스 연매출
cosrx,2019,478,
cosrx,2020,803,
cosrx,2021,1233,
cosrx,2022,2044,
cosrx,2023,4862,
cosrx,2024,5898,
cosrx,2025,4562,
reedle shot,2020,1075,VT(018290) 연결 연매출 — 리들샷 견인
reedle shot,2021,2268,
reedle shot,2022,2402,
reedle shot,2023,2955,
reedle shot,2024,4317,
reedle shot,2025,4372,
d'alba,2020,470,달바글로벌 연매출
d'alba,2021,690,
d'alba,2022,1450,
d'alba,2023,2008,
d'alba,2024,3091,
d'alba,2025,5198,
manyo,2020,393,마녀공장 연매출
manyo,2021,626,
manyo,2022,1018,
manyo,2023,1050,
manyo,2024,1279,
manyo,2025,1130,
skin1004,2022,331,SKIN1004(크레이버) 연매출
skin1004,2023,950,
skin1004,2024,3181,
skin1004,2025,6780,
torriden,2023,673,토리든 연매출
torriden,2024,1860,
torriden,2025,2743,
madeca cream,2018,61,센텔리안24 화장품 수출(억원·DART 별도 제품-기타) — 노이즈 있음
madeca cream,2019,22,
madeca cream,2020,36,
madeca cream,2021,45,
madeca cream,2022,27,
madeca cream,2023,84,
madeca cream,2024,341,
madeca cream,2025,245,
