year,region,country_en,country_kr,hs,usd_k
2016,Africa,Nigeria,나이지리아,3304 Skincare/Makeup,9.0
2016,Africa,Nigeria,나이지리아,3306 Oral care,40.0
2016,Africa,Nigeria,나이지리아,3307 Shaving/Deo·Other,37.0
2016,Africa,South Africa,남아프리카공화국,3303 Perfume,0.0
2016,Africa,South Africa,남아프리카공화국,3304 Skincare/Makeup,424.0
2016,Africa,South Africa,남아프리카공화국,3305 Haircare,12.0
2016,Africa,South Africa,남아프리카공화국,3306 Oral care,0.0
2016,Africa,South Africa,남아프리카공화국,3307 Shaving/Deo·Other,358.0
2016,Asia,Bangladesh,방글라데시,3304 Skincare/Makeup,316.0
2016,Asia,Bangladesh,방글라데시,3305 Haircare,1740.0
2016,Asia,Bangladesh,방글라데시,3306 Oral care,15.0
2016,Asia,Bangladesh,방글라데시,3307 Shaving/Deo·Other,108.0
2016,Asia,Cambodia,캄보디아,3303 Perfume,1.0
2016,Asia,Cambodia,캄보디아,3304 Skincare/Makeup,7505.0
2016,Asia,Cambodia,캄보디아,3305 Haircare,1133.0
2016,Asia,Cambodia,캄보디아,3306 Oral care,132.0
2016,Asia,Cambodia,캄보디아,3307 Shaving/Deo·Other,331.0
2016,Asia,China,중국,3303 Perfume,1883.0
2016,Asia,China,중국,3304 Skincare/Makeup,1242590.0
2016,Asia,China,중국,3305 Haircare,120515.0
2016,Asia,China,중국,3306 Oral care,44699.0
2016,Asia,China,중국,3307 Shaving/Deo·Other,177778.0
2016,Asia,Hong Kong,홍콩,3303 Perfume,504.0
2016,Asia,Hong Kong,홍콩,3304 Skincare/Makeup,1078278.0
2016,Asia,Hong Kong,홍콩,3305 Haircare,21853.0
2016,Asia,Hong Kong,홍콩,3306 Oral care,2668.0
2016,Asia,Hong Kong,홍콩,3307 Shaving/Deo·Other,131147.0
2016,Asia,India,인도,3303 Perfume,0.0
2016,Asia,India,인도,3304 Skincare/Makeup,3441.0
2016,Asia,India,인도,3305 Haircare,1042.0
2016,Asia,India,인도,3306 Oral care,70.0
2016,Asia,India,인도,3307 Shaving/Deo·Other,153.0
2016,Asia,Indonesia,인도네시아,3303 Perfume,21.0
2016,Asia,Indonesia,인도네시아,3304 Skincare/Makeup,12415.0
2016,Asia,Indonesia,인도네시아,3305 Haircare,1090.0
2016,Asia,Indonesia,인도네시아,3306 Oral care,105.0
2016,Asia,Indonesia,인도네시아,3307 Shaving/Deo·Other,1152.0
