date,keyword,value
2021-09-05,centellian24,0
2021-09-05,madeca cream,0
2021-09-12,centellian24,0
2021-09-12,madeca cream,0
2021-09-19,centellian24,0
2021-09-19,madeca cream,0
2021-09-26,centellian24,0
2021-09-26,madeca cream,0
2021-10-03,centellian24,0
2021-10-03,madeca cream,0
2021-10-10,centellian24,0
2021-10-10,madeca cream,0
2021-10-17,centellian24,0
2021-10-17,madeca cream,0
2021-10-24,centellian24,0
2021-10-24,madeca cream,0
2021-10-31,centellian24,0
2021-10-31,madeca cream,0
2021-11-07,centellian24,0
2021-11-07,madeca cream,0
2021-11-14,centellian24,0
2021-11-14,madeca cream,0
2021-11-21,centellian24,0
2021-11-21,madeca cream,0
2021-11-28,centellian24,0
2021-11-28,madeca cream,0
2021-12-05,centellian24,0
2021-12-05,madeca cream,0
2021-12-12,centellian24,0
2021-12-12,madeca cream,0
2021-12-19,centellian24,0
2021-12-19,madeca cream,0
2021-12-26,centellian24,0
2021-12-26,madeca cream,0
2022-01-02,centellian24,0
2022-01-02,madeca cream,0
2022-01-09,centellian24,0
2022-01-09,madeca cream,0
2022-01-16,centellian24,0
2022-01-16,madeca cream,0
2022-01-23,centellian24,0
2022-01-23,madeca cream,0
2022-01-30,centellian24,0
2022-01-30,madeca cream,0
2022-02-06,centellian24,0
2022-02-06,madeca cream,0
2022-02-13,centellian24,0
2022-02-13,madeca cream,0
2022-02-20,centellian24,0
2022-02-20,madeca cream,0
2022-02-27,centellian24,0
2022-02-27,madeca cream,0
2022-03-06,centellian24,0
2022-03-06,madeca cream,0
2022-03-13,centellian24,0
2022-03-13,madeca cream,0
2022-03-20,centellian24,0
2022-03-20,madeca cream,0
2022-03-27,centellian24,0
2022-03-27,madeca cream,0
2022-04-03,centellian24,0
2022-04-03,madeca cream,0
2022-04-10,centellian24,0
2022-04-10,madeca cream,12
2022-04-17,centellian24,0
2022-04-17,madeca cream,0
2022-04-24,centellian24,0
2022-04-24,madeca cream,0
2022-05-01,centellian24,0
2022-05-01,madeca cream,0
2022-05-08,centellian24,0
2022-05-08,madeca cream,0
2022-05-15,centellian24,0
2022-05-15,madeca cream,0
2022-05-22,centellian24,0
2022-05-22,madeca cream,0
2022-05-29,centellian24,0
2022-05-29,madeca cream,0
2022-06-05,centellian24,0
2022-06-05,madeca cream,0
2022-06-12,centellian24,0
2022-06-12,madeca cream,0
2022-06-19,centellian24,0
2022-06-19,madeca cream,0
2022-06-26,centellian24,0
2022-06-26,madeca cream,0
2022-07-03,centellian24,0
2022-07-03,madeca cream,0
2022-07-10,centellian24,0
2022-07-10,madeca cream,0
2022-07-17,centellian24,0
2022-07-17,madeca cream,0
2022-07-24,centellian24,0
2022-07-24,madeca cream,0
2022-07-31,centellian24,0
2022-07-31,madeca cream,0
2022-08-07,centellian24,0
2022-08-07,madeca cream,0
2022-08-14,centellian24,0
2022-08-14,madeca cream,0
2022-08-21,centellian24,0
2022-08-21,madeca cream,0
2022-08-28,centellian24,0
2022-08-28,madeca cream,0
2022-09-04,centellian24,0
2022-09-04,madeca cream,0
2022-09-11,centellian24,0
2022-09-11,madeca cream,0
2022-09-18,centellian24,0
2022-09-18,madeca cream,0
2022-09-25,centellian24,0
2022-09-25,madeca cream,0
2022-10-02,centellian24,0
2022-10-02,madeca cream,0
2022-10-09,centellian24,0
2022-10-09,madeca cream,0
2022-10-16,centellian24,0
2022-10-16,madeca cream,0
2022-10-23,centellian24,0
2022-10-23,madeca cream,0
2022-10-30,centellian24,0
2022-10-30,madeca cream,0
2022-11-06,centellian24,0
2022-11-06,madeca cream,0
2022-11-13,centellian24,0
2022-11-13,madeca cream,0
2022-11-20,centellian24,0
2022-11-20,madeca cream,0
2022-11-27,centellian24,0
2022-11-27,madeca cream,0
2022-12-04,centellian24,0
2022-12-04,madeca cream,0
2022-12-11,centellian24,0
2022-12-11,madeca cream,0
2022-12-18,centellian24,0
2022-12-18,madeca cream,0
2022-12-25,centellian24,0
2022-12-25,madeca cream,0
2023-01-01,centellian24,0
2023-01-01,madeca cream,0
2023-01-08,centellian24,0
2023-01-08,madeca cream,0
2023-01-15,centellian24,0
2023-01-15,madeca cream,0
2023-01-22,centellian24,0
2023-01-22,madeca cream,0
2023-01-29,centellian24,0
2023-01-29,madeca cream,0
2023-02-05,centellian24,0
2023-02-05,madeca cream,0
2023-02-12,centellian24,0
2023-02-12,madeca cream,0
2023-02-19,centellian24,0
2023-02-19,madeca cream,0
2023-02-26,centellian24,0
2023-02-26,madeca cream,0
2023-03-05,centellian24,0
2023-03-05,madeca cream,0
2023-03-12,centellian24,0
2023-03-12,madeca cream,0
2023-03-19,centellian24,0
2023-03-19,madeca cream,0
2023-03-26,centellian24,0
2023-03-26,madeca cream,0
2023-04-02,centellian24,0
2023-04-02,madeca cream,0
2023-04-09,centellian24,0
2023-04-09,madeca cream,0
2023-04-16,centellian24,0
2023-04-16,madeca cream,0
2023-04-23,centellian24,0
2023-04-23,madeca cream,0
2023-04-30,centellian24,0
2023-04-30,madeca cream,0
2023-05-07,centellian24,0
2023-05-07,madeca cream,0
2023-05-14,centellian24,0
2023-05-14,madeca cream,0
2023-05-21,centellian24,0
2023-05-21,madeca cream,0
2023-05-28,centellian24,0
2023-05-28,madeca cream,0
2023-06-04,centellian24,0
2023-06-04,madeca cream,0
2023-06-11,centellian24,0
2023-06-11,madeca cream,0
2023-06-18,centellian24,0
2023-06-18,madeca cream,0
2023-06-25,centellian24,0
2023-06-25,madeca cream,0
2023-07-02,centellian24,0
2023-07-02,madeca cream,0
2023-07-09,centellian24,0
2023-07-09,madeca cream,0
2023-07-16,centellian24,0
2023-07-16,madeca cream,14
2023-07-23,centellian24,0
2023-07-23,madeca cream,0
2023-07-30,centellian24,0
2023-07-30,madeca cream,0
2023-08-06,centellian24,0
2023-08-06,madeca cream,0
2023-08-13,centellian24,0
2023-08-13,madeca cream,0
2023-08-20,centellian24,0
2023-08-20,madeca cream,0
2023-08-27,centellian24,0
2023-08-27,madeca cream,0
2023-09-03,centellian24,0
2023-09-03,madeca cream,0
2023-09-10,centellian24,0
2023-09-10,madeca cream,0
2023-09-17,centellian24,0
2023-09-17,madeca cream,0
2023-09-24,centellian24,0
2023-09-24,madeca cream,0
2023-10-01,centellian24,0
2023-10-01,madeca cream,0
2023-10-08,centellian24,0
2023-10-08,madeca cream,0
2023-10-15,centellian24,0
2023-10-15,madeca cream,0
2023-10-22,centellian24,0
2023-10-22,madeca cream,0
2023-10-29,centellian24,0
2023-10-29,madeca cream,0
2023-11-05,centellian24,0
2023-11-05,madeca cream,0
2023-11-12,centellian24,0
2023-11-12,madeca cream,0
2023-11-19,centellian24,0
2023-11-19,madeca cream,0
2023-11-26,centellian24,0
2023-11-26,madeca cream,0
2023-12-03,centellian24,0
2023-12-03,madeca cream,0
2023-12-10,centellian24,0
2023-12-10,madeca cream,0
2023-12-17,centellian24,0
2023-12-17,madeca cream,0
2023-12-24,centellian24,0
2023-12-24,madeca cream,0
2023-12-31,centellian24,0
2023-12-31,madeca cream,0
2024-01-07,centellian24,0
2024-01-07,madeca cream,0
2024-01-14,centellian24,0
2024-01-14,madeca cream,0
2024-01-21,centellian24,0
2024-01-21,madeca cream,0
2024-01-28,centellian24,0
2024-01-28,madeca cream,0
2024-02-04,centellian24,0
2024-02-04,madeca cream,0
2024-02-11,centellian24,0
2024-02-11,madeca cream,0
2024-02-18,centellian24,0
2024-02-18,madeca cream,0
2024-02-25,centellian24,0
2024-02-25,madeca cream,0
2024-03-03,centellian24,0
2024-03-03,madeca cream,0
2024-03-10,centellian24,0
2024-03-10,madeca cream,0
2024-03-17,centellian24,0
2024-03-17,madeca cream,0
2024-03-24,centellian24,0
2024-03-24,madeca cream,0
2024-03-31,centellian24,0
2024-03-31,madeca cream,0
2024-04-07,centellian24,0
2024-04-07,madeca cream,0
2024-04-14,centellian24,0
2024-04-14,madeca cream,0
2024-04-21,centellian24,0
2024-04-21,madeca cream,0
2024-04-28,centellian24,0
2024-04-28,madeca cream,0
2024-05-05,centellian24,0
2024-05-05,madeca cream,0
2024-05-12,centellian24,0
2024-05-12,madeca cream,0
2024-05-19,centellian24,0
2024-05-19,madeca cream,0
2024-05-26,centellian24,0
2024-05-26,madeca cream,0
2024-06-02,centellian24,0
2024-06-02,madeca cream,0
2024-06-09,centellian24,0
2024-06-09,madeca cream,0
2024-06-16,centellian24,0
2024-06-16,madeca cream,0
2024-06-23,centellian24,0
2024-06-23,madeca cream,0
2024-06-30,centellian24,0
2024-06-30,madeca cream,0
2024-07-07,centellian24,0
2024-07-07,madeca cream,0
2024-07-14,centellian24,0
2024-07-14,madeca cream,0
