date,product,asin,rating,reviews,bought_last_month,price_krw,note,source,access_date
2026-09-08,Madeca 크림 타임 리버스 50ml,,4.5,6700,50000,42303,히어로 제품 — 월 구매 5만+,amazon.com 검색 결과 직접 확인,2026-09-08
2026-09-08,Madeca 크림 타임 리버스 세트 2x50ml+마스크,B0GDQWJ658,4.5,6743,1000,69732,리뷰는 본품과 합산 표기 · BSR 뷰티 전체 #248 / 페이스 모이스처라이저 #12 · 별5 79%·별1 4% (2026-09-09 상세페이지 확인),amazon.com 상품 상세페이지,2026-09-09
2026-09-08,Madeca Mela 캡처 캡슐 크림 54.71ml,,4.6,597,900,33460,정가 47184 할인 판매 중,amazon.com 검색 결과 직접 확인,2026-09-08
2026-09-08,Madeca 크림 타임 리버스 Zero 79.85ml,,4.5,590,4000,47184,재고 7개 표시 — 재고 부족 신호,amazon.com 검색 결과 직접 확인,2026-09-08
2026-09-08,Madeca 크림 타임 리버스 2팩 50ml×2,,4.7,999,1000,62013,,amazon.com 검색 결과 직접 확인,2026-09-08
2026-09-08,360 Shot PDRN 액티브 세럼 50ml,,4.6,152,800,43139,재고 7개 표시 · 신제품 라인,amazon.com 검색 결과 직접 확인,2026-09-08
2026-09-11,Madeca 크림 타임 리버스 50ml,B0DFY92NDB,4.5,6856,,25177,딜 진행(정가 38106) · 남은 재고 3개 · BSR 뷰티 전체 #396 / 페이스 모이스처라이저 #17 · 한국 배송불가라 월구매 숨김,amazon.com 상품 상세페이지,2026-09-11
2026-09-11,Madeca 크림 타임 리버스 Zero 79.85ml,B0FVY91T1Q,4.5,602,3000,38015,정가 47082,amazon.com 검색 결과 직접 확인,2026-09-11
2026-09-11,Madeca 크림 타임 리버스 2팩 50ml×2,B0DJ8FQDYL,4.7,1000,1000,61879,,amazon.com 검색 결과 직접 확인,2026-09-11
2026-09-11,Madeca Mela 캡처 캡슐 크림 54.71ml,B0FN2T9V8J,4.6,605,900,33388,정가 47082,amazon.com 검색 결과 직접 확인,2026-09-11
2026-09-11,360 Shot PDRN 액티브 세럼 50ml,B0DSNLM3T1,4.6,156,900,43046,남은 재고 19개,amazon.com 검색 결과 직접 확인,2026-09-11
2026-09-11,Madeca 크림 시즌6 50.3ml,B0BS2T3QYF,4.4,142,400,25384,,amazon.com 검색 결과 직접 확인,2026-09-11
2026-09-11,Madeca 주름 캡처 스틱,B0BTX77JYZ,4.1,458,100,33630,남은 재고 7개,amazon.com 검색 결과 직접 확인,2026-09-11
