co,ticker,type,q,date,rev_eok,ebit_eok
LG생활건강,A051900,brand,2016Q1,2016-03-31,15193.8,2335.1
LG생활건강,A051900,brand,2016Q2,2016-06-30,15538.7,2253.9
LG생활건강,A051900,brand,2016Q3,2016-09-30,15634.8,2441.6
LG생활건강,A051900,brand,2016Q4,2016-12-31,14573.3,1778.7
LG생활건강,A051900,brand,2017Q1,2017-03-31,16007.1,2599.6
LG생활건강,A051900,brand,2017Q2,2017-06-30,15301.1,2324.9
LG생활건강,A051900,brand,2017Q3,2017-09-30,16087.5,2527.2
LG생활건강,A051900,brand,2017Q4,2017-12-31,15308.9,1851.8
LG생활건강,A051900,brand,2018Q1,2018-03-31,16592.2,2836.7
LG생활건강,A051900,brand,2018Q2,2018-06-30,16525.8,2672.5
LG생활건강,A051900,brand,2018Q3,2018-09-30,17372.4,2775.4
LG생활건강,A051900,brand,2018Q4,2018-12-31,16984.9,2107.9
LG생활건강,A051900,brand,2019Q1,2019-03-31,18747.7,3221.0
LG생활건강,A051900,brand,2019Q2,2019-06-30,18324.9,3015.0
LG생활건강,A051900,brand,2019Q3,2019-09-30,19648.7,3118.5
LG생활건강,A051900,brand,2019Q4,2019-12-31,20132.9,2409.7
LG생활건강,A051900,brand,2020Q1,2020-03-31,18963.6,3337.0
LG생활건강,A051900,brand,2020Q2,2020-06-30,17831.6,3032.8
LG생활건강,A051900,brand,2020Q3,2020-09-30,20705.7,3276.2
LG생활건강,A051900,brand,2020Q4,2020-12-31,20944.2,2562.7
LG생활건강,A051900,brand,2021Q1,2021-03-31,20366.7,3705.7
LG생활건강,A051900,brand,2021Q2,2021-06-30,20214.2,3357.7
LG생활건강,A051900,brand,2021Q3,2021-09-30,20103.4,3422.5
LG생활건강,A051900,brand,2021Q4,2021-12-31,20230.9,2410.3
LG생활건강,A051900,brand,2022Q1,2022-03-31,16449.8,1755.7
LG생활건강,A051900,brand,2022Q2,2022-06-30,18626.8,2165.9
LG생활건강,A051900,brand,2022Q3,2022-09-30,18703.5,1900.6
LG생활건강,A051900,brand,2022Q4,2022-12-31,18077.6,1289.0
LG생활건강,A051900,brand,2023Q1,2023-03-31,16837.2,1459.2
LG생활건강,A051900,brand,2023Q2,2023-06-30,18077.2,1578.5
LG생활건강,A051900,brand,2023Q3,2023-09-30,17461.8,1285.0
LG생활건강,A051900,brand,2023Q4,2023-12-31,15672.1,547.2
LG생활건강,A051900,brand,2024Q1,2024-03-31,17287.0,1510.3
LG생활건강,A051900,brand,2024Q2,2024-06-30,17596.7,1585.4
LG생활건강,A051900,brand,2024Q3,2024-09-30,17136.3,1060.8
LG생활건강,A051900,brand,2024Q4,2024-12-31,16099.2,434.0
LG생활건강,A051900,brand,2025Q1,2025-03-31,16978.8,1423.7
LG생활건강,A051900,brand,2025Q2,2025-06-30,16048.7,548.1
LG생활건강,A051900,brand,2025Q3,2025-09-30,15799.5,462.0
LG생활건강,A051900,brand,2025Q4,2025-12-31,14727.9,-726.9
LG생활건강,A051900,brand,2026Q1,2026-03-31,15765.9,1078.3
LG생활건강,A051900,brand,2026Q2,2026-06-30,16574.2,1027.8
네오팜,A092730,brand,2016Q2,2016-06-30,94.5,21.9
네오팜,A092730,brand,2016Q3,2016-09-30,84.4,21.0
네오팜,A092730,brand,2016Q4,2016-12-31,121.8,16.3
네오팜,A092730,brand,2017Q1,2017-03-31,130.9,42.5
네오팜,A092730,brand,2017Q2,2017-06-30,130.3,35.1
네오팜,A092730,brand,2017Q3,2017-09-30,114.7,25.0
네오팜,A092730,brand,2017Q4,2017-12-31,160.5,37.8
네오팜,A092730,brand,2018Q1,2018-03-31,166.3,56.9
네오팜,A092730,brand,2018Q2,2018-06-30,160.9,42.7
네오팜,A092730,brand,2018Q3,2018-09-30,143.8,34.5
네오팜,A092730,brand,2018Q4,2018-12-31,191.8,57.5
네오팜,A092730,brand,2019Q1,2019-03-31,198.5,63.3
네오팜,A092730,brand,2019Q2,2019-06-30,214.5,59.6
네오팜,A092730,brand,2019Q3,2019-09-30,191.2,50.5
네오팜,A092730,brand,2019Q4,2019-12-31,228.1,56.2
네오팜,A092730,brand,2020Q1,2020-03-31,192.9,63.0
네오팜,A092730,brand,2020Q2,2020-06-30,213.9,53.9
네오팜,A092730,brand,2020Q3,2020-09-30,179.2,36.3
네오팜,A092730,brand,2020Q4,2020-12-31,230.2,65.8
네오팜,A092730,brand,2021Q1,2021-03-31,229.6,67.0
네오팜,A092730,brand,2021Q2,2021-06-30,213.8,61.1
네오팜,A092730,brand,2021Q3,2021-09-30,194.5,34.5
네오팜,A092730,brand,2021Q4,2021-12-31,241.5,61.7
