company,brand,type,year,rev_eok,ebit_eok,fs,rcept_no,source,note
구다이글로벌,조선미녀,brand,2022,413.1,142.2,별도,20251118000238,DART 감사보고서,별도 사용: 연결은 티르티르·크레이버 등 인수 자회사 포함 → 중복 계상; 해당연도 보고서 없음 → 차기 보고서의 전기 수치
구다이글로벌,조선미녀,brand,2023,1395.5,689.1,별도,20250411000394,DART 감사보고서,별도 사용: 연결은 티르티르·크레이버 등 인수 자회사 포함 → 중복 계상
구다이글로벌,조선미녀,brand,2024,3216.8,1393.5,별도,20260413002195,DART 감사보고서,별도 사용: 연결은 티르티르·크레이버 등 인수 자회사 포함 → 중복 계상; 재작성값 사용(차기 보고서 전기); 최초 공시 매출 3237.0/영업이익 1406.9억; 참고: 연결 매출 3730.7억(재작성)
구다이글로벌,조선미녀,brand,2025,4564.6,1395.9,별도,20260413002195,DART 감사보고서,별도 사용: 연결은 티르티르·크레이버 등 인수 자회사 포함 → 중복 계상; 참고: 연결 매출 14717.6억/영업이익 2734.4억 (rcept 20260413002204)
더파운더즈,아누아,brand,2021,299.4,79.5,별도,20230628000349,DART 감사보고서,해당연도 보고서 없음 → 차기 보고서의 전기 수치
더파운더즈,아누아,brand,2022,576.2,93.9,별도,20240426000858,DART 감사보고서,
더파운더즈,아누아,brand,2023,1432.4,400.3,별도,20250430000317,DART 감사보고서,
더파운더즈,아누아,brand,2024,4277.7,1456.9,연결,20260430000051,DART 감사보고서,해당연도 보고서 없음 → 차기 보고서의 전기 수치
더파운더즈,아누아,brand,2025,7176.7,1294.9,연결,20260430000051,DART 감사보고서,
크레이버코퍼레이션,SKIN1004 (구 비투링크),brand,2016,261.0,-0.3,별도,20180404001624,DART 감사보고서,해당연도 보고서 없음 → 차기 보고서의 전기 수치
크레이버코퍼레이션,SKIN1004 (구 비투링크),brand,2017,371.1,3.2,별도,20190403000740,DART 감사보고서,
크레이버코퍼레이션,SKIN1004 (구 비투링크),brand,2018,499.6,25.2,연결,20200427000254,DART 감사보고서,해당연도 보고서 없음 → 차기 보고서의 전기 수치
크레이버코퍼레이션,SKIN1004 (구 비투링크),brand,2019,340.8,-35.7,연결,20210428000162,DART 감사보고서,
크레이버코퍼레이션,SKIN1004 (구 비투링크),brand,2020,307.5,-46.4,연결,20220426000161,DART 감사보고서,
크레이버코퍼레이션,SKIN1004 (구 비투링크),brand,2021,314.8,-93.6,연결,20230427000620,DART 감사보고서,
크레이버코퍼레이션,SKIN1004 (구 비투링크),brand,2022,562.3,8.5,연결,20240429000768,DART 감사보고서,
크레이버코퍼레이션,SKIN1004 (구 비투링크),brand,2023,955.8,101.9,연결,20250527000338,DART 감사보고서,
크레이버코퍼레이션,SKIN1004 (구 비투링크),brand,2024,3210.1,475.2,연결,20260403002808,DART 감사보고서,재작성값 사용(차기 보고서 전기); 최초 공시 매출 3180.8/영업이익 801.8억
크레이버코퍼레이션,SKIN1004 (구 비투링크),brand,2025,6779.6,1648.3,연결,20260403002808,DART 감사보고서,
티르티르,티르티르,brand,2019,121.0,-19.3,별도,20210412001516,DART 감사보고서,해당연도 보고서 없음 → 차기 보고서의 전기 수치
티르티르,티르티르,brand,2020,412.4,74.0,별도,20220401002835,DART 감사보고서,
