series,year,value,unit,source,url,note
"책임판매업체 수(등록, 연말)",2019,15707,개,식약처 2024 화장품 생산·수출·수입 통계 붙임11,"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)","2024는 폐업업체 6,292개 직권취소 반영"
"책임판매업체 수(등록, 연말)",2020,19769,개,식약처 2024 화장품 생산·수출·수입 통계 붙임11,"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)","2024는 폐업업체 6,292개 직권취소 반영"
"책임판매업체 수(등록, 연말)",2021,22716,개,식약처 2024 화장품 생산·수출·수입 통계 붙임11,"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)","2024는 폐업업체 6,292개 직권취소 반영"
"책임판매업체 수(등록, 연말)",2022,28015,개,식약처 2024 화장품 생산·수출·수입 통계 붙임11,"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)","2024는 폐업업체 6,292개 직권취소 반영"
"책임판매업체 수(등록, 연말)",2023,31524,개,식약처 2024 화장품 생산·수출·수입 통계 붙임11,"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)","2024는 폐업업체 6,292개 직권취소 반영"
"책임판매업체 수(등록, 연말)",2024,27932,개,식약처 2024 화장품 생산·수출·수입 통계 붙임11,"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)","2024는 폐업업체 6,292개 직권취소 반영"
"책임판매업체 수(등록, 연말)",2025,,개,확인 안 됨,,식약처 2026-05-22 보도자료 원문 미확보
"제조업체 수(등록, 연말)",2019,2911,개,식약처 2024 통계 붙임11,"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
"제조업체 수(등록, 연말)",2020,4071,개,식약처 2024 통계 붙임11,"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
"제조업체 수(등록, 연말)",2021,4428,개,식약처 2024 통계 붙임11,"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
"제조업체 수(등록, 연말)",2022,4548,개,식약처 2024 통계 붙임11,"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
"제조업체 수(등록, 연말)",2023,4567,개,식약처 2024 통계 붙임11,"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
"제조업체 수(등록, 연말)",2024,4439,개,식약처 2024 통계 붙임11,"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
"제조업체 수(등록, 연말)",2025,,개,확인 안 됨,,
생산실적 보고 책임판매업체 수,2019,7580,개,식약처 (2019-24 붙임2 / 2025 코스모닝 인용),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
생산실적 보고 책임판매업체 수,2020,8942,개,식약처 (2019-24 붙임2 / 2025 코스모닝 인용),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
생산실적 보고 책임판매업체 수,2021,9359,개,식약처 (2019-24 붙임2 / 2025 코스모닝 인용),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
생산실적 보고 책임판매업체 수,2022,10119,개,식약처 (2019-24 붙임2 / 2025 코스모닝 인용),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
생산실적 보고 책임판매업체 수,2023,11861,개,식약처 (2019-24 붙임2 / 2025 코스모닝 인용),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
생산실적 보고 책임판매업체 수,2024,13976,개,식약처 (2019-24 붙임2 / 2025 코스모닝 인용),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
생산실적 보고 책임판매업체 수,2025,15342,개,식약처 (2019-24 붙임2 / 2025 코스모닝 인용),https://www.cosmorning.com/news/article.html?no=52844,
화장품 생산액,2019,162633,억원 (KRW 100mn),식약처 (2019-24 붙임2 / 2025 식약처 2026-05-22),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
화장품 생산액,2020,151618,억원 (KRW 100mn),식약처 (2019-24 붙임2 / 2025 식약처 2026-05-22),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
화장품 생산액,2021,166533,억원 (KRW 100mn),식약처 (2019-24 붙임2 / 2025 식약처 2026-05-22),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
화장품 생산액,2022,135908,억원 (KRW 100mn),식약처 (2019-24 붙임2 / 2025 식약처 2026-05-22),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
화장품 생산액,2023,145102,억원 (KRW 100mn),식약처 (2019-24 붙임2 / 2025 식약처 2026-05-22),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
화장품 생산액,2024,175426,억원 (KRW 100mn),식약처 (2019-24 붙임2 / 2025 식약처 2026-05-22),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
화장품 생산액,2025,179382,억원 (KRW 100mn),식약처 (2019-24 붙임2 / 2025 식약처 2026-05-22),https://www.cosmorning.com/news/article.html?no=52843 (식약처 2026-05-22 발표 인용),
화장품 수출액(연간),2019,6524.789,USD mn,관세청 (식약처 2024 통계 붙임1),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
화장품 수출액(연간),2020,7572.097,USD mn,관세청 (식약처 2024 통계 붙임1),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
화장품 수출액(연간),2021,9183.57,USD mn,관세청 (식약처 2024 통계 붙임1),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
화장품 수출액(연간),2022,7953.197,USD mn,관세청 (식약처 2024 통계 붙임1),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
화장품 수출액(연간),2023,8462.378,USD mn,관세청 (식약처 2024 통계 붙임1),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
화장품 수출액(연간),2024,10177.312,USD mn,관세청 (식약처 2024 통계 붙임1),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
화장품 수출액(연간),2025,11418,USD mn,산업통상부 2026-08 수출입동향 참고표 (관세청 통관),https://files-scs.pstatic.net/2026/09/01/ayvUuMJahB/2026년 8월 수출입동향_3보_최종.pdf (산업통상부 2026-09-01),식약처 발표는 114억달러 +11.8~12.3% (출처별 소폭 차이)
화장품 수출액(1~8월 누계),2025 YTD,7346,USD mn,산업통상부 (코스모닝 2026-09-01 인용),https://www.cosmorning.com/news/article.html?no=53439,
화장품 수출액(1~8월 누계),2026 YTD,9637,USD mn,산업통상부 2026-08 수출입동향,https://files-scs.pstatic.net/2026/09/01/ayvUuMJahB/2026년 8월 수출입동향_3보_최종.pdf (산업통상부 2026-09-01),YoY +31.2%
화장품 수출액(상반기),2026 1H,7000,USD mn,산업통상부 (아시아경제 2026-09-11 인용),https://view.asiae.co.kr/article/2026091115182633702,"YoY +27.3%, 중소·인디브랜드 50.7억달러(70%)"
화장품 수출액(월),2026-01,1024,USD mn,산업통상부 2026-08 수출입동향 참고표,https://files-scs.pstatic.net/2026/09/01/ayvUuMJahB/2026년 8월 수출입동향_3보_최종.pdf (산업통상부 2026-09-01),YoY +36.0%
화장품 수출액(월),2026-02,913,USD mn,산업통상부 2026-08 수출입동향 참고표,https://files-scs.pstatic.net/2026/09/01/ayvUuMJahB/2026년 8월 수출입동향_3보_최종.pdf (산업통상부 2026-09-01),YoY +3.1%
화장품 수출액(월),2026-03,1184,USD mn,산업통상부 2026-08 수출입동향 참고표,https://files-scs.pstatic.net/2026/09/01/ayvUuMJahB/2026년 8월 수출입동향_3보_최종.pdf (산업통상부 2026-09-01),YoY +26.0%
화장품 수출액(월),2026-04,1352,USD mn,산업통상부 2026-08 수출입동향 참고표,https://files-scs.pstatic.net/2026/09/01/ayvUuMJahB/2026년 8월 수출입동향_3보_최종.pdf (산업통상부 2026-09-01),YoY +31.2%
화장품 수출액(월),2026-05,1172,USD mn,산업통상부 2026-08 수출입동향 참고표,https://files-scs.pstatic.net/2026/09/01/ayvUuMJahB/2026년 8월 수출입동향_3보_최종.pdf (산업통상부 2026-09-01),YoY +23.2%
화장품 수출액(월),2026-06,1329,USD mn,산업통상부 2026-08 수출입동향 참고표,https://files-scs.pstatic.net/2026/09/01/ayvUuMJahB/2026년 8월 수출입동향_3보_최종.pdf (산업통상부 2026-09-01),YoY +41.3%
