month,exports_usd_bn
2016-01,0.2383
2016-02,0.2224
2016-03,0.3933
2016-04,0.3604
2016-05,0.3372
2016-06,0.359
2016-07,0.3356
2016-08,0.3624
2016-09,0.4151
2016-10,0.3948
2016-11,0.3726
2016-12,0.3866
2017-01,0.299
2017-02,0.4034
2017-03,0.4446
2017-04,0.3475
2017-05,0.3543
2017-06,0.4161
2017-07,0.3602
2017-08,0.4096
2017-09,0.5253
2017-10,0.4022
2017-11,0.4975
2017-12,0.4742
2018-01,0.455
2018-02,0.3802
2018-03,0.6072
2018-04,0.5822
2018-05,0.5902
2018-06,0.5476
2018-07,0.5038
2018-08,0.509
2018-09,0.4876
2018-10,0.5687
2018-11,0.5422
2018-12,0.4513
2019-01,0.4547
2019-02,0.4607
2019-03,0.5868
2019-04,0.5684
2019-05,0.5748
2019-06,0.4669
2019-07,0.5025
2019-08,0.5091
2019-09,0.557
2019-10,0.6181
2019-11,0.5938
2019-12,0.5803
2020-01,0.4574
2020-02,0.5113
2020-03,0.7511
2020-04,0.5499
2020-05,0.5509
2020-06,0.5401
2020-07,0.5818
2020-08,0.5641
2020-09,0.8171
2020-10,0.7078
2020-11,0.7415
2020-12,0.6699
2021-01,0.743
2021-02,0.6108
2021-03,0.8397
2021-04,0.8668
2021-05,0.7767
2021-06,0.7036
2021-07,0.6411
2021-08,0.6728
2021-09,0.8521
2021-10,0.7815
2021-11,0.8561
2021-12,0.6715
2022-01,0.5532
2022-02,0.5589
2022-03,0.6921
2022-04,0.6934
2022-05,0.8208
2022-06,0.6444
2022-07,0.6031
2022-08,0.6068
2022-09,0.7183
2022-10,0.6717
2022-11,0.6249
2022-12,0.5815
2023-01,0.4612
2023-02,0.6303
2023-03,0.7583
2023-04,0.6602
2023-05,0.7484
2023-06,0.7219
2023-07,0.6243
2023-08,0.6762
2023-09,0.7947
2023-10,0.7307
2023-11,0.7415
2023-12,0.6731
2024-01,0.7715
2024-02,0.6961
2024-03,0.7474
2024-04,0.8224
2024-05,0.8473
2024-06,0.7471
2024-07,0.8035
2024-08,0.7925
2024-09,0.8787
2024-10,0.9977
2024-11,0.8783
2024-12,0.8475
2025-01,0.7281
2025-02,0.8509
2025-03,0.9076
2025-04,0.9872
2025-05,0.9212
2025-06,0.9003
2025-07,0.9435
2025-08,0.8292
2025-09,1.0953
2025-10,0.8741
2025-11,0.9018
2025-12,1.0243
2026-01,0.985
2026-02,0.8755
2026-03,1.1345
2026-04,1.3009
2026-05,1.1271
2026-06,1.2796
2026-07,1.2941
2026-08,1.257
