year,Africa,Asia,CIS,Europe,Latin America,Middle East,North America,Oceania,Others
2016,0.001,3.559,0.019,0.115,0.009,0.022,0.361,0.024,0.068
2017,0.001,4.089,0.029,0.161,0.011,0.022,0.469,0.026,0.126
2018,0.001,5.105,0.052,0.23,0.022,0.027,0.561,0.035,0.192
2019,0.002,5.259,0.086,0.224,0.025,0.034,0.551,0.042,0.25
2020,0.003,6.015,0.099,0.255,0.023,0.042,0.66,0.047,0.298
2021,0.003,7.149,0.147,0.351,0.039,0.045,0.867,0.05,0.365
2022,0.006,5.807,0.159,0.375,0.042,0.052,0.886,0.056,0.387
2023,0.011,5.396,0.246,0.562,0.052,0.064,1.264,0.077,0.549
2024,0.017,5.763,0.284,0.836,0.088,0.123,1.947,0.119,0.654
2025,0.023,5.587,0.358,1.35,0.171,0.172,2.26,0.173,0.869
2026,0.023,3.922,0.317,1.655,0.215,0.122,2.169,0.167,0.664
