company,ticker,q,date,capex_eok
라파스,A214260,2021Q1,2021-03-31,4.3
라파스,A214260,2021Q2,2021-06-30,3.7
라파스,A214260,2021Q3,2021-09-30,2.9
라파스,A214260,2021Q4,2021-12-31,4.6
라파스,A214260,2022Q1,2022-03-31,21.1
라파스,A214260,2022Q2,2022-06-30,7.3
라파스,A214260,2022Q3,2022-09-30,34.7
라파스,A214260,2022Q4,2022-12-31,11.8
라파스,A214260,2023Q1,2023-03-31,6.1
라파스,A214260,2023Q2,2023-06-30,11.0
라파스,A214260,2023Q3,2023-09-30,17.1
라파스,A214260,2023Q4,2023-12-31,3.7
라파스,A214260,2024Q1,2024-03-31,1.5
라파스,A214260,2024Q2,2024-06-30,3.4
라파스,A214260,2024Q3,2024-09-30,7.8
라파스,A214260,2024Q4,2024-12-31,1.9
라파스,A214260,2025Q1,2025-03-31,1.6
라파스,A214260,2025Q2,2025-06-30,1.4
라파스,A214260,2025Q3,2025-09-30,-1.7
라파스,A214260,2025Q4,2025-12-31,4.7
라파스,A214260,2026Q1,2026-03-31,1.5
라파스,A214260,2026Q2,2026-06-30,3.6
본느,A226340,2021Q1,2021-03-31,0.7
본느,A226340,2021Q2,2021-06-30,-0.4
본느,A226340,2021Q3,2021-09-30,241.5
본느,A226340,2021Q4,2021-12-31,2.3
본느,A226340,2022Q1,2022-03-31,0.1
본느,A226340,2022Q2,2022-06-30,0.4
본느,A226340,2022Q3,2022-09-30,0.9
본느,A226340,2022Q4,2022-12-31,0.1
본느,A226340,2023Q1,2023-03-31,0.8
본느,A226340,2023Q2,2023-06-30,0.5
본느,A226340,2023Q3,2023-09-30,0.0
본느,A226340,2023Q4,2023-12-31,0.1
본느,A226340,2024Q1,2024-03-31,0.1
본느,A226340,2024Q2,2024-06-30,0.0
본느,A226340,2024Q3,2024-09-30,4.6
본느,A226340,2024Q4,2024-12-31,3.5
본느,A226340,2025Q1,2025-03-31,1.7
본느,A226340,2025Q2,2025-06-30,0.7
본느,A226340,2025Q3,2025-09-30,0.0
본느,A226340,2025Q4,2025-12-31,0.7
본느,A226340,2026Q1,2026-03-31,0.0
뷰티스킨,A406820,2023Q3,2023-09-30,0.8
뷰티스킨,A406820,2023Q4,2023-12-31,2.5
뷰티스킨,A406820,2024Q1,2024-03-31,6.6
뷰티스킨,A406820,2024Q2,2024-06-30,-1.6
뷰티스킨,A406820,2024Q3,2024-09-30,0.7
뷰티스킨,A406820,2024Q4,2024-12-31,0.8
뷰티스킨,A406820,2025Q1,2025-03-31,0.9
뷰티스킨,A406820,2025Q2,2025-06-30,1.5
뷰티스킨,A406820,2025Q3,2025-09-30,0.1
뷰티스킨,A406820,2025Q4,2025-12-31,0.0
뷰티스킨,A406820,2026Q1,2026-03-31,
뷰티스킨,A406820,2026Q2,2026-06-30,0.1
선진뷰티사이언스,A086710,2021Q1,2021-03-31,18.7
선진뷰티사이언스,A086710,2021Q2,2021-06-30,28.9
선진뷰티사이언스,A086710,2021Q3,2021-09-30,44.1
선진뷰티사이언스,A086710,2021Q4,2021-12-31,91.2
선진뷰티사이언스,A086710,2022Q1,2022-03-31,55.6
선진뷰티사이언스,A086710,2022Q2,2022-06-30,53.4
선진뷰티사이언스,A086710,2022Q3,2022-09-30,25.0
선진뷰티사이언스,A086710,2022Q4,2022-12-31,36.8
선진뷰티사이언스,A086710,2023Q1,2023-03-31,35.8
선진뷰티사이언스,A086710,2023Q2,2023-06-30,34.1
선진뷰티사이언스,A086710,2023Q3,2023-09-30,28.8
선진뷰티사이언스,A086710,2023Q4,2023-12-31,26.8
선진뷰티사이언스,A086710,2024Q1,2024-03-31,17.9
선진뷰티사이언스,A086710,2024Q2,2024-06-30,22.7
선진뷰티사이언스,A086710,2024Q3,2024-09-30,126.5
선진뷰티사이언스,A086710,2024Q4,2024-12-31,72.8
선진뷰티사이언스,A086710,2025Q1,2025-03-31,44.0
선진뷰티사이언스,A086710,2025Q2,2025-06-30,50.8
선진뷰티사이언스,A086710,2025Q3,2025-09-30,70.6
선진뷰티사이언스,A086710,2025Q4,2025-12-31,19.2
선진뷰티사이언스,A086710,2026Q1,2026-03-31,8.7
선진뷰티사이언스,A086710,2026Q2,2026-06-30,10.8
씨앤씨인터내셔널,A352480,2021Q2,2021-06-30,54.4
씨앤씨인터내셔널,A352480,2021Q3,2021-09-30,31.8
씨앤씨인터내셔널,A352480,2021Q4,2021-12-31,11.6
씨앤씨인터내셔널,A352480,2022Q1,2022-03-31,0.3
씨앤씨인터내셔널,A352480,2022Q2,2022-06-30,6.3
씨앤씨인터내셔널,A352480,2022Q3,2022-09-30,12.7
씨앤씨인터내셔널,A352480,2022Q4,2022-12-31,24.3
씨앤씨인터내셔널,A352480,2023Q1,2023-03-31,18.3
씨앤씨인터내셔널,A352480,2023Q2,2023-06-30,48.7
씨앤씨인터내셔널,A352480,2023Q3,2023-09-30,27.7
씨앤씨인터내셔널,A352480,2023Q4,2023-12-31,97.2
씨앤씨인터내셔널,A352480,2024Q1,2024-03-31,99.1
씨앤씨인터내셔널,A352480,2024Q2,2024-06-30,117.3
씨앤씨인터내셔널,A352480,2024Q3,2024-09-30,105.6
씨앤씨인터내셔널,A352480,2024Q4,2024-12-31,20.9
씨앤씨인터내셔널,A352480,2025Q1,2025-03-31,71.5
씨앤씨인터내셔널,A352480,2025Q2,2025-06-30,20.7
씨앤씨인터내셔널,A352480,2025Q3,2025-09-30,26.3
씨앤씨인터내셔널,A352480,2025Q4,2025-12-31,33.6
씨앤씨인터내셔널,A352480,2026Q1,2026-03-31,144.4
씨앤씨인터내셔널,A352480,2026Q2,2026-06-30,60.1
씨티케이,A260930,2021Q1,2021-03-31,6.2
씨티케이,A260930,2021Q2,2021-06-30,8.3
씨티케이,A260930,2021Q3,2021-09-30,5.1
씨티케이,A260930,2021Q4,2021-12-31,6.3
씨티케이,A260930,2022Q1,2022-03-31,25.9
씨티케이,A260930,2022Q2,2022-06-30,3.6
씨티케이,A260930,2022Q3,2022-09-30,2.1
씨티케이,A260930,2022Q4,2022-12-31,23.0
씨티케이,A260930,2023Q1,2023-03-31,11.9
씨티케이,A260930,2023Q2,2023-06-30,4.3
씨티케이,A260930,2023Q3,2023-09-30,7.6
