company,plant,country,announced,start,added_capacity,capacity_unit,investment_eok,status,source,url
코스맥스,평택 2공장 (색조 전용),KR,2021-04,2024-01,130.0,백만개/yr (국내 7.8억개),594.3,가동 중,DART 20230831800227 · 이투데이 2024-01-29,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230831800227
코스맥스,화성·평택 1·2공장 라인 증설,KR,2025-05,2025-03,220.0,백만개/yr (국내 7.8→10억개),,완료 (2026-06말 국내 10.2억개),서울경제 2025-05-13,https://www.sedaily.com/NewsView/2GSS6L19OM
코스맥스,평택 1공장 증축,KR,2026-05,2027-01,100.0,백만개/yr (국내 10.2→11.2억개),605.0,공사중 (2026-06~10),DART 20260519800635 · MTN 2026-09-15,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260519800635
코스맥스,평택 3공장 (신규),KR,2026-01,,,미공시,1200.0,"계획 (공시 없음, 출처 1개)",연합뉴스 2026-01-04 · 뉴스토마토 2026-05-22,https://www.newstomato.com/ReadNews.aspx?no=1301846
코스맥스,상하이 신좡 스마트공장,CN,2024-10,2026-12,90.0,백만개/yr (중국 14.9→16억개),1300.0,공사중,뉴시스 2024-10-15 · 시사저널 2026-07-23,https://www.sisajournal.com/news/articleView.html?idxno=380795
코스맥스,태국 방플리 신공장,TH,2024-07,2026-12,230.0,백만개/yr (기존 대비 3배),560.0,공사중 (원계획 2026-09 → 4Q26 지연),매일경제 2026-08-18,https://www.mk.co.kr/news/business/12130407
코스맥스,인도네시아 신공장 (할랄),ID,2025-05,2027-06,350.0,백만개/yr (2.5→6억개),730.0,공사중,아시아투데이 2026-07-27,https://www.asiatoday.co.kr/kn/view.php?key=20260728010009909
코스맥스,Keminova 이탈리아 51% 인수,IT,2026-02,2026-02,20.0,백만개/yr,,완료,연합뉴스 2026-02-23,https://www.yna.co.kr/view/AKR20260223024900030
코스맥스,일본 이바라키 공장,JP,2023-01,,,미공시,,착공 미확인 (2025→2026 지연),CEO스코어 2025-06-24,https://www.ceoscoredaily.com/page/view/2025062412211258311
한국콜마,세종 신공장,KR,2026-09,2028-06,,미공시,1733.0,계획 (2028 가동 목표),아시아경제 2026-09-11,https://view.asiae.co.kr/article/2026091115182633702
코스메카코리아,오창 신공장,KR,2026-09,2027-12,,미공시,2000.0,계획 (2027~2030 단계 투자),"아시아경제 2026-09-11 (토지·건물 640억+설비 1,360억)",https://view.asiae.co.kr/article/2026091115182633702
씨앤씨인터내셔널,청주 신공장,KR,2025,2027-03,1000.0,백만개/yr,1300.0,공사중,아시아경제 2026-09-11 · DART 신규시설투자,https://view.asiae.co.kr/article/2026091115182633702
선진뷰티사이언스,"장항공장 증설 (PMMA-S·T80 라인, 안산 설비 이전 통합)",KR,2021-03,2022-04,600,ton/yr (기계장치),101.5,완료 (최초 115억→101.5억 정정),DART 신규시설투자등 20211230900888,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20211230900888
선진뷰티사이언스,F3 파일럿공장·보관창고,KR,2022-08,2023-05,200,ton/yr (기계장치),68.7,완료,DART 사업보고서 2025.12 설비신설계획 (건물+기계 합산),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318001120
선진뷰티사이언스,OTC 전용 화장품 ODM/OEM 공장 + 물류창고 W3 증축,KR,2024-06,2025-06,,"미공시 (건물 6,192m2, ODM 설비 77억)",254.3,완료 (2025-06 준공; 최초 180억→254.3억),DART 신규시설투자등 20250528900168,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250528900168
선진뷰티사이언스,F2 헨셀 3라인 증설,KR,2024-08,2025-03,1200,ton/yr (기계장치),44.6,완료,DART 사업보고서 2025.12 설비신설계획,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318001120
선진뷰티사이언스,신제품 라인 증설 (기계장치 외),KR,2026-08,2026-12,,미공시,34.3,계획,DART 반기보고서 2026.06 설비신설계획,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000087
엔에프씨,송도 제2공장 설비투자 + 화성창고 매입,KR,2025,2025-08,3693.6,"천kg/yr 제조 (1,651→5,345천kg; 충진 +9.5백만EA)",55.5,"완료 (투자액=FY25 유형자산취득, 내 계산)",DART 사업보고서 2025.12,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260313000481
제닉,논산 2공장 하이드로겔 마스크 증설,KR,2025,2026,37.4,백만개/yr 하이드로겔 (59.9→97.3백만개),79.7,"진행중 (FY25 26.7억+1H26 53억, 내 계산; 계획 미공시)",DART 사업보고서 2025.12 · 반기보고서 2026.06,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260813001174
라파스,천안공장 OTC 마이크로니들 패치 라인,KR,2022,2023-06,3.15,백만개/yr OTC,51.2,완료 (2022 기계장치 취득액),DART 사업보고서 2022.12,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230316001227
라파스,아산공장 매입 (물류 용도),KR,2024,2024,,미공시,20.8,완료 (토지 15.5+건물 5.3억 장부),DART 사업보고서 2025.12,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260320001360
티앤엘,"신규 생산시설 (건설중인자산, 용도 미기재)",KR,2024,,,미공시,131.2,진행중 (건설중인자산 잔액 1H26; 용도 확인 필요),DART 반기보고서 2026.06,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260821000408
아이큐어,완주 하이드로겔 마스크팩 코팅설비 7대 확대,KR,2024,2025,7,대 (코팅설비),,완료 (투자금액 미공시),DART 반기보고서 2026.06,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260918000313
