company,project,location,invest_eok,capacity_add,unit,start,complete,status,source,url,rcept_no,note
선진뷰티사이언스,"장항공장 증설(PMMA-S·T80 라인, 안산공장 설비 이전 통합)",충남 서천 장항산단,101.5,"기계장치 600ton(PMMA-S,T80)",ton,2021-03-09,2022-04-30,완료,DART 신규시설투자등(정정),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20211230900888,20211230900888,최초 115억(2021-03-09 공시) → 101.5억 정정(안산 설비 이전으로 원가 절감); 안산공장 2021.10 생산중단 공시
선진뷰티사이언스,F3 파일럿공장·보관창고 신축,장항,68.7,기계장치 200ton,ton,2022-08-15,2023-05-31,완료,사업보고서 2025.12 설비의 신설·매입계획,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318001120,20260318001120,"건물 840+3,500백만원 + 기계 2,530백만원 = 6,870백만원(내 합산)"
선진뷰티사이언스,OTC 전용 화장품 ODM/OEM 공장 및 물류창고(W3) 증축,장항,254.3,"건물 6,192m2 + ODM 생산설비 77.2억",m2,2024-07-15,2025-06-30,완료(2025.6 준공),DART 신규시설투자등(정정),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250528900168,20250528900168,최초 180억(2024-06-13) → 254.3억(설계변경·면적 증가); FY2025 보고서 '254억 OTC 전용 ODM 신공장 증설'; 생산능력 표에는 아직 미반영
선진뷰티사이언스,F2 헨셀 3라인 증설 + 3·4층 바닥 증축,장항,44.6,"기계장치 1,200ton",ton,2024-08-12,2025-03-30,완료,사업보고서 2025.12 설비의 신설·매입계획,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318001120,20260318001120,"기계 3,758 + 건물 702백만원(내 합산)"
선진뷰티사이언스,신제품 라인증설 등(기계장치 외),장항,34.3,,,2026-08-01,2026-12-01,계획,반기보고서 2026.06 설비의 신설·매입계획,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000087,20260827000087,"투자예정액 3,432백만원"
엔에프씨,설비투자로 제조 CAPA 확대 + 화성창고 매입,인천 송도(제2공장) / 경기 화성(창고),55.5,"제조 +3,693,600 KG, 충진/포장 +9,480,000 EA",KG/EA,2025,2025-08(창고 매입),완료,"사업보고서 2025.12 (생산능력 표 주석, 연혁, 유형자산 취득)",https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260313000481,20260313000481,"투자액은 FY2025 유형자산 취득(55.5억, 토지 28.4억·건물 15.9억 대체 포함)으로 추정 — 내 계산; 별도 신규시설투자 공시 없음"
제닉,논산 2공장 하이드로겔 마스크 증설,충남 논산,79.7,"하이드로겔 CAPA 59,882→97,312 천개(+37,430)",천개,2025,진행중(2026H1 capex 53억),진행중,사업보고서 2025.12 / 반기보고서 2026.06,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260813001174,20260813001174,투자액 = FY2025 26.7억 + 1H26 53.0억 유형자산 취득 합(내 계산); 2공장 보험 부보액 381억→714억(1H26); 상세 투자계획 미공시
라파스,천안공장 OTC 의약품 마이크로니들 패치 라인,충남 천안,51.2,"OTC 3,150 천개/년",천개,2022,2023-06,완료,사업보고서 2022.12 생산설비 현황,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230316001227,20230316001227,"2022년 천안 기계장치 취득 5,123백만원; 2023H1부터 OTC 라인 CAPA 별도 공시"
라파스,아산공장(물류) 매입,충남 아산,20.8,,,2024,2024,완료,사업보고서 2025.12 생산설비 현황·차입금 주석,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260320001360,20260320001360,"토지 15.5억+건물 5.3억(장부); 물류 용도로 기재, 기업은행 차입 담보('아산신공장')"
티앤엘,건설중인자산 증가(신규 생산시설; 용도 미기재),경기 안성/용인,131.2,,,2024,진행중,진행중,반기보고서 2026.06 유형자산 주석,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260821000408,20260821000408,건설중인자산 잔액 48.7억(FY24)→100.2억(FY25)→131.2억(1H26); 연 capex 160~176억 지속; 사업보고서에 투자계획 표 없음 → 용도 확인 필요
아이큐어,"하이드로겔 마스크팩 코팅설비 7대 확대(코스맥스아이큐어 양수 3대+신규 4대), 연질캡슐 설비 화장품용 전환",전북 완주,,코팅설비 7대,대,2024,2025,완료,반기보고서 2026.06 사업의 개요,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260918000313,20260918000313,투자금액 미공시; FY2025 화장품 매출 632억(76%)로 급성장
