co,ticker,q,date,rev_eok,ebit_eok,fs,rcept_no
라파스,A214260,2020Q1,2020-03-31,57.7,1.0,CFS,20200514000661
라파스,A214260,2020Q2,2020-06-30,33.4,-21.3,CFS,20200814000646
라파스,A214260,2020Q3,2020-09-30,35.9,-10.9,CFS,20201113000945
라파스,A214260,2020Q4,2020-12-31,51.7,-11.6,CFS,20210607000264
라파스,A214260,2021Q1,2021-03-31,34.4,-3.4,CFS,20210514001696
라파스,A214260,2021Q2,2021-06-30,47.7,-1.9,CFS,20210813001195
라파스,A214260,2021Q3,2021-09-30,52.3,-2.7,CFS,20211112000337
라파스,A214260,2021Q4,2021-12-31,69.1,-12.5,CFS,20220321000297
라파스,A214260,2022Q1,2022-03-31,60.1,-10.5,CFS,20220513001143
라파스,A214260,2022Q2,2022-06-30,56.9,-11.4,CFS,20220812000636
라파스,A214260,2022Q3,2022-09-30,57.8,-33.3,CFS,20221111000687
라파스,A214260,2022Q4,2022-12-31,61.5,-10.4,CFS,20230316001227
라파스,A214260,2023Q1,2023-03-31,74.2,-6.0,CFS,20230512001050
라파스,A214260,2023Q2,2023-06-30,66.1,-3.0,CFS,20230811001639
라파스,A214260,2023Q3,2023-09-30,53.5,-17.8,CFS,20231114002467
라파스,A214260,2023Q4,2023-12-31,85.5,-13.7,CFS,20240315000710
라파스,A214260,2024Q1,2024-03-31,62.4,-12.9,CFS,20240516002246
라파스,A214260,2024Q2,2024-06-30,73.1,-5.6,CFS,20240814001568
라파스,A214260,2024Q3,2024-09-30,62.8,-11.1,CFS,20241113000746
라파스,A214260,2024Q4,2024-12-31,73.9,-5.0,CFS,20250318001447
라파스,A214260,2025Q1,2025-03-31,70.6,-6.8,CFS,20250515001454
라파스,A214260,2025Q2,2025-06-30,81.2,-7.2,CFS,20250814001393
라파스,A214260,2025Q3,2025-09-30,96.0,-6.4,CFS,20251114001715
라파스,A214260,2025Q4,2025-12-31,62.1,-9.8,CFS,20260320001360
라파스,A214260,2026Q1,2026-03-31,67.7,-5.2,CFS,20260515001248
라파스,A214260,2026Q2,2026-06-30,75.8,-17.7,CFS,20260814002390
본느,A226340,2020Q1,2020-03-31,79.5,-7.0,CFS,20200515001970
본느,A226340,2020Q2,2020-06-30,86.0,1.1,CFS,20200814000329
본느,A226340,2020Q3,2020-09-30,108.5,5.6,CFS,20201116000829
본느,A226340,2020Q4,2020-12-31,86.5,-8.3,CFS,20210420000299
본느,A226340,2021Q1,2021-03-31,141.7,13.2,CFS,20210517000466
본느,A226340,2021Q2,2021-06-30,123.2,-11.1,CFS,20210817001175
본느,A226340,2021Q3,2021-09-30,149.2,2.5,CFS,20211115001481
본느,A226340,2021Q4,2021-12-31,124.0,-15.1,CFS,20220322000967
본느,A226340,2022Q1,2022-03-31,129.2,-3.3,CFS,20220516002101
본느,A226340,2022Q2,2022-06-30,133.6,-1.4,CFS,20220816002072
본느,A226340,2022Q3,2022-09-30,170.5,14.9,CFS,20221114000447
본느,A226340,2022Q4,2022-12-31,173.9,-2.9,CFS,20250305000334
본느,A226340,2023Q1,2023-03-31,143.4,3.2,CFS,20230515000727
본느,A226340,2023Q2,2023-06-30,195.8,15.0,CFS,20230814000522
본느,A226340,2023Q3,2023-09-30,191.6,25.1,CFS,20231114000097
본느,A226340,2023Q4,2023-12-31,198.4,24.0,CFS,20250305000472
본느,A226340,2024Q1,2024-03-31,207.7,31.3,CFS,20240513000228
본느,A226340,2024Q2,2024-06-30,190.1,13.0,CFS,20241218000238
본느,A226340,2024Q3,2024-09-30,154.3,3.8,CFS,20241114001694
본느,A226340,2024Q4,2024-12-31,135.0,-30.8,CFS,20250523000500
본느,A226340,2025Q1,2025-03-31,130.9,-14.6,CFS,20250515000582
본느,A226340,2025Q2,2025-06-30,123.4,-26.0,CFS,20250814002348
본느,A226340,2025Q3,2025-09-30,120.2,-16.9,CFS,20251114001947
본느,A226340,2025Q4,2025-12-31,85.7,-25.7,CFS,20260323000741
본느,A226340,2026Q1,2026-03-31,92.7,-20.9,CFS,20260515000479
뷰티스킨,A406820,2023Q3,2023-09-30,208.7,2.0,CFS,20231115000086
뷰티스킨,A406820,2023Q4,2023-12-31,230.7,-66.0,CFS,20240321001582
뷰티스킨,A406820,2024Q1,2024-03-31,196.7,14.2,CFS,20240516001718
뷰티스킨,A406820,2024Q2,2024-06-30,269.0,18.2,CFS,20240814003159
뷰티스킨,A406820,2024Q3,2024-09-30,181.9,-12.8,CFS,20241114002297
뷰티스킨,A406820,2024Q4,2024-12-31,161.1,-31.8,CFS,20250320001431
뷰티스킨,A406820,2025Q1,2025-03-31,187.0,-7.8,CFS,20250515002676
뷰티스킨,A406820,2025Q2,2025-06-30,145.5,-17.3,CFS,20250814004117
뷰티스킨,A406820,2025Q3,2025-09-30,114.5,1.2,CFS,20251114003000
뷰티스킨,A406820,2025Q4,2025-12-31,102.3,-7.8,CFS,20260319001377
뷰티스킨,A406820,2026Q1,2026-03-31,125.2,-14.8,CFS,20260515003085
뷰티스킨,A406820,2026Q2,2026-06-30,174.8,4.1,CFS,20260814003755
선진뷰티사이언스,A086710,2021Q1,2021-03-31,130.2,9.1,CFS,20210527000101
선진뷰티사이언스,A086710,2021Q2,2021-06-30,128.5,15.9,CFS,20210823000225
