co,ticker,q,date,rev_eok,ebit_eok
씨앤씨인터내셔널,A352480,2021Q2,2021-06-30,232.7,-10.5
씨앤씨인터내셔널,A352480,2021Q3,2021-09-30,236.6,19.0
씨앤씨인터내셔널,A352480,2021Q4,2021-12-31,,
씨앤씨인터내셔널,A352480,2022Q1,2022-03-31,253.6,23.1
씨앤씨인터내셔널,A352480,2022Q2,2022-06-30,306.9,33.6
씨앤씨인터내셔널,A352480,2022Q3,2022-09-30,361.1,71.3
씨앤씨인터내셔널,A352480,2022Q4,2022-12-31,384.5,46.5
씨앤씨인터내셔널,A352480,2023Q1,2023-03-31,461.8,59.6
씨앤씨인터내셔널,A352480,2023Q2,2023-06-30,571.1,103.2
씨앤씨인터내셔널,A352480,2023Q3,2023-09-30,538.9,67.5
씨앤씨인터내셔널,A352480,2023Q4,2023-12-31,631.5,90.6
씨앤씨인터내셔널,A352480,2024Q1,2024-03-31,721.5,99.6
씨앤씨인터내셔널,A352480,2024Q2,2024-06-30,803.4,118.2
씨앤씨인터내셔널,A352480,2024Q3,2024-09-30,741.2,71.5
씨앤씨인터내셔널,A352480,2024Q4,2024-12-31,562.7,0.3
씨앤씨인터내셔널,A352480,2025Q1,2025-03-31,659.8,55.5
씨앤씨인터내셔널,A352480,2025Q2,2025-06-30,739.0,86.8
씨앤씨인터내셔널,A352480,2025Q3,2025-09-30,753.6,69.0
씨앤씨인터내셔널,A352480,2025Q4,2025-12-31,732.4,10.4
씨앤씨인터내셔널,A352480,2026Q1,2026-03-31,708.4,29.7
씨앤씨인터내셔널,A352480,2026Q2,2026-06-30,733.2,16.0
잉글우드랩,A950140,2016Q4,2016-12-31,,
잉글우드랩,A950140,2017Q1,2017-03-31,198.6,15.6
잉글우드랩,A950140,2017Q2,2017-06-30,228.2,-31.1
잉글우드랩,A950140,2017Q3,2017-09-30,202.7,-26.6
잉글우드랩,A950140,2017Q4,2017-12-31,242.0,-46.6
잉글우드랩,A950140,2018Q1,2018-03-31,246.9,-8.9
잉글우드랩,A950140,2018Q2,2018-06-30,261.7,-27.2
잉글우드랩,A950140,2018Q3,2018-09-30,390.7,48.2
잉글우드랩,A950140,2018Q4,2018-12-31,288.1,-14.9
잉글우드랩,A950140,2019Q1,2019-03-31,317.4,4.6
잉글우드랩,A950140,2019Q2,2019-06-30,364.1,27.8
잉글우드랩,A950140,2019Q3,2019-09-30,292.0,9.0
잉글우드랩,A950140,2019Q4,2019-12-31,360.1,26.1
잉글우드랩,A950140,2020Q1,2020-03-31,306.6,12.4
잉글우드랩,A950140,2020Q2,2020-06-30,298.8,-6.2
잉글우드랩,A950140,2020Q3,2020-09-30,357.3,33.1
잉글우드랩,A950140,2020Q4,2020-12-31,408.9,39.4
잉글우드랩,A950140,2021Q1,2021-03-31,346.8,27.2
잉글우드랩,A950140,2021Q2,2021-06-30,499.1,65.2
잉글우드랩,A950140,2021Q3,2021-09-30,439.7,63.2
잉글우드랩,A950140,2021Q4,2021-12-31,321.9,13.8
