date,posts,pos,neg,neu,pos_ratio,neg_ratio
2026-08-05,86,11,13,62,0.1279,0.1512
2026-08-06,46,5,5,36,0.1087,0.1087
2026-08-07,33,3,2,28,0.0909,0.0606
2026-08-08,30,3,0,27,0.1000,0.0000
2026-08-09,26,2,0,24,0.0769,0.0000
2026-08-10,113,10,10,93,0.0885,0.0885
2026-08-11,68,5,6,57,0.0735,0.0882
2026-08-12,50,4,2,44,0.0800,0.0400
2026-08-13,72,7,10,55,0.0972,0.1389
2026-08-14,150,15,15,120,0.1000,0.1000
2026-08-15,17,2,0,15,0.1176,0.0000
2026-08-16,16,2,1,13,0.1250,0.0625
2026-08-17,26,0,0,26,0.0000,0.0000
2026-08-18,82,5,17,60,0.0610,0.2073
2026-08-19,57,4,10,43,0.0702,0.1754
2026-08-20,32,1,2,29,0.0312,0.0625
