ts,date,time,rank,rate,tickets,cum,total_tickets,share,top1_title,top1_tickets,top2_title,top2_tickets
2026-08-12 08:43,2026-08-12,08:43,5,2.2,27341,472425,1232619,0.02218,오디세이,781848,스파이더맨: 브랜드 뉴 데이,243984
2026-08-12 08:46,2026-08-12,08:46,5,2.2,27379,472425,1233728,0.02219,오디세이,782482,스파이더맨: 브랜드 뉴 데이,244290
2026-08-13 07:45,2026-08-13,07:45,5,2.6,35739,487400,1358949,0.0263,오디세이,900402,스파이더맨: 브랜드 뉴 데이,264345
2026-08-14 07:57,2026-08-14,07:57,4,3.1,47679,499603,1531071,0.03114,오디세이,1019825,스파이더맨: 브랜드 뉴 데이,293093
2026-08-16 13:38,2026-08-16,13:38,4,2.3,29793,575182,1282111,0.02324,오디세이,902865,스파이더맨: 브랜드 뉴 데이,214079
2026-08-16 13:45,2026-08-16,13:45,4,2.3,29118,575182,1276309,0.02281,오디세이,898288,스파이더맨: 브랜드 뉴 데이,213908
2026-08-18 07:50,2026-08-18,07:50,7,0.9,6083,698079,706993,0.0086,오디세이,525249,스파이더맨: 브랜드 뉴 데이,77348
2026-08-18 07:59,2026-08-18,07:59,7,0.9,6049,698079,705372,0.00858,오디세이,524224,스파이더맨: 브랜드 뉴 데이,77022
2026-08-18 10:15,2026-08-18,10:15,7,0.8,5389,698079,691100,0.0078,오디세이,515008,스파이더맨: 브랜드 뉴 데이,73290
2026-08-20 13:05,2026-08-20,13:05,7,1.1,10230,713547,951065,0.01076,오디세이,695348,스파이더맨: 브랜드 뉴 데이,98674
2026-08-20 13:46,2026-08-20,13:46,7,1.1,10338,713547,955197,0.01082,오디세이,699404,스파이더맨: 브랜드 뉴 데이,98914
2026-08-20 13:52,2026-08-20,13:52,7,1.1,10379,713547,953000,0.01089,오디세이,697952,스파이더맨: 브랜드 뉴 데이,98538
2026-08-21 08:04,2026-08-21,08:04,6,1.4,14544,718785,1043576,0.01394,오디세이,757302,스파이더맨: 브랜드 뉴 데이,118635
2026-08-24 07:52,2026-08-24,07:52,14,0.4,2213,788263,575236,0.00385,오디세이,408401,스파이더맨: 브랜드 뉴 데이,44642
2026-08-25 07:31,2026-08-25,07:31,16,0.5,3197,791424,633817,0.00504,오디세이,426639,스파이더맨: 브랜드 뉴 데이,49132
2026-08-25 08:09,2026-08-25,08:09,16,0.5,3123,791424,625008,0.005,오디세이,419700,스파이더맨: 브랜드 뉴 데이,47870
2026-08-25 08:17,2026-08-25,08:17,16,0.5,3111,791424,624116,0.00498,오디세이,419214,스파이더맨: 브랜드 뉴 데이,47559
2026-08-26 07:38,2026-08-26,07:38,17,0.4,3097,795198,705670,0.00439,오디세이,469672,스파이더맨: 브랜드 뉴 데이,54586
2026-08-27 07:38,2026-08-27,07:38,8,0.7,4778,797193,692974,0.00689,오디세이,480434,스파이더맨: 브랜드 뉴 데이,59814
2026-09-01 08:12,2026-09-01,08:12,30,0.1,610,839775,475564,0.00128,오디세이,286444,암살자(들),36992
2026-09-01 08:13,2026-09-01,08:13,30,0.1,610,839775,475564,0.00128,오디세이,286444,암살자(들),36992
2026-09-01 08:26,2026-09-01,08:26,30,0.1,613,839775,475576,0.00129,오디세이,286521,암살자(들),37009
