ts,tickets,rate,rank,note
2026-07-23 12:06,10963,1.5,6,
2026-07-24 08:38,12250,1.5,6,
2026-07-24 08:52,12209,1.5,6,
2026-07-24 09:04,12259,1.5,6,
2026-07-24 14:36,13035,1.6,6,
2026-07-27 08:03,14557,1.7,6,7/25자 백필 (수집시각 불확실)
2026-07-27 08:07,17317,2.0,4,
2026-07-27 14:38,18426,2.1,4,
2026-07-27 17:26,18864,2.1,4,
2026-07-28 13:12,19567,1.9,4,
2026-07-28 13:20,20678,2.0,4,
2026-07-28 14:36,21027,2.0,4,
2026-07-28 16:03,21340,2.0,4,
2026-07-29 07:38,23742,1.9,4,
2026-07-29 08:07,23808,1.9,4,
2026-07-29 17:11,25642,2.2,4,
2026-07-30 07:33,29456,2.6,4,
2026-07-30 14:36,29552,2.7,4,stale-오전 세션이 늦게 기록(07:40경 수집값) 무시
2026-07-30 14:37,31810,2.9,4,
2026-07-31 07:36,37670,3.1,4,
2026-07-31 14:36,43020,3.5,4,
2026-08-01 07:31,50316,3.9,4,PC시계가 2026-08-03으로 앞서 있어 서버시계 기준으로 정정
2026-08-03 07:41,60076,6.8,3,
2026-08-03 14:37,69429,7.6,3,
2026-08-03 17:35,74048,8.0,3,
2026-08-03 17:47,74491,8.1,3,
2026-08-04 07:17,87163,8.3,3,
2026-08-04 07:50,87475,8.4,3,
2026-08-04 07:52,87475,8.4,3,
