date,day,ttv_views,ttv_likes,ttv_comments,byform_views,byform_likes,byform_comments,total_views,total_likes,total_comments
2026-07-22,13,302646,4034,296,808507,754,28,1111153,4788,324
2026-07-23,14,317693,4055,296,810385,766,28,1128078,4821,324
2026-07-24,15,338386,4103,301,813104,784,29,1151490,4887,330
2026-07-25,16,366409,4168,303,815529,803,31,1181938,4971,334
2026-07-27,18,412544,4269,308,820207,827,31,1232751,5096,339
2026-07-28,19,425906,4299,311,821139,834,31,1247045,5133,342
2026-07-29,20,442514,4334,315,822088,840,31,1264602,5174,346
2026-07-30,21,468063,4393,318,824121,852,31,1292184,5245,349
2026-07-31,22,482938,4439,321,825212,857,31,1308150,5296,352
2026-08-02,24,516345,4514,332,827921,875,33,1344266,5389,365
