date,day,adm,cum,screens,shows,rank,seat_rate,total_screens,total_shows,screen_share,show_share,seats,seat_sale,seat_share
2011-07-28,0,46338,106964,275,965,5,0.3001,3330,12253,0.0826,0.0788,145392,0.319,0.067
2011-07-29,1,54459,161423,286,999,5,0.3407,3324,12607,0.086,0.0792,151066,0.361,0.067
2011-07-30,2,93714,255137,328,1090,5,0.5374,3572,13085,0.0918,0.0833,171890,0.545,0.074
2011-07-31,3,82639,337776,345,1106,5,0.467,3535,12790,0.0976,0.0865,174789,0.473,0.077
2011-08-01,4,78362,416138,303,1060,4,0.462,3429,12506,0.0884,0.0848,170609,0.459,0.077
2011-08-02,5,83317,499455,308,1081,4,0.4817,3434,12519,0.0897,0.0863,176785,0.471,0.079
2011-08-03,6,71720,571175,310,1140,4,0.3932,3554,12635,0.0872,0.0902,195416,0.367,0.087
2011-08-04,7,62690,633865,326,1147,5,0.3416,4203,13807,0.0776,0.0831,193502,0.324,0.077
2011-08-05,8,59993,693858,301,1018,4,0.3683,3514,13379,0.0857,0.0761,164830,0.364,0.069
2011-08-06,9,97350,791208,292,990,4,0.6146,3765,13845,0.0776,0.0715,160875,0.605,0.065
2011-08-07,10,98562,889770,299,1009,4,0.6105,3731,13479,0.0801,0.0749,162873,0.605,0.068
2011-08-08,11,34242,924012,288,995,4,0.2151,3389,13075,0.085,0.0761,164723,0.208,0.07
2011-08-09,12,45298,969310,285,995,4,0.2845,3419,13020,0.0834,0.0764,165877,0.273,0.071
2011-08-10,13,41156,1010466,256,868,5,0.2963,3173,13002,0.0807,0.0668,132812,0.31,0.057
2011-08-11,14,38062,1048528,264,780,6,0.305,3376,13083,0.0782,0.0596,119058,0.32,0.051
2011-08-12,15,40895,1089423,268,797,6,0.3207,3398,13301,0.0789,0.0599,121814,0.336,0.051
2011-08-13,16,103389,1192812,316,925,5,0.6986,3848,13834,0.0821,0.0669,143677,0.72,0.058
2011-08-14,17,99071,1291883,342,988,4,0.6267,3980,13781,0.0859,0.0717,156026,0.635,0.064
2011-08-15,18,126959,1418842,363,1047,4,0.7579,3983,13432,0.0911,0.0779,168709,0.753,0.07
2011-08-16,19,32857,1451699,285,878,5,0.2339,3415,12778,0.0835,0.0687,137451,0.239,0.06
2011-08-17,20,28831,1480530,257,770,5,0.234,3520,12675,0.073,0.0607,125119,0.23,0.055
2011-08-18,21,29818,1510348,262,780,5,0.2389,3567,12817,0.0735,0.0609,127225,0.234,0.055
2011-08-19,22,30007,1540355,262,795,5,0.2359,3594,13225,0.0729,0.0601,130626,0.23,0.055
2011-08-20,23,88178,1628533,311,951,5,0.5795,3885,13870,0.0801,0.0686,156957,0.562,0.064
2011-08-21,24,81400,1709933,314,955,4,0.5327,3823,13383,0.0821,0.0714,157520,0.517,0.066
2011-08-22,25,20217,1730150,264,796,4,0.1587,3553,12458,0.0743,0.0639,128672,0.157,0.057
2011-08-23,26,24055,1754205,267,806,4,0.1865,3571,12471,0.0748,0.0646,131653,0.183,0.059
2011-08-24,27,20618,1774823,265,795,4,0.1621,3551,12336,0.0746,0.0644,129555,0.159,0.058
2011-08-25,28,16198,1791021,241,593,4,0.1707,3377,12274,0.0714,0.0483,95336,0.17,0.043
2011-08-26,29,16455,1807476,252,615,4,0.1672,3415,12756,0.0738,0.0482,98510,0.167,0.043
2011-08-27,30,64924,1872400,292,811,4,0.5003,3853,13621,0.0758,0.0595,134587,0.482,0.056
2011-08-28,31,56987,1929387,297,817,4,0.4359,3870,13128,0.0767,0.0622,135258,0.421,0.058
2011-08-29,32,7092,1936479,232,571,5,0.0776,3331,11780,0.0696,0.0485,92360,0.077,0.043
2011-08-30,33,7418,1943897,236,572,5,0.0811,3398,11806,0.0695,0.0484,93437,0.079,0.044
2011-08-31,34,7112,1951009,216,471,6,0.0944,3257,11523,0.0663,0.0409,70234,0.101,0.034
2011-09-01,35,4595,1955604,201,407,7,0.0706,3098,11508,0.0649,0.0354,58483,0.079,0.028
2011-09-02,36,3266,1958870,203,413,7,0.0494,3107,12178,0.0653,0.0339,61116,0.053,0.028
2011-09-03,37,24996,1983866,245,629,7,0.2484,3879,13104,0.0632,0.048,96329,0.26,0.041
2011-09-04,38,37550,2021416,248,639,7,0.3673,3769,12621,0.0658,0.0506,96719,0.388,0.043
2011-09-05,39,2681,2024097,202,382,7,0.0439,3065,11242,0.0659,0.034,55715,0.048,0.027
2011-09-07,41,2159,2029430,109,178,12,0.0758,2952,11785,0.0369,0.0151,,,
2011-09-08,42,1204,2030634,95,148,15,0.0508,3065,11923,0.031,0.0124,,,
2011-09-09,43,3064,2033698,104,178,13,0.1076,3159,12913,0.0329,0.0138,,,
2011-09-10,44,21515,2055213,167,347,11,0.3875,3521,14101,0.0474,0.0246,,,
2011-09-11,45,15491,2070704,168,339,11,0.2856,3595,13959,0.0467,0.0243,,,
2011-09-12,46,20577,2091281,176,350,10,0.3674,3632,13970,0.0485,0.0251,54672,0.376,0.022
2011-09-13,47,32766,2124047,177,347,10,0.5902,3682,13693,0.0481,0.0253,54823,0.598,0.022
2011-09-14,48,13901,2137948,134,243,11,0.3575,3325,12914,0.0403,0.0188,,,
2011-09-15,49,906,2138854,62,97,17,0.0584,3193,12215,0.0194,0.0079,,,
2011-09-16,50,1063,2139917,66,106,15,0.0627,3172,12675,0.0208,0.0084,,,
2011-09-17,51,9450,2149367,130,227,15,0.2602,3834,13710,0.0339,0.0166,,,
2011-09-18,52,14545,2163912,126,236,13,0.3852,3675,13251,0.0343,0.0178,,,
2011-09-19,53,524,2164436,57,85,15,0.0385,3055,11714,0.0187,0.0073,,,
2011-09-20,54,576,2165012,60,91,17,0.0396,3089,11631,0.0194,0.0078,,,
2011-09-21,55,934,2165946,64,97,15,0.0602,3074,11383,0.0208,0.0085,,,
2011-09-22,56,814,2166760,25,31,17,0.1641,2963,11451,0.0084,0.0027,,,
2011-09-23,57,683,2167443,24,34,19,0.1256,3019,12041,0.0079,0.0028,,,
2011-09-24,58,5604,2173047,80,125,13,0.2802,3769,13121,0.0212,0.0095,,,
2011-09-25,59,5227,2178274,79,125,13,0.2614,3720,12557,0.0212,0.01,,,
2011-09-26,60,109,2178383,18,20,27,0.0341,2945,11049,0.0061,0.0018,,,
2011-09-27,61,265,2178648,20,24,25,0.069,2998,10988,0.0067,0.0022,,,
2011-09-28,62,528,2179176,27,31,22,0.1065,2971,11073,0.0091,0.0028,,,
2011-09-29,63,248,2179424,11,15,22,0.1033,2980,11647,0.0037,0.0013,,,
2011-09-30,64,135,2179559,10,13,24,0.0649,3049,12081,0.0033,0.0011,,,
2011-10-01,65,1522,2181081,42,61,13,0.1559,3389,12817,0.0124,0.0048,,,
