date,day,adm,cum,screens,shows,rank,seat_rate,total_screens,total_shows,screen_share,show_share,seats,seat_sale,seat_share
2024-08-07,0,57473,107156,1065,2671,2,0.1345,7550,19760,0.1411,0.1352,332513,0.173,0.123
2024-08-08,1,35186,142342,1026,2602,2,0.0845,7645,19511,0.1342,0.1334,325904,0.108,0.122
2024-08-09,2,33470,175812,1042,2749,2,0.0761,7695,20049,0.1354,0.1371,345994,0.097,0.126
2024-08-10,3,121522,297334,1153,3617,2,0.21,8188,21624,0.1408,0.1673,471069,0.258,0.16
2024-08-11,4,109050,406384,1159,3586,2,0.1901,8020,20587,0.1445,0.1742,464965,0.235,0.166
2024-08-12,5,17737,424121,873,2394,2,0.0463,7023,18132,0.1243,0.132,313012,0.057,0.124
2024-08-13,6,16627,440748,853,2196,3,0.0473,7261,18260,0.1175,0.1203,284755,0.058,0.112
2024-08-14,7,12606,453354,595,1160,7,0.0679,7586,19723,0.0784,0.0588,140432,0.09,0.052
2024-08-15,8,92529,545883,802,1799,4,0.3215,8552,20859,0.0938,0.0862,225094,0.411,0.079
2024-08-16,9,15704,561587,623,1199,6,0.0819,8296,20278,0.0751,0.0591,144744,0.109,0.052
2024-08-17,10,54578,616165,810,1737,5,0.1964,9067,21185,0.0893,0.082,213971,0.255,0.074
2024-08-18,11,55087,671252,816,1714,4,0.2009,8944,20308,0.0912,0.0844,209175,0.263,0.075
2024-08-19,12,7651,678903,496,832,6,0.0575,7142,17263,0.0694,0.0482,97221,0.079,0.04
2024-08-20,13,7826,686729,497,826,6,0.0592,7276,17209,0.0683,0.048,95935,0.082,0.04
2024-08-21,14,5457,692186,435,571,10,0.0597,7858,17780,0.0554,0.0321,65677,0.083,0.027
2024-08-22,15,5039,697225,435,573,8,0.055,7874,17431,0.0552,0.0329,65488,0.077,0.027
2024-08-23,16,6170,703395,444,587,8,0.0657,8133,18189,0.0546,0.0323,66896,0.092,0.027
2024-08-24,17,43261,746656,727,1305,4,0.2072,9007,20126,0.0807,0.0648,156922,0.276,0.057
2024-08-25,18,43839,790495,729,1286,4,0.2131,8868,19338,0.0822,0.0665,155808,0.281,0.059
2024-08-26,19,5264,795759,426,554,8,0.0594,7461,16208,0.0571,0.0342,65472,0.08,0.029
2024-08-27,20,5645,801404,427,553,8,0.0638,7559,16138,0.0565,0.0343,63713,0.089,0.028
2024-08-28,21,4401,805805,332,404,11,0.0681,8121,17071,0.0409,0.0237,43268,0.102,0.018
2024-08-29,22,4889,810694,352,426,10,0.0717,8091,16503,0.0435,0.0258,47273,0.103,0.021
2024-08-30,23,4103,814797,356,446,10,0.0575,8093,17054,0.044,0.0262,49206,0.083,0.021
2024-08-31,24,35029,849826,695,1310,4,0.1671,9041,19445,0.0769,0.0674,160022,0.219,0.06
2024-09-01,25,35020,884846,690,1291,3,0.1695,8790,18266,0.0785,0.0707,158356,0.221,0.063
2024-09-02,26,2163,887009,294,373,11,0.0362,7011,14216,0.0419,0.0262,42797,0.051,0.021
2024-09-03,27,2579,889588,315,388,10,0.0415,7027,13969,0.0448,0.0278,45105,0.057,0.023
2024-09-04,28,3395,892983,233,287,11,0.0739,7478,16136,0.0312,0.0178,33390,0.102,0.015
2024-09-05,29,2613,895596,232,274,12,0.0596,7559,15715,0.0307,0.0174,30903,0.085,0.014
2024-09-06,30,2717,898313,235,278,11,0.0611,7784,16422,0.0302,0.0169,32664,0.083,0.014
2024-09-07,31,22295,920608,633,1166,4,0.1195,8700,19301,0.0728,0.0604,142109,0.157,0.054
2024-09-08,32,24767,945375,643,1180,4,0.1312,8447,18346,0.0761,0.0643,141080,0.176,0.056
2024-09-09,33,1427,946802,223,257,12,0.0347,6730,13623,0.0331,0.0189,,,
2024-09-10,34,1543,948345,226,267,11,0.0361,6790,13375,0.0333,0.02,29836,0.052,0.016
2024-09-11,35,1465,949810,218,267,13,0.0343,6390,13786,0.0341,0.0194,31089,0.047,0.016
2024-09-12,36,1418,951228,228,273,14,0.0325,6487,13605,0.0351,0.0201,,,
2024-09-13,37,2456,953684,271,332,9,0.0462,6572,18951,0.0412,0.0175,37474,0.066,0.014
2024-09-14,38,18727,972411,478,680,3,0.1721,7324,20748,0.0653,0.0328,74608,0.251,0.026
2024-09-15,39,21313,993724,496,697,3,0.1911,7348,20755,0.0675,0.0336,76759,0.278,0.027
2024-09-16,40,20461,1014185,510,740,3,0.1728,7229,20644,0.0705,0.0358,82162,0.249,0.029
2024-09-17,41,20362,1034547,512,749,2,0.1699,7174,20514,0.0714,0.0365,83262,0.245,0.03
2024-09-18,42,32769,1067316,495,712,2,0.2876,7339,19969,0.0674,0.0357,76803,0.427,0.028
2024-09-19,43,1648,1068964,196,231,10,0.0446,6524,17406,0.03,0.0133,24369,0.068,0.01
2024-09-20,44,2257,1071221,217,251,10,0.0562,6747,18003,0.0322,0.0139,27189,0.083,0.011
2024-09-21,45,20018,1091239,443,642,3,0.1949,7387,19502,0.06,0.0329,72998,0.274,0.028
2024-09-22,46,21435,1112674,464,683,2,0.1961,7317,18796,0.0634,0.0363,78149,0.274,0.031
2024-09-23,47,974,1113648,177,199,10,0.0306,6057,15249,0.0292,0.0131,21473,0.045,0.01
2024-09-24,48,1164,1114812,187,206,10,0.0353,6157,15100,0.0304,0.0136,22985,0.051,0.011
2024-09-25,49,1154,1115966,146,159,13,0.0454,6418,16468,0.0227,0.0097,17479,0.066,0.008
2024-09-26,50,1107,1117073,144,162,9,0.0427,6115,15299,0.0235,0.0106,17649,0.063,0.008
2024-09-27,51,1291,1118364,165,185,10,0.0436,6442,16386,0.0256,0.0113,20585,0.063,0.009
2024-09-28,52,13454,1131818,430,631,4,0.1333,7193,18967,0.0598,0.0333,70686,0.19,0.027
2024-09-29,53,14668,1146486,443,651,3,0.1408,7122,18269,0.0622,0.0356,73123,0.201,0.029
2024-09-30,54,1041,1147527,174,200,13,0.0325,6206,15735,0.028,0.0127,,,
2024-10-01,55,12680,1160207,263,327,7,0.2424,7040,18820,0.0374,0.0174,35394,0.358,0.014
2024-10-02,56,726,1160933,114,123,18,0.0369,6828,17233,0.0167,0.0071,,,
2024-10-03,57,11522,1172455,287,353,7,0.204,7781,18952,0.0369,0.0186,39744,0.29,0.016
2024-10-04,58,3517,1175972,225,279,8,0.0788,7166,17996,0.0314,0.0155,31002,0.113,0.013
2024-10-05,59,6211,1182183,344,454,8,0.0855,7819,18822,0.044,0.0241,54435,0.114,0.021
2024-10-06,60,7117,1189300,350,456,6,0.0975,7642,17718,0.0458,0.0257,52809,0.135,0.022
2024-10-07,61,410,1189710,92,98,15,0.0261,5763,13511,0.016,0.0073,,,
2024-10-08,62,703,1190413,106,117,14,0.0376,6282,14542,0.0169,0.008,,,
2024-10-09,63,10372,1200785,354,486,7,0.1334,8142,18041,0.0435,0.0269,57257,0.181,0.023
2024-10-10,64,349,1201134,101,106,20,0.0206,6462,13510,0.0156,0.0078,,,
2024-10-11,65,517,1201651,111,125,16,0.0259,6935,15012,0.016,0.0083,,,
2024-10-12,66,5139,1206790,321,420,8,0.0765,8067,17932,0.0398,0.0234,48485,0.106,0.02
2024-10-13,67,5862,1212652,333,433,8,0.0846,7881,17109,0.0423,0.0253,50325,0.117,0.022
2024-10-14,68,287,1212939,78,82,18,0.0219,5979,12511,0.013,0.0066,,,
2024-10-15,69,640,1213579,87,92,16,0.0435,6114,12523,0.0142,0.0073,,,
2024-10-16,70,144,1213723,44,45,37,0.02,6652,15022,0.0066,0.003,,,
2024-10-17,71,286,1214009,40,41,32,0.0436,6909,14956,0.0058,0.0027,,,
2024-10-18,72,463,1214472,43,43,26,0.0673,7385,16023,0.0058,0.0027,,,
2024-10-19,73,3742,1218214,252,296,12,0.079,8254,17982,0.0305,0.0165,33948,0.11,0.014
2024-10-20,74,4306,1222520,249,294,10,0.0915,8236,17461,0.0302,0.0168,33918,0.127,0.014
2024-10-21,75,114,1222634,36,37,39,0.0193,6379,13150,0.0056,0.0028,,,
2024-10-22,76,263,1222897,40,41,33,0.0401,6829,13900,0.0059,0.0029,,,
2024-10-23,77,201,1223098,28,28,39,0.0449,6676,16126,0.0042,0.0017,,,
2024-10-24,78,253,1223351,27,28,35,0.0565,6761,15855,0.004,0.0018,,,
2024-10-25,79,86,1223437,24,24,67,0.0224,7084,16656,0.0034,0.0014,,,
2024-10-26,80,1808,1225245,127,137,15,0.0825,7789,18575,0.0163,0.0074,,,
2024-10-27,81,1994,1227239,131,143,13,0.0872,7760,18185,0.0169,0.0079,15098,0.132,0.006
2024-10-28,82,158,1227397,17,17,36,0.0581,6382,14574,0.0027,0.0012,,,
2024-10-29,83,145,1227542,22,22,43,0.0412,6649,14855,0.0033,0.0015,,,
2024-10-30,84,161,1227703,11,11,47,0.0915,6719,16529,0.0016,0.0007,,,
2024-10-31,85,71,1227774,4,4,59,0.1109,6724,16151,0.0006,0.0002,,,
2024-11-01,86,157,1227931,11,11,38,0.0892,6867,16899,0.0016,0.0007,,,
2024-11-02,87,789,1228720,53,60,28,0.0822,7715,18734,0.0069,0.0032,,,
2024-11-03,88,809,1229529,52,61,24,0.0829,7610,18113,0.0068,0.0034,,,
2024-11-04,89,28,1229557,8,8,74,0.0219,6089,13908,0.0013,0.0006,,,
2024-11-05,90,168,1229725,8,9,34,0.1167,6180,13731,0.0013,0.0007,,,
