date,day,rank,title,open,adm,cum,screens,shows,adm_share,show_share,screen_share
2026-08-05,0,1,오디세이,2026-08-05,292707,295074,1682,5036,0.4227,0.3389,0.2831
2026-08-05,0,2,스파이더맨: 브랜드 뉴 데이,2026-07-29,275181,4409338,1666,5657,0.3974,0.3807,0.2804
2026-08-05,0,3,사랑의 하츄핑: 고래보석의 전설,2026-08-05,73165,100575,824,1751,0.1057,0.1178,0.1387
2026-08-05,0,4,호프,2026-07-15,30068,4265781,690,1164,0.0434,0.0783,0.1161
2026-08-05,0,5,미니언즈 & 몬스터즈,2026-07-15,5312,744045,302,340,0.0077,0.0229,0.0508
2026-08-05,0,6,어떻게 해야 했을까?,2026-07-29,4132,34278,74,140,0.006,0.0094,0.0125
2026-08-05,0,7,토이 스토리 5,2026-06-17,2768,2930322,150,162,0.004,0.0109,0.0252
2026-08-05,0,8,모아나,2026-07-08,2325,1016124,119,127,0.0034,0.0085,0.02
2026-08-05,0,9,다윗,2026-07-10,1390,270883,70,74,0.002,0.005,0.0118
2026-08-05,0,10,눈동자,2026-06-24,339,1540573,29,34,0.0005,0.0023,0.0049
2026-08-06,1,1,오디세이,2026-08-05,246220,541294,1660,4912,0.425,0.3346,0.28
2026-08-06,1,2,스파이더맨: 브랜드 뉴 데이,2026-07-29,238064,4647402,1694,5675,0.411,0.3866,0.2858
2026-08-06,1,3,사랑의 하츄핑: 고래보석의 전설,2026-08-05,43768,144343,801,1698,0.0756,0.1157,0.1351
2026-08-06,1,4,호프,2026-07-15,27200,4292981,688,1163,0.047,0.0792,0.1161
2026-08-06,1,5,미니언즈 & 몬스터즈,2026-07-15,4646,748691,284,313,0.008,0.0213,0.0479
2026-08-06,1,6,오케이 마담2,2026-08-12,4467,7874,25,25,0.0077,0.0017,0.0042
2026-08-06,1,7,어떻게 해야 했을까?,2026-07-29,3420,37698,78,143,0.0059,0.0097,0.0132
2026-08-06,1,8,토이 스토리 5,2026-06-17,2665,2932987,148,154,0.0046,0.0105,0.025
2026-08-06,1,9,다윗,2026-07-10,1607,272490,77,81,0.0028,0.0055,0.013
2026-08-06,1,10,모아나,2026-07-08,1536,1017660,106,113,0.0027,0.0077,0.0179
2026-08-07,2,1,오디세이,2026-08-05,310321,851615,1633,5013,0.4502,0.3308,0.2792
2026-08-07,2,2,스파이더맨: 브랜드 뉴 데이,2026-07-29,286716,4934118,1751,6084,0.4159,0.4015,0.2994
2026-08-07,2,3,사랑의 하츄핑: 고래보석의 전설,2026-08-05,41713,186056,822,1798,0.0605,0.1187,0.1406
2026-08-07,2,4,호프,2026-07-15,30831,4323812,658,1135,0.0447,0.0749,0.1125
2026-08-07,2,5,미니언즈 & 몬스터즈,2026-07-15,4525,753216,260,281,0.0066,0.0185,0.0445
2026-08-07,2,6,어떻게 해야 했을까?,2026-07-29,3505,41203,81,145,0.0051,0.0096,0.0139
2026-08-07,2,7,다윗,2026-07-10,2671,275161,75,79,0.0039,0.0052,0.0128
2026-08-07,2,8,토이 스토리 5,2026-06-17,2415,2935402,141,149,0.0035,0.0098,0.0241
2026-08-07,2,9,모아나,2026-07-08,1570,1019230,91,97,0.0023,0.0064,0.0156
2026-08-07,2,10,투모로우바이투게더 브이알 콘서트 : 엔드리스 라이드,2026-07-31,454,5528,2,16,0.0007,0.0011,0.0003
2026-08-08,3,1,오디세이,2026-08-05,525667,1377282,1745,5187,0.4257,0.3283,0.2901
2026-08-08,3,2,스파이더맨: 브랜드 뉴 데이,2026-07-29,514132,5448250,1802,6440,0.4164,0.4076,0.2995
2026-08-08,3,3,사랑의 하츄핑: 고래보석의 전설,2026-08-05,124187,310243,958,2216,0.1006,0.1403,0.1592
2026-08-08,3,4,호프,2026-07-15,37846,4361658,553,868,0.0307,0.0549,0.0919
2026-08-08,3,5,다윗,2026-07-10,5847,281008,125,134,0.0047,0.0085,0.0208
2026-08-08,3,6,미니언즈 & 몬스터즈,2026-07-15,5077,758293,227,240,0.0041,0.0152,0.0377
2026-08-08,3,7,어떻게 해야 했을까?,2026-07-29,4547,45750,76,140,0.0037,0.0089,0.0126
2026-08-08,3,8,명탐정 코난: 하이웨이의 타천사,2026-08-12,4355,4355,36,37,0.0035,0.0023,0.006
2026-08-08,3,9,토이 스토리 5,2026-06-17,2067,2937469,109,112,0.0017,0.0071,0.0181
2026-08-08,3,10,오케이 마담2,2026-08-12,1527,9401,12,16,0.0012,0.001,0.002
2026-08-09,4,1,오디세이,2026-08-05,497580,1874862,1798,5120,0.4321,0.3353,0.2986
2026-08-09,4,2,스파이더맨: 브랜드 뉴 데이,2026-07-29,463935,5912185,1763,6054,0.4029,0.3964,0.2928
2026-08-09,4,3,사랑의 하츄핑: 고래보석의 전설,2026-08-05,123565,433808,941,2164,0.1073,0.1417,0.1563
2026-08-09,4,4,호프,2026-07-15,32227,4393885,549,833,0.028,0.0545,0.0912
2026-08-09,4,5,다윗,2026-07-10,8343,289351,145,154,0.0072,0.0101,0.0241
2026-08-09,4,6,미니언즈 & 몬스터즈,2026-07-15,5014,763307,227,243,0.0044,0.0159,0.0377
2026-08-09,4,7,명탐정 코난: 하이웨이의 타천사,2026-08-12,4473,8828,37,38,0.0039,0.0025,0.0061
2026-08-09,4,8,어떻게 해야 했을까?,2026-07-29,3978,49728,79,137,0.0035,0.009,0.0131
2026-08-09,4,9,오케이 마담2,2026-08-12,2382,11783,12,14,0.0021,0.0009,0.002
2026-08-09,4,10,토이 스토리 5,2026-06-17,1907,2939376,99,102,0.0017,0.0067,0.0164
