date,price
2022-12-13,23650
2022-12-14,23250
2022-12-15,23000
2022-12-16,22700
2022-12-19,23850
2022-12-20,26550
2022-12-21,27000
2022-12-22,27500
2022-12-23,24750
2022-12-26,24800
2022-12-27,27150
2022-12-28,25900
2022-12-29,25300
2023-01-02,32850
2023-01-03,31650
2023-01-04,31600
2023-01-05,36500
2023-01-06,37450
2023-01-09,36800
2023-01-10,36550
2023-01-11,39750
2023-01-12,39800
2023-01-13,38700
2023-01-16,39200
2023-01-17,39150
2023-01-18,39500
2023-01-19,46850
2023-01-20,46750
2023-01-25,48200
2023-01-26,44700
2023-01-27,43800
2023-01-30,44000
2023-01-31,42800
2023-02-01,42800
2023-02-02,46900
2023-02-03,46400
2023-02-06,46650
2023-02-07,46400
2023-02-08,44450
2023-02-09,45300
2023-02-10,44250
2023-02-13,41550
2023-02-14,38750
2023-02-15,35950
2023-02-16,36450
2023-02-17,35750
2023-02-20,36800
2023-02-21,34450
2023-02-22,32500
2023-02-23,34900
2023-02-24,33350
2023-02-27,34150
2023-02-28,34750
2023-03-02,35650
2023-03-03,38000
2023-03-06,38250
2023-03-07,36400
2023-03-08,33450
2023-03-09,32600
2023-03-10,29850
2023-03-13,29200
2023-03-14,27500
2023-03-15,27600
2023-03-16,29300
2023-03-17,30550
2023-03-20,31700
2023-03-21,31050
2023-03-22,31800
2023-03-23,34400
2023-03-24,35750
2023-03-27,34300
2023-03-28,34500
2023-03-29,32550
2023-03-30,29300
2023-03-31,28350
2023-04-03,30000
2023-04-04,30600
2023-04-05,30950
2023-04-06,29700
2023-04-07,29400
2023-04-10,28650
2023-04-11,29100
2023-04-12,28500
2023-04-13,29800
2023-04-14,31250
2023-04-17,31200
2023-04-18,30300
2023-04-19,30200
2023-04-20,29100
2023-04-21,28000
2023-04-24,27900
2023-04-25,27200
2023-04-26,26800
2023-04-27,27100
2023-04-28,28800
2023-05-02,28600
2023-05-03,27250
2023-05-04,26150
2023-05-08,26800
2023-05-09,26400
2023-05-10,28000
2023-05-11,28200
2023-05-12,29400
2023-05-15,30900
2023-05-16,30900
2023-05-17,32400
2023-05-18,32200
2023-05-19,29600
2023-05-22,28950
2023-05-23,29300
2023-05-24,28550
2023-05-25,27800
2023-05-26,27350
2023-05-30,27200
2023-05-31,26950
2023-06-01,28700
2023-06-02,28050
2023-06-05,29050
2023-06-07,28450
2023-06-08,27550
2023-06-09,27400
2023-06-12,27150
2023-06-13,27500
2023-06-14,26750
2023-06-15,26800
2023-06-16,26100
2023-06-19,24450
2023-06-20,25550
2023-06-21,24450
2023-06-22,24300
2023-06-23,23950
2023-06-26,23250
2023-06-27,23250
2023-06-28,22550
2023-06-29,22200
2023-06-30,22950
2023-07-03,22950
2023-07-04,24100
2023-07-05,23900
2023-07-06,23700
2023-07-07,23000
2023-07-10,21800
2023-07-11,23350
2023-07-12,23900
2023-07-13,24300
2023-07-14,24650
2023-07-17,25050
2023-07-18,24150
2023-07-19,24900
2023-07-20,24550
2023-07-21,24550
2023-07-24,23850
2023-07-25,23250
2023-07-26,22450
2023-07-27,23100
2023-07-28,24250
2023-07-31,25000
2023-08-01,24450
2023-08-02,23400
2023-08-03,22900
2023-08-04,23500
2023-08-07,23900
2023-08-08,22800
2023-08-09,22800
2023-08-10,24000
2023-08-11,24200
2023-08-14,22500
2023-08-16,21700
2023-08-17,19800
2023-08-18,21150
2023-08-21,20200
2023-08-22,19620
2023-08-23,20200
2023-08-24,19770
2023-08-25,19620
2023-08-28,20100
2023-08-29,21800
2023-08-30,23150
2023-08-31,24250
2023-09-01,25200
2023-09-04,25400
2023-09-05,25000
2023-09-06,24400
2023-09-07,25750
2023-09-08,25600
2023-09-11,25100
2023-09-12,24750
2023-09-13,24550
2023-09-14,25950
2023-09-15,25550
2023-09-18,27150
2023-09-19,26450
2023-09-20,26800
2023-09-21,25450
2023-09-22,24000
2023-09-25,23800
2023-09-26,22400
2023-09-27,23400
2023-10-04,21800
2023-10-05,21850
2023-10-06,22300
2023-10-10,21000
2023-10-11,21050
2023-10-12,21950
2023-10-13,21700
2023-10-16,20650
2023-10-17,20850
2023-10-18,20400
2023-10-19,19620
2023-10-20,18900
2023-10-23,18750
2023-10-24,19410
2023-10-25,20100
2023-10-26,19770
2023-10-27,20600
2023-10-30,20850
2023-10-31,20000
2023-11-01,20250
2023-11-02,20150
2023-11-03,20100
2023-11-06,20500
2023-11-07,19820
2023-11-08,19900
2023-11-09,19300
2023-11-10,18400
2023-11-13,17450
2023-11-14,18520
2023-11-15,18320
2023-11-16,18910
2023-11-17,18520
2023-11-20,21850
2023-11-21,21050
2023-11-22,21000
2023-11-23,21800
2023-11-24,22750
2023-11-27,21450
2023-11-28,22250
2023-11-29,20650
2023-11-30,20900
2023-12-01,20350
2023-12-04,20950
2023-12-05,20450
2023-12-06,21950
2023-12-07,21550
2023-12-08,21100
2023-12-11,22100
2023-12-12,22100
2023-12-13,21750
2023-12-14,21600
2023-12-15,23200
2023-12-18,23450
2023-12-19,23200
2023-12-20,22700
2023-12-21,21050
2023-12-22,21450
2023-12-26,19930
2023-12-27,19890
2023-12-28,20050
2024-01-02,20650
2024-01-03,21000
2024-01-04,20500
2024-01-05,20500
2024-01-08,20150
2024-01-09,20500
2024-01-10,20450
2024-01-11,20400
2024-01-12,19850
2024-01-15,19800
2024-01-16,19390
2024-01-17,18530
2024-01-18,18990
2024-01-19,18780
2024-01-22,19200
2024-01-23,19000
2024-01-24,18650
2024-01-25,18150
2024-01-26,18090
2024-01-29,17280
2024-01-30,17000
2024-01-31,16780
2024-02-01,16360
2024-02-02,16510
2024-02-05,16660
2024-02-06,16850
2024-02-07,16970
2024-02-08,16750
2024-02-13,16580
2024-02-14,16780
2024-02-15,16600
2024-02-16,16180
2024-02-19,15700
2024-02-20,15860
2024-02-21,15990
2024-02-22,15720
2024-02-23,15350
2024-02-26,15920
2024-02-27,15560
2024-02-28,15720
