date,day,new_comments,cum_comments
2026-07-09,0,99,99
2026-07-10,1,105,204
2026-07-11,2,33,237
2026-07-12,3,25,262
2026-07-13,4,14,276
2026-07-14,5,10,286
2026-07-15,6,4,290
2026-07-16,7,9,299
2026-07-17,8,5,304
2026-07-18,9,6,310
2026-07-19,10,5,315
2026-07-20,11,5,320
2026-07-21,12,3,323
2026-07-22,13,1,324
2026-07-23,14,0,324
2026-07-24,15,6,330
2026-07-25,16,4,334
2026-07-27,18,5,339
2026-07-28,19,3,342
2026-07-29,20,4,346
2026-07-30,21,3,349
2026-07-31,22,3,352
2026-08-02,24,13,365
2026-08-03,25,2,367
2026-08-04,26,5,372
2026-08-07,29,19,391
2026-08-09,31,22,413
2026-08-10,32,7,420
2026-08-11,33,4,424
2026-08-13,35,6,430
2026-08-16,38,13,443
2026-08-17,39,5,448
2026-08-20,42,11,459
