ticker,name,company,mcap,per,pbr,ev_ebit,ev_sales,per_src,ev_ebit_src,ev_sales_src,rnd_ratio,rnd_krwmn,revenue_krwmn,rcept_no,mix_grade,otc_pct,etc_pct,other_pct,mix_note,source,fy,gov_score,flags,notes,sources,s_mix,s_rnd,s_gov,s_val,val_pct,n_multiples,score_total,c1_mix,c2_rnd,c3_gov,c4_val,n_cond,is_ref
A047920,HLB제약,"HLB Pharmaceutical Co., Ltd.",109810.71562,97.6859625319904,1.76157312777422,98.6987744933498,0.45632834990703,LTM,LTM,LTM,3.7,,205581.73865,20260319000010,A,,,,ETC 제네릭 (에독사반 퍼스트제네릭 등)+CMO+건기식. 리보세라닙 그룹 테마 위성주,paxetv.com/news/articleView.html?idxno=223451,FY2024,65.0,HLB그룹 위성주;FDA CRL 3회;유증 축소 혼란,리보세라닙 FDA CRL 3회(2024-26) — 그룹 테마 연동 급등락. 1200억 유증 발표 후 발행가 급락·규모 반토막·채무상환 트랜치 철회(2026). 대주주는 청약 대신 신주인수권 일부 매도,biotimes.co.kr/news/articleView.html?idxno=32238 | cbci.co.kr/news/articleView.html?idxno=604879,100,90.2439024390244,65.0,73.3223555497587,0.733223555497587,4,81.3,True,True,True,True,4,False
A019170,신풍제약,"Shinpoong Pharmaceutical Co.,Ltd",409621.99128,43.1459599317338,1.49026731326461,26.3879110942837,1.76694554834063,LTM,LTM,LTM,8.33,19548.995,234680.653227,20260320000611,A,,,,제네릭 롱테일(기타 품목 52.8%)+피라맥스 테마. 신약 파이프라인 실패(코로나 3상),medipana.com/news/articleView.html?idxno=336631,FY2024,75.0,횡령·배임 확정판결(2025);미공개정보 이용(2025);테마 고점 매도(2020-21),전 대표 장원준 횡령·배임 대법 확정 징역 1.5년(2025-05). 증선위: 임상실패 미공개정보로 369억 손실 회피 — 검찰 통보(2025). 2020 피라맥스 테마 고점서 자사주 2154억 매도,news.nate.com/view/20250512n13846 | news.imbc.com 2025 | paxnetnews.com/articles/65457,100,36.58536585365854,75.0,78.78873278801544,0.7878873278801544,4,74.7,True,False,True,True,3,False
A002210,동성제약,"Dong Sung Bio Pharm.Co.,Ltd.",142892.24705,16.1414994358883,0.456107362543621,,,LTM,,,4.27,3781.044,87168.895112,20260506000554,A,60.0,,40.0,OTC(정로환)+염모제(세븐에이트)+화장품 — 소비재형. ETC 미미,dailypharm.com/user/news/21504 | dealsite.co.kr/articles/155172,FY2024,85.0,회장 리베이트 유죄(확정);회생절차(2025);상폐 위험,이양구 회장 리베이트 유죄(집유). 2025 경영권 이중매각 분쟁→연쇄 부도→회생절차 개시(2025-06)→태광 컨소시엄 인수 진행. 상폐 위험 반복 제기,businesspost.co.kr num=403376 | v.daum.net/v/20250805150003786,100,75.60975609756098,85.0,40.423242467718794,0.40423242467718795,2,73.5,True,True,True,False,3,False
A067290,JW신약,JW Shinyak Corporation,116773.93673,9.37352761332796,2.99890622245796,17.6468229445237,1.62338342322034,LTM,LTM,LTM,3.85,3123.0,81043.717132,20260318001271,A,,,,피부과·탈모 ETC 제네릭 (모나드 등)+JW크레아젠. 탈모 테마성,leadeconomy.co.kr/news/articleView.html?idxno=9636,FY2024,45.0,리베이트 판매정지 56품목(2024);그룹 리스크;테마성,아일리아점안액 등 리베이트 8억 — 56품목 3개월 정지(2024-10). 그룹(JW중외) 역대 최대 과징금+대표 유죄(2026 항소심). 탈모보험 테마 3배 급등(탈모 매출 3%뿐),economidaily.com/view/20241024145430805 | leadeconomy.co.kr/news/articleView.html?idxno=9636,100,82.92682926829268,45.0,64.7894579117678,0.647894579117678,4,72.3,True,True,True,False,3,False
A068760,셀트리온제약,"Celltrion Pharm, Inc.",1821635.7932,73.6258105027495,6.28917217017956,,,LTM,,,3.75,,536400.308882,20260316001332,B,,46.0,54.0,케미컬(제네릭·고덱스) 46.4%+바이오시밀러 유통·CMO 53.8% — 그룹 내부거래 구조,medicopharma.co.kr/news/articleView.html?idxno=69382,1H2026,40.0,회계처리 위반(2022);합병 무산(2024);구조적 내부거래,"증선위 회계기준 위반 — 개발비 과대 등(고의성 없음 결론, 2022). 셀트리온과 합병 — 주주 96% 반대로 무산(고평가 논란, 2024). 바이오 매출=모회사 시밀러 내부거래 구조",newspim.com/news/view/20220311000809 | hankyung.com/article/202408166139i,50,87.8048780487805,40.0,94.61979913916785,0.9461979913916786,2,68.4,False,True,True,True,3,False
A001360,삼성제약,"SAMSUNG PHARM. Co., LTD.",116991.527928,,,,,,,,7.51,3462.179504,46074.379551,20260318001547,A,97.0,,3.0,OTC 위주 (까스명수·우황청심환) 제약제조 ~97%. 13년 연속 영업적자+GV1001 테마,KIND FY2024 사업보고서 | mdtoday.co.kr/news/view/1065595253025027,FY2024,90.0,젬백스 자금순환;허가취소(2020);CB 32회 2690억;유증 자금 전용,리아백스 허가취소(2020)+임의제조(2021). 누적 CB 약 2690억(32회차)+유증 — 2024 유증 406억 중 임상 목적의 72%가 CSO 수수료·판관비로 사용. 13년 연속 영업적자. GV1001 알츠하이머 2상 실패(2026),mdtoday.co.kr/news/view/1065595253025027 | ibtomato.com no=15804,100,46.34146341463414,90.0,,,0,71.8,True,False,True,False,2,False
A000250,삼천당제약,"Sam Chun Dang Pharm. Co., Ltd",3944158.021,,14.3483429773099,,17.5306392987404,,,LTM,6.73,15608.676,231805.277738,20260602000573,B,,61.0,,안과 제네릭 61%+아일리아 시밀러·경구 GLP-1 테마,medicopharma.co.kr/news/articleView.html?idxno=66066,1Q2025,70.0,불성실공시 제재(2026);계약 연기 4회;과장성 공시 반복;불균등 감자,아일리아 시밀러 본계약 4회 연기·상대방 비공개 — 캐나다 매출 97억 vs 실처방 38억 괴리로 불성실공시 제재(2026). 경구 인슐린·위고비 제네릭 테마 공시 반복. 불균등 유상감자로 가족 지배 강화+전량 증여 승계,news.nate.com/view/20260423n22339 | pharm.edaily.co.kr newsId=02053286642206312,50,57.31707317073172,70.0,97.26533628972653,0.9726533628972653,2,70.6,False,False,True,True,2,False
A067080,대화제약,"DAE HWA Pharmaceutical Co., Ltd.",177268.498,42.8301847299744,2.42673978557643,51.627135498198,1.91949762301771,LTM,LTM,LTM,7.38,10560.853,143060.002187,20260323000941,A,,96.0,,"ETC 제네릭+파스+수액 ~120품목, 내수 96%. 리포락셀 테마",pharm.edaily.co.kr/news/read?newsId=01489126635838520,FY2023,15.0,승계 취약;오너 연계 자회사,"2세 김은석 승계 진행 — 본인 지분 ~1%뿐, 창업주들 매도 중. 리독스바이오(오너 자회사) 지분 64% 확대(조건 미확인). 제재 미발견",thebionews.net/news/articleView.html?idxno=7788 | dailymedi.com wr_id=911980,100,48.78048780487805,15.0,86.79855534231432,0.8679855534231431,4,64.5,True,False,False,True,2,False
A011040,경동제약,"Kyung Dong Pharmaceutical Co., Ltd.",135247.68540000002,11.8773050818221,0.64713053552314,14.1318853818604,0.670728332732209,LTM,LTM,LTM,5.2,10184.889,196273.042787,20260320001252,A,13.0,84.0,,의약품 ~97%: ETC 제네릭 중심 (듀오로반 등)+그날엔 OTC. 신약 없음,wisereport.co.kr | newsthevoice.com/news/articleView.html?idxno=15257,FY2024,50.0,공정위 리베이트 과징금(2022);적자배당,골프 접대 12.2억 리베이트 — 공정위 과징금 2.4억(2022-11). 적자에도 배당(오너가 수혜) 비판+인력 588→405명 급감(2023). 2세 류기성 단독 체제,sisajournal.com/news/articleView.html?idxno=250908 | newswell.co.kr/news/articleView.html?idxno=9684,100,70.73170731707317,50.0,37.780461408510185,0.37780461408510185,4,63.0,True,False,True,False,2,False
A004310,현대약품,"Hyundai Pharmaceutical Co., Ltd.",164128.78472,101.263251605768,1.42271781164642,,,LTM,,,9.68,,191790.079025,20260213002543,A,,,35.0,자체품(미에로화이바·마이녹실) 65%+상품 35%. ETC는 제네릭·도입약,sisajournal-e.com/news/articleView.html?idxno=419470,FY2024,20.0,오너가 뉴스 급등 매도(2020),당뇨신약 뉴스 급등에 오너 일가·관계사 지분 매도(2020) — 반복 패턴 비판. 3세 이상준 단독 대표(2021~). 리베이트·횡령 제재 미발견,etoday.co.kr/news/view/1906326,100,29.268292682926834,20.0,84.14634146341464,0.8414634146341464,2,61.1,True,False,False,True,2,False
