ISIN,SEDOL,Security Name,Currency,Number of Shares,Percent of Fund,Trade Country Name,Local Price,Sector Classification,Industry Classification,Base Market Value,bb_ticker,bb_exch,sec_type,figi_name
US67066G1040,2379504,NVIDIA Corporation,USD,4788440.0,4.973835,United States,222.27,Information Technology,Semiconductors & Semiconductor Equipment,1064326500.0,NVDA,US,Common Stock,NVIDIA CORP
US0378331005,2046251,Apple Inc.,USD,3058480.0,4.804292,United States,336.13,Information Technology,Technology Hardware Storage & Peripherals,1028046900.0,AAPL,US,Common Stock,APPLE INC
US5949181045,2588173,Microsoft Corporation,USD,1469504.0,3.390945,United States,493.78,Information Technology,Software,725611700.0,MSFT,US,Common Stock,MICROSOFT CORP
US0231351067,2000019,Amazon.com Inc.,USD,2015788.0,2.390006,United States,253.71,Consumer Discretionary,Broadline Retail,511425570.0,AMZN,US,Common Stock,AMAZON.COM INC
US02079K3059,BYVY8G0,Alphabet Inc. Class A,USD,1227426.0,2.004974,United States,349.54,Communication Services,Interactive Media & Services,429034500.0,GOOGL,US,Common Stock,ALPHABET INC-CL A
TW0002330008,6889106,Taiwan Semiconductor Manufacturing Co. Ltd.,TWD,5099825.0,1.845832,Taiwan,2460.0,Information Technology,Semiconductors & Semiconductor Equipment,394980580.0,2330,TT,Common Stock,TAIWAN SEMICONDUCTOR MANUFAC
US11135F1012,BDZ78H9,Broadcom Inc.,USD,941240.0,1.572992,United States,357.61,Information Technology,Semiconductors & Semiconductor Equipment,336596830.0,AVGO,US,Common Stock,BROADCOM INC
US02079K1079,BYY88Y7,Alphabet Inc. Class C,USD,966237.0,1.555163,United States,344.41,Communication Services,Interactive Media & Services,332781700.0,GOOG,US,Common Stock,ALPHABET INC-CL C
US30303M1027,B7TL820,Meta Platforms Inc Class A,USD,457435.0,1.423171,United States,665.75,Communication Services,Interactive Media & Services,304537340.0,META,US,Common Stock,META PLATFORMS INC-CLASS A
US5951121038,2588184,Micron Technology Inc.,USD,235497.0,1.117918,United States,1015.8,Information Technology,Semiconductors & Semiconductor Equipment,239217860.0,MU,US,Common Stock,MICRON TECHNOLOGY INC
US88160R1014,B616C79,Tesla Inc.,USD,595853.0,1.014329,United States,364.27,Consumer Discretionary,Automobiles,217051380.0,TSLA,US,Common Stock,TESLA INC
US46625H1005,2190385,JPMorgan Chase & Co.,USD,551468.0,0.901146,United States,349.67,Financials,Banks,192831800.0,JPM,US,Common Stock,JPMORGAN CHASE & CO
US5324571083,2516152,Eli Lilly and Company,USD,166874.0,0.8991,United States,1152.93,Health Care,Pharmaceuticals,192394050.0,LLY,US,Common Stock,ELI LILLY & CO
US0079031078,2007849,Advanced Micro Devices Inc.,USD,340198.0,0.890014,United States,559.82,Information Technology,Semiconductors & Semiconductor Equipment,190449650.0,AMD,US,Common Stock,ADVANCED MICRO DEVICES
US0846707026,2073390,Berkshire Hathaway Inc. Class B,USD,290608.0,0.692306,United States,509.77,Financials,Financial Services,148143250.0,BRK/B,US,Common Stock,BERKSHIRE HATHAWAY INC-CL B
US30233Q1085,BVSRPD7,Exxonmobil Holdings Corporation,USD,862638.0,0.659279,United States,163.54,Energy,Oil Gas & Consumable Fuels,141075820.0,XOM,US,Common Stock,EXXONMOBIL HOLDINGS CORP
US4781601046,2475833,Johnson & Johnson,USD,498544.0,0.629025,United States,269.99,Health Care,Pharmaceuticals,134601890.0,JNJ,US,Common Stock,JOHNSON & JOHNSON
NL0010273215,B929F46,ASML Holding NV,EUR,80986.0,0.627271,Netherlands,1446.0,Information Technology,Semiconductors & Semiconductor Equipment,134226620.0,ASML,,Common Stock,ASML HOLDING NV
US92826C8394,B2PZN04,Visa Inc. Class A,USD,345571.0,0.594763,United States,368.29,Financials,Financial Services,127270344.0,V,US,Common Stock,VISA INC-CLASS A SHARES
US4581401001,2463247,Intel Corporation,USD,918130.0,0.465962,United States,108.6,Information Technology,Semiconductors & Semiconductor Equipment,99708920.0,INTC,US,Common Stock,INTEL CORP
US9311421039,2936921,Walmart Inc.,USD,908319.0,0.453045,United States,106.73,Consumer Staples,Consumer Staples Distribution & Retail,96944890.0,WMT,US,Common Stock,WALMART INC
US00287Y1091,B92SR70,AbbVie Inc.,USD,366315.0,0.451866,United States,263.96,Health Care,Biotechnology,96692504.0,ABBV,US,Common Stock,ABBVIE INC
US57636Q1040,B121557,Mastercard Incorporated Class A,USD,168992.0,0.446391,United States,565.24,Financials,Financial Services,95521040.0,MA,US,Common Stock,MASTERCARD INC - A
US17275R1023,2198163,Cisco Systems Inc.,USD,823593.0,0.421486,United States,109.51,Information Technology,Communications Equipment,90191670.0,CSCO,US,Common Stock,CISCO SYSTEMS INC
US22160K1051,2701271,Costco Wholesale Corporation,USD,91505.0,0.382855,United States,895.31,Consumer Staples,Consumer Staples Distribution & Retail,81925340.0,COST,US,Common Stock,COSTCO WHOLESALE CORP
US69608A1088,BN78DQ4,Palantir Technologies Inc. Class A,USD,455825.0,0.378404,United States,177.64,Information Technology,Software,80972750.0,PLTR,US,Common Stock,PALANTIR TECHNOLOGIES INC-A
US1667641005,2838555,Chevron Corporation,USD,382682.0,0.374679,United States,209.51,Energy,Oil Gas & Consumable Fuels,80175704.0,CVX,US,Common Stock,CHEVRON CORP
US1491231015,2180201,Caterpillar Inc.,USD,96343.0,0.364233,United States,808.99,Industrials,Machinery,77940520.0,CAT,US,Common Stock,CATERPILLAR INC
US0605051046,2295677,Bank of America Corp,USD,1338903.0,0.361216,United States,57.73,Financials,Banks,77294870.0,BAC,US,Common Stock,BANK OF AMERICA CORP
US58933Y1055,2778844,Merck & Co. Inc.,USD,513974.0,0.352769,United States,146.87,Health Care,Pharmaceuticals,75487360.0,MRK,US,Common Stock,MERCK & CO. INC.
US5128073062,BSML4N7,Lam Research Corporation,USD,261668.0,0.35231,United States,288.11,Information Technology,Semiconductors & Semiconductor Equipment,75389170.0,LRCX,US,Common Stock,LAM RESEARCH CORP
US0382221051,2046552,Applied Materials Inc.,USD,165984.0,0.344844,United States,444.57,Information Technology,Semiconductors & Semiconductor Equipment,73791500.0,AMAT,US,Common Stock,APPLIED MATERIALS INC
GB0005405286,0540528,HSBC Holdings Plc,GBP,3568418.0,0.337032,United Kingdom,15.126,Financials,Banks,72119880.0,HSBA,LN,Common Stock,HSBC HOLDINGS PLC
US91324P1021,2917766,UnitedHealth Group Incorporated,USD,188834.0,0.3326,United States,376.9,Health Care,Health Care Providers & Services,71171540.0,UNH,US,Common Stock,UNITEDHEALTH GROUP INC
US1912161007,2206657,Coca-Cola Company,USD,793330.0,0.327179,United States,88.25,Consumer Staples,Beverages,70011380.0,KO,US,Common Stock,COCA-COLA CO/THE
US7427181091,2704407,Procter & Gamble Company,USD,476402.0,0.325913,United States,146.39,Consumer Staples,Household Products,69740490.0,PG,US,Common Stock,PROCTER & GAMBLE CO/THE
KYG875721634,BMMV2K8,Tencent Holdings Ltd,HKD,1298500.0,0.324041,China,419.0,Communication Services,Interactive Media & Services,69339830.0,700,HK,,
US3696043013,BL59CR9,GE Aerospace,USD,216943.0,0.318614,United States,314.27,Industrials,Aerospace & Defense,68178680.0,GE,US,Common Stock,GENERAL ELECTRIC
US64110L1061,2857817,Netflix Inc.,USD,870749.0,0.292128,United States,71.79,Communication Services,Entertainment,62511070.0,NFLX,US,Common Stock,NETFLIX INC
CH1499059983,BTMJD19,Roche Holding Ltd,CHF,143270.0,0.289897,Switzerland,356.8,Health Care,Pharmaceuticals,62033536.0,ROP,SW,Common Stock,ROCHE HOLDING AG
US4370761029,2434209,Home Depot Inc.,USD,206722.0,0.289798,United States,299.98,Consumer Discretionary,Specialty Retail,62012464.0,HD,US,Common Stock,HOME DEPOT INC
US6974351057,B87ZMX0,Palo Alto Networks Inc.,USD,170404.0,0.289532,United States,363.58,Information Technology,Software,61955490.0,PANW,US,Common Stock,PALO ALTO NETWORKS INC
US7181721090,B2PKRQ3,Philip Morris International Inc.,USD,322813.0,0.284548,United States,188.62,Consumer Staples,Tobacco,60888988.0,PM,US,Common Stock,PHILIP MORRIS INTERNATIONAL
US38141G1040,2407966,Goldman Sachs Group Inc.,USD,61546.0,0.270936,United States,942.0,Financials,Capital Markets,57976332.0,GS,US,Common Stock,GOLDMAN SACHS GROUP INC
CA7800871021,2754383,Royal Bank of Canada,CAD,282032.0,0.267636,Canada,284.45,Financials,Banks,57270136.0,RY,CN,Common Stock,ROYAL BANK OF CANADA
GB00BP6MXD84,BP6MXD8,Shell Plc,GBP,1204479.0,0.266165,United Kingdom,35.39,Energy,Oil Gas & Consumable Fuels,56955412.0,SHEL,LN,Common Stock,SHELL PLC
US80004C2008,BSNPZV3,Sandisk Corporation,USD,30951.0,0.25917,United States,1791.82,Information Technology,Technology Hardware Storage & Peripherals,55458620.0,SNDK,US,Common Stock,SANDISK CORP
US75513E1010,BM5M5Y3,RTX Corporation,USD,279303.0,0.253218,United States,194.0,Industrials,Aerospace & Defense,54184784.0,RTX,US,Common Stock,RTX CORP
US9497461015,2649100,Wells Fargo & Company,USD,629074.0,0.253176,United States,86.12,Financials,Banks,54175852.0,WFC,US,Common Stock,WELLS FARGO & CO
US68389X1054,2661568,Oracle Corporation,USD,361492.0,0.249362,United States,147.61,Information Technology,Software,53359836.0,ORCL,US,Common Stock,ORACLE CORP
US36828A1016,BP6H4Y1,GE Vernova Inc.,USD,56371.0,0.247715,United States,940.33,Industrials,Electrical Equipment,53007344.0,GEV,US,Common Stock,GE VERNOVA INC
GB0009895292,0989529,AstraZeneca PLC,GBP,316475.0,0.247014,United Kingdom,125.0,Health Care,Pharmaceuticals,52857256.0,AZN,LN,Common Stock,ASTRAZENECA PLC
CH0012005267,7103065,Novartis AG,CHF,376455.0,0.245726,Switzerland,115.1,Health Care,Pharmaceuticals,52581730.0,NOVN,SW,Common Stock,NOVARTIS AG-REG
JP3902900004,6335171,Mitsubishi UFJ Financial Group Inc.,JPY,2234100.0,0.240079,Japan,3620.0,Financials,Banks,51373296.0,8306,JP,Common Stock,MITSUBISHI UFJ FINANCIAL GRO
US8825081040,2885409,Texas Instruments Incorporated,USD,190183.0,0.236981,United States,266.64,Information Technology,Semiconductors & Semiconductor Equipment,50710396.0,TXN,US,Common Stock,TEXAS INSTRUMENTS INC
