ticker,company,roic_sg,roe_sg,ev_sales,ev_ebit,ev_ebitda,per,pbr,sector,industry_group,industry,primary_industry,sic_industry,ev_fcf,ev_sales_src,ev_ebit_src,ev_ebitda_src,per_src,country,region
NasdaqGS:NVDA,NVIDIA Corporation,1.623064467627608,1.6547284676276082,12.9836836756024,19.8760325135642,19.6766682429261,23.8816907037938,23.4389903444267,Information Technology,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment,Semiconductors,Semiconductors and Related Devices,126.925428875976,2026E,2026E,2026E,2026E,United States,Global
NasdaqGS:AAPL,Apple Inc.,0.8524224324804683,1.9361894324804685,9.91237555364111,30.7194349327367,28.4369041511176,37.8090481653956,45.6706746659076,Information Technology,Technology Hardware and Equipment,"Technology Hardware, Storage and Peripherals","Technology Hardware, Storage and Peripherals",Radio and Television Broadcasting and Communications Equipment,44.9617937248122,2026E,2026E,2026E,2026E,United States,Global
NasdaqGS:MSFT,Microsoft Corporation,0.37875451811702243,0.5101515181170224,10.3569715491404,22.1686837278263,17.2680518096426,26.6101174276922,8.28980978934233,Information Technology,Software and Services,Software,Systems Software,Prepackaged Software,201.317237176727,2026E,2026E,2026E,2026E,United States,Global
NasdaqGS:AMZN,"Amazon.com, Inc.",0.5069111737274653,0.5211011737274653,3.45955259213897,26.0821359284979,13.2123837871516,19.7190630044698,4.95949200852467,Consumer Discretionary,Consumer Discretionary Distribution and Retail,Broadline Retail,Broadline Retail,Catalog and Mail-Order Houses,,2026E,2026E,2026E,2026E,United States,Global
NasdaqGS:GOOGL,Alphabet Inc.,0.8245727717774514,0.7813987717774514,8.30985805409832,24.123677904337,17.7775836446327,16.9509279510395,6.86774228287219,Communication Services,Media and Entertainment,Interactive Media and Services,Interactive Media and Services,"Computer Programming, Data Processing, And Other Computer Related Services",172.099312078097,2026E,2026E,2026E,2026E,United States,Global
TWSE:2330,Taiwan Semiconductor Manufacturing Company Limited,1.136199418201942,1.230737418201942,11.3747978191797,19.4012953707675,15.4161983850764,23.0006883512457,9.99799370905272,Information Technology,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment,Semiconductors,Semiconductors and Related Devices,83.8586932054676,2026E,2026E,2026E,2026E,Taiwan,Global
NasdaqGS:AVGO,Broadcom Inc.,1.2311725074262225,1.3650805074262227,14.0984286066154,21.0769746603729,20.8023630156516,26.1766729617755,17.1253901711821,Information Technology,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment,Semiconductors,Semiconductors and Related Devices,53.5441794500568,2026E,2026E,2026E,2026E,United States,Global
NasdaqGS:GOOG,Alphabet Inc.,0.8245727717774514,0.7813987717774514,9.29171699568929,28.0801472850878,23.2074833906584,,,Communication Services,Media and Entertainment,Interactive Media and Services,Interactive Media and Services,"Computer Programming, Data Processing, And Other Computer Related Services",172.099312078097,LTM,LTM,LTM,,United States,Global
NasdaqGS:META,"Meta Platforms, Inc.",0.7477384500823703,0.8471614500823702,6.76087344607245,19.6900517169025,11.8776006511582,21.3402750531463,6.49385390745407,Communication Services,Media and Entertainment,Interactive Media and Services,Interactive Media and Services,"Computer Programming, Data Processing, And Other Computer Related Services",75.281705797923,2026E,2026E,2026E,2026E,United States,Global
NasdaqGS:MU,"Micron Technology, Inc.",4.744949488072956,4.343554488072956,6.46252138210801,8.05587120697157,7.53949667616699,9.73958732837309,11.3859478303896,Information Technology,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment,Semiconductors,Semiconductors and Related Devices,144.346585653268,2026E,2026E,2026E,2026E,United States,Global
