date,evs,eve,ebitda,per,pbr
2016-08-31,1.8022,18.3639,14.9086,21.1443,2.2014
2016-09-30,1.8283,18.6294,15.1241,21.4106,2.2291
2016-10-31,1.6427,16.7377,13.5884,19.5126,2.0315
2016-11-30,1.0647,10.469,8.6883,20.8456,1.5826
2016-12-31,1.1341,11.1507,9.254,21.8474,1.6586
2017-01-31,1.0194,10.0232,8.3183,20.1906,1.5328
2017-02-28,1.0621,10.4427,8.6665,20.8071,1.5796
2017-03-31,1.2992,13.396,10.8782,25.0644,1.7039
2017-04-30,1.5195,15.6674,12.7228,25.9227,1.7623
2017-05-31,1.4807,14.2553,11.7222,29.8499,1.9738
2017-06-30,1.3222,12.7298,10.4677,27.1755,1.797
2017-07-31,1.22,11.7455,9.6584,25.4501,1.6829
2017-08-31,1.2539,12.9869,10.3435,27.6465,1.4649
2017-09-30,1.2384,12.827,10.2162,27.3449,1.4489
2017-10-31,1.3773,14.2654,11.3618,30.0593,1.5928
2017-11-30,1.6032,20.5498,15.0608,27.3195,1.6084
2017-12-31,1.5031,19.2677,14.1212,25.7151,1.514
2018-01-31,1.5448,19.8019,14.5127,26.3836,1.5533
2018-02-28,1.4087,18.0569,13.2338,24.1999,1.4248
2018-03-31,1.4436,20.4106,14.4836,30.9374,1.6217
2018-04-30,1.3663,19.317,13.7075,29.4307,1.5427
2018-05-31,1.6631,42.3594,23.3104,41.6529,1.5246
2018-06-30,2.0715,52.7628,29.0355,52.0662,1.9058
2018-07-31,1.9053,48.5297,26.706,47.8291,1.7507
2018-08-31,2.5603,75.349,38.1978,95.5691,2.2506
2018-09-30,2.6358,77.5706,39.324,98.4651,2.3188
2018-10-31,2.209,65.0105,32.9567,82.0914,1.9332
2018-11-30,2.6551,88.9659,42.7855,203.8863,2.2677
2018-12-31,2.9011,97.2089,46.7497,223.1475,2.4819
2019-01-31,2.6611,89.167,42.8822,204.3561,2.2729
2019-02-28,2.5741,86.2518,41.4802,197.5442,2.1971
2019-03-31,2.4878,111.2174,44.8086,36.8885,1.8914
2019-04-30,2.3993,107.2627,43.2153,35.225,1.8061
2019-05-31,2.192,,47.2208,22.9589,1.4977
2019-06-30,2.0823,,44.858,21.7209,1.4169
2019-07-31,1.8198,,39.2017,18.7573,1.2236
2019-08-31,1.4549,,30.8097,19.7112,1.0604
2019-09-30,1.5709,,33.2663,21.4313,1.1529
2019-10-31,1.803,,38.1796,24.8715,1.3379
2019-11-30,1.6911,,44.6823,34.3515,1.2597
2019-12-31,1.8469,,48.7995,37.8074,1.3864
2020-01-31,2.1118,,55.7986,43.6824,1.6019
2020-02-29,2.0314,,53.6748,41.8853,1.536
2020-03-31,1.7083,,24.1538,,1.2898
2020-04-30,2.0907,,29.5609,,1.5901
2020-05-31,2.149,,28.8149,,1.6018
2020-06-30,2.6937,,36.1183,,2.0158
2020-07-31,2.9516,,39.5771,,2.2025
2020-08-31,3.572,,45.4207,,2.4809
2020-09-30,4.4477,,56.5559,,3.0845
2020-10-31,2.9586,,37.6211,,2.0581
2020-11-30,3.2747,,41.8457,,2.3085
2020-12-31,3.3482,,42.7841,,2.356
2021-01-31,3.3976,,43.4156,,2.3902
2021-02-28,3.4242,,43.7557,,2.4087
2021-03-31,2.961,,45.6587,61.8915,2.3149
2021-04-30,2.7515,,42.4292,57.7886,2.1614
2021-05-31,2.8485,90.7491,37.9207,52.0299,2.3941
2021-06-30,2.8668,91.3325,38.1645,52.3366,2.4082
2021-07-31,2.9584,94.2523,39.3845,53.8699,2.4787
2021-08-31,3.0716,66.6015,34.3213,163.7024,2.8645
2021-09-30,3.1392,68.0667,35.0764,166.9441,2.9212
2021-10-31,3.6109,78.2959,40.3478,189.9056,3.323
2021-11-30,2.7836,38.7763,24.9733,,2.646
2021-12-31,2.7841,38.7829,24.9776,,2.646
2022-01-31,2.4339,33.9044,21.8356,,2.3277
2022-02-28,3.3071,46.0696,29.6704,,3.121
2022-03-31,3.4514,47.8878,30.8508,180.4749,3.3152
2022-04-30,2.8858,40.04,25.795,150.3958,2.7627
2022-05-31,3.046,50.3736,29.5056,,2.7791
2022-06-30,2.3596,39.0219,22.8564,,2.1678
2022-07-31,2.9667,49.0619,28.7372,,2.7054
