date,evs,eve,ebitda,per,pbr,fcf
2016-08-31,,,,,,
2016-09-30,,,,,,
2016-10-31,,,,,,
2016-11-30,,,,,,
2016-12-31,,,,,,
2017-01-31,,,,,,
2017-02-28,,,,,,
2017-03-31,,,,,,
2017-04-30,,,,,,
2017-05-31,,,,,,
2017-06-30,,,,,,
2017-07-31,,,,,,
2017-08-31,,,,,,
2017-09-30,,,,,,
2017-10-31,,,,,,
2017-11-30,,,,,,
2017-12-31,,,,,,
2018-01-31,,,,,,
2018-02-28,,,,,,
2018-03-31,,,,,,
2018-04-30,,,,,,
2018-05-31,,,,,,
2018-06-30,,,,,,
2018-07-31,,,,,,
2018-08-31,,,,,,
2018-09-30,,,,,,
2018-10-31,,,,,,
2018-11-30,,,,,,
2018-12-31,,,,,,
2019-01-31,,,,,,
2019-02-28,,,,,,
2019-03-31,,,,,,
2019-04-30,,,,,,
2019-05-31,,,,,,
2019-06-30,,,,,,
2019-07-31,,,,,,
2019-08-31,,,,,,
2019-09-30,,,,,,
2019-10-31,,,,,,
2019-11-30,,,,,,
2019-12-31,,,,,,
2020-01-31,,,,,,
2020-02-29,,,,,,
2020-03-31,,,,,,
2020-04-30,,,,,,
2020-05-31,,,,,,
2020-06-30,,,,,,
2020-07-31,,,,,,
2020-08-31,,,,,,
2020-09-30,,,,,,
2020-10-31,,,,,,
2020-11-30,,,,,,
2020-12-31,,,,,,
2021-01-31,,,,,,
2021-02-28,,,,,,
2021-03-31,,,,,,
2021-04-30,,,,,,
2021-05-31,,,,,,
2021-06-30,,,,,,
2021-07-31,,,,,,
2021-08-31,,,,,,
2021-09-30,,,,,,
2021-10-31,,,,,,
2021-11-30,,,,,,
2021-12-31,,,,,,
2022-01-31,,,,,,
2022-02-28,,,,,,
2022-03-31,,,,,,
2022-04-30,,,,,,
2022-05-31,,,,,,
2022-06-30,,,,,,
2022-07-31,,,,,,
2022-08-31,,,,,,
2022-09-30,,,,,,
2022-10-31,,,,,,
2022-11-30,,,,,,
2022-12-31,3.7427,34.8669,23.0348,,6.6236,
2023-01-31,6.3565,59.2173,39.1218,,11.2051,
2023-02-28,5.1541,48.0161,31.7218,,9.0976,
2023-03-31,3.141,,59.3039,,4.7854,
2023-04-30,3.1933,,60.2919,,4.8614,
2023-05-31,2.7935,,64.3977,,4.3222,
2023-06-30,2.3595,,54.3923,,3.6807,
2023-07-31,2.582,,59.5201,,4.0094,
2023-08-31,2.2817,,,,4.1334,
2023-09-30,2.1982,,295.4753,,3.9885,
2023-10-31,1.8644,,250.6078,,3.409,
2023-11-30,1.8209,,,,3.012,
2023-12-31,1.7427,,,,2.8895,
2024-01-31,1.4417,,,,2.4183,
2024-02-29,1.3304,,,,2.2439,
2024-03-31,1.3065,,,,2.5377,
2024-04-30,1.2013,,,,2.3173,
2024-05-31,0.9608,,,,2.2529,
2024-06-30,0.7993,,,,1.848,
2024-07-31,0.9128,,,,2.1326,
2024-08-31,1.0909,,,,3.3726,
2024-09-30,1.3073,,,,4.0814,
2024-10-31,1.0814,,,,3.3414,
2024-11-30,0.9789,,,,4.1617,19.3958
2024-12-31,0.9716,,,,4.1293,19.2515
2025-01-31,1.1545,,,,4.9434,22.8749
2025-02-28,2.0113,,,,8.7581,39.8517
2025-03-31,1.9682,,38.9368,,8.0774,8.5334
2025-04-30,2.6136,,51.7049,,10.6102,11.3317
2025-05-31,4.6996,98.7972,31.5364,,17.1317,23.3692
2025-06-30,5.8176,122.2995,39.0384,,20.9363,28.9284
2025-07-31,4.9199,103.4276,33.0145,,17.7696,24.4645
2025-08-31,3.3115,30.2703,15.8594,136.5541,7.7294,
2025-09-30,3.8949,35.6031,18.6534,145.2653,8.2225,
2025-10-31,3.6227,33.1151,17.3499,134.1997,7.5962,
2025-11-30,2.6112,17.7139,10.7209,38.2332,4.8404,
2025-12-31,2.5646,17.3979,10.5296,37.2425,4.715,
2026-01-31,2.2785,15.4569,9.3549,33.4597,4.2361,
2026-02-28,2.1422,14.5326,8.7955,31.6584,4.008,
2026-03-31,1.8221,11.3869,7.5961,12.4565,3.5956,77.6184
2026-04-30,2.5598,15.997,10.6714,16.831,4.8583,109.0427
2026-05-31,1.3882,9.8419,6.3706,10.2164,2.8113,
2026-06-30,1.4383,10.1965,6.6001,10.3433,2.8462,
2026-07-31,1.6218,11.4981,7.4426,11.5066,3.1663,
2026-08-18,1.3982,9.9126,6.4163,10.0895,2.7764,
