ticker,company,roic_sg,roe_sg,ev_sales,ev_ebit,ev_ebitda,per,pbr,sector,industry_group,industry,primary_industry,sic_industry,price,mcap,ev_fcf,ev_sales_src,ev_ebit_src,ev_ebitda_src,per_src
A366030,Nine & Company Inc.,-0.00013469498050391882,-0.01450469498050394,1.57059797036591,10.8567310960895,8.91031863106161,11.7549029736842,1.48661717041955,Consumer Discretionary,Consumer Discretionary Distribution and Retail,Specialty Retail,Apparel Retail,Nonstore Retailers,5550.0,125728.8675,,LTM,LTM,LTM,LTM
A177900,3A Logics Inc.,0.6403344294339357,0.6090324294339357,1.43586335016393,6.73751264307692,,7.41727941176471,0.807798671192447,Information Technology,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment,Semiconductors,Semiconductors and Related Devices,3815.0,36729.293999999994,,2026E,2026E,,2026E
A394800,"3billion, Inc.",3.092409375877778,3.079710375877778,15.3008423670744,,,,7.70075250927488,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology,Biotechnology,In Vitro and In Vivo Diagnostic Substances,5330.0,169614.20749,,LTM,,,
A060310,"3S KOREA Co., Ltd.",-0.2826425494987715,-0.2863475494987715,2.16316619578628,,,,1.33050493097986,Information Technology,Technology Hardware and Equipment,"Electronic Equipment, Instruments and Components",Electronic Equipment and Instruments,"Industrial Instruments for Measurement, Display, and Control of Process Variables; and Related Products",1069.0,56720.11376,,LTM,,,
A389140,4by4 Inc,-0.15534567530073914,-0.2453206753007392,1.90402019571385,,,,1.89390898726255,Communication Services,Media and Entertainment,Interactive Media and Services,Interactive Media and Services,"Computer Programming, Data Processing, And Other Computer Related Services",4825.0,68851.47137500001,,LTM,,,
A312610,"A.F.W Co., Ltd.",,,,,,,,Consumer Discretionary,Automobiles and Components,Automobile Components,Automotive Parts and Equipment,Motor Vehicle Parts and Accessories,357.0,7231.709016,,,,,
A174900,AbClon Inc.,-0.22237595326338855,-0.27269695326338855,107.75268465299,,,,11.18323162739,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology,Biotechnology,"Biological Products, Except Diagnostic Substances",27350.0,545690.72815,,LTM,,,
A036010,"ABCO Electronics Co., Ltd.",0.11751965211770064,0.11371765211770063,0.379609261216574,5.83226069604877,3.35602001643571,8.36723795038566,0.784622238971993,Information Technology,Technology Hardware and Equipment,"Electronic Equipment, Instruments and Components",Electronic Components,Electronic Components And Accessories,6820.0,90657.80988,,LTM,LTM,LTM,LTM
A203400,ABION Inc.,-0.32522204968699325,-0.44917704968699335,51.0814858591796,,,,0.984464843316515,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology,Biotechnology,"Biological Products, Except Diagnostic Substances",676.0,60908.481503999996,,LTM,,,
A129890,"Abko Co., Ltd.",-0.012901756402132702,0.028761243597867303,0.740753884133325,30.9088426424312,21.2144108911672,6.47504189950696,0.803892208903335,Information Technology,Technology Hardware and Equipment,"Technology Hardware, Storage and Peripherals","Technology Hardware, Storage and Peripherals","Computer Peripheral Equipment, not elsewhere classified",1029.0,46866.424458,,LTM,LTM,LTM,LTM
