quarter,year,BIGBANG,BLACKPINK,BABYMONSTER,TREASURE,WINNER,iKON,2NE1,AKMU,Others,total,yg_rev_mn
2024 1Q,2024,0.0,51656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51656.0,661.8546434031402
2024 2Q,2024,0.0,41077.0,626260.0,0.0,0.0,0.0,0.0,0.0,0.0,667337.0,8550.412191511565
2024 3Q,2024,0.0,30923.0,128273.0,0.0,0.0,0.0,0.0,0.0,0.0,159196.0,2039.7361741367179
2024 4Q,2024,0.0,17184.0,835542.0,0.0,0.0,0.0,0.0,0.0,0.0,852726.0,10925.752335654835
2025 1Q,2025,10765.0,46326.0,110697.0,796505.0,0.0,0.0,9407.0,0.0,20172.0,973700.0,12662.89655172414
2025 2Q,2025,6024.0,16465.0,99186.0,6598.0,0.0,0.0,0.0,0.0,6024.0,128273.0,1668.1808866995075
2025 3Q,2025,0.0,56408.0,7324.0,1080544.0,0.0,0.0,0.0,0.0,0.0,1144276.0,14881.224827586211
2025 4Q,2025,0.0,28711.0,695853.0,66601.0,0.0,0.0,0.0,0.0,0.0,791165.0,10289.042364532019
2026 1Q,2026,0.0,1995955.0,69096.0,0.0,0.0,0.0,0.0,0.0,0.0,2065051.0,27258.673199999997
2026 2Q,2026,0.0,47951.0,805302.0,1056066.0,0.0,0.0,0.0,22982.0,22982.0,1932301.0,25506.373199999998
2026 3Q,2026,0.0,0.0,31083.0,162971.27999999997,0.0,0.0,0.0,0.0,0.0,194054.27999999997,2561.5164959999997
2026 4Q,2026,0.0,0.0,153928.5,182478.41999999998,0.0,0.0,0.0,0.0,0.0,336406.92,4440.571343999999
2027 1Q,2027,0.0,0.0,0.0,588379.0,0.0,0.0,0.0,0.0,0.0,588379.0,7883.101841999998
2027 2Q,2027,0.0,1195798.0,1213338.0,392253.0,0.0,0.0,0.0,0.0,0.0,2801389.0,37533.00982199999
2027 3Q,2027,0.0,797199.0,0.0,588379.0,0.0,0.0,0.0,0.0,0.0,1385578.0,18563.974043999995
2027 4Q,2027,0.0,0.0,0.0,392254.0,0.0,0.0,0.0,0.0,0.0,392254.0,5255.419091999999
