start,end,date_label,group,title,type,physical,status,apply_q,circle_key,note,source,url,checked
2026-02-27,2026-02-27,2026-02-27,BLACKPINK,DEADLINE,미니(EP),Y,발매완료,1Q26,DEADLINE,2월 말 발매라 출하 대부분 2월(1Q)에 잡힘,Wikipedia 2026 in South Korean music,https://en.wikipedia.org/wiki/2026_in_South_Korean_music,2026-09-21
2026-04-07,2026-04-07,2026-04-07,AKMU,개화 (Flowering),정규,Y,발매완료,2Q26,개화,판매 규모 작음(월 1~2만장),Wikipedia 2026 in South Korean music,https://en.wikipedia.org/wiki/2026_in_South_Korean_music,2026-09-21
2026-05-04,2026-05-04,2026-05-04,BABYMONSTER,춤 (CHOOM),미니 3집,Y,발매완료,2Q26,CHOOM,,YG 공식 (2026-04-30),https://ygfamily.com/ko/news/report/7421,2026-09-21
2026-06-01,2026-06-01,2026-06-01,TREASURE,NEW WAV,미니 4집,Y,발매완료,2Q26,NEW WAV,,YG 공식 (2026-04-30),https://ygfamily.com/ko/news/report/7421,2026-09-21
2026-06-08,2026-06-08,2026-06-08,BABYMONSTER,SUGAR HONEY ICE TEA,디지털 싱글,N,발매완료,—,,음원만 — 앨범 판매량 없음,나무위키 BABYMONSTER/2026년 음반,https://namu.wiki/w/BABYMONSTER/2026%EB%85%84%20%EC%9D%8C%EB%B0%98,2026-09-21
2026-08-19,2026-08-19,2026-08-19,BIGBANG,BiiiG,디지털 싱글,N,발매완료,—,,데뷔 20주년 신곡 · 음원만 — 앨범 판매량 없음,YG 공식 (2026-08-10),https://ygfamily.com/ko/news/report/7552,2026-09-21
2026-09-01,2026-10-31,2026년 9월 목표 (날짜 미정),신인 보이그룹 (5인조),데뷔 앨범 (제목 미정),데뷔,Y,예정 · 날짜 미정,3Q26 말~4Q26,,YG가 4/30에 '9월 데뷔' 발표. 9/21 현재 그룹명·발매일 미공개 → 10월로 밀릴 가능성. 신인이라 초동 규모 불확실,YG 공식 (2026-04-30),https://ygfamily.com/ko/news/report/7429,2026-09-21
2026-10-01,2027-03-31,2026년 10월 계획 → 미확정,BABYMONSTER,정규 2집 (제목 미정),정규,Y,미확정,4Q26 또는 1H27,,3/4 YG 발표는 '10월 정규'. 이후 공식 일정 공지 없음 · 나무위키는 2027년으로 표기(비공식). 월드투어가 2027-01까지 진행 중,Bandwagon (2026-03-05) · 나무위키,https://www.bandwagon.asia/articles/yg-entertainment-confirms-babymonster-world-tour-bigbang-s-global-tour-among-other-upcoming-plans-for-2026,2026-09-21
2026-10-01,2027-06-30,2026~2027 (미정),BIGBANG,20주년 앨범 (제목 미정),미정,Y,미확정,미정,,3인 체제 첫 앨범 · YG 기획·YG PLUS 유통으로 알려짐(비공식). 공식 발매일 없음,나무위키 BIGBANG/20주년 앨범,https://namu.wiki/w/BIGBANG/20%EC%A3%BC%EB%85%84%20%EC%95%A8%EB%B2%94,2026-09-21
2027-01-01,2027-12-31,미정,NEXT MONSTER (신인 걸그룹),데뷔 (미정),데뷔,Y,미확정,미정,,가칭 · 멤버 추가 합류 단계. 일정 발표 없음,Bandwagon (2026-03-05),https://www.bandwagon.asia/articles/yg-entertainment-confirms-babymonster-world-tour-bigbang-s-global-tour-among-other-upcoming-plans-for-2026,2026-09-21
