group,tour,date,month,quarter,city,country,region,venue,capacity,shows,seats,price_usd,taking,att_est,gross_usd_m,yg_rev_usd_m,yg_rev_krw_mn,ref
BABYMONSTER,Choom World Tour,2026-06-26,2026-06,2026 2Q,Seoul,South Korea,KR,Jamsil Indoor Stadium,11069,3,33207,100,0.4,31547,3.1547,1.2619,1892.8,https://en.wikipedia.org/wiki/Choom_World_Tour
BABYMONSTER,Choom World Tour,2026-07-08,2026-07,2026 3Q,Kobe,Japan,JP,Glion Arena Kobe,10000,2,20000,125,0.3,19000,2.375,0.7125,1068.8,https://en.wikipedia.org/wiki/Choom_World_Tour
BABYMONSTER,Choom World Tour,2026-07-28,2026-07,2026 3Q,Fukuoka,Japan,JP,Marine Messe Fukuoka Hall A,13000,2,26000,125,0.3,24700,3.0875,0.9262,1389.4,https://en.wikipedia.org/wiki/Choom_World_Tour
BABYMONSTER,Choom World Tour,2026-08-01,2026-08,2026 3Q,Yokohama,Japan,JP,Pia Arena MM,12141,2,24282,125,0.3,23068,2.8835,0.865,1297.6,https://en.wikipedia.org/wiki/Choom_World_Tour
BABYMONSTER,Choom World Tour,2026-08-11,2026-08,2026 3Q,Chiba,Japan,JP,LaLa Arena Tokyo-Bay,11000,2,22000,125,0.3,20900,2.6125,0.7837,1175.6,https://en.wikipedia.org/wiki/Choom_World_Tour
BABYMONSTER,Choom World Tour,2026-08-16,2026-08,2026 3Q,Nagoya,Japan,JP,IG Arena,17000,1,17000,125,0.3,16150,2.0187,0.6056,908.4,https://en.wikipedia.org/wiki/Choom_World_Tour
BABYMONSTER,Choom World Tour,2026-09-05,2026-09,2026 3Q,Manila,Philippines,Others,SM Mall of Asia Arena,15000,1,15000,80,0.35,14250,1.14,0.399,598.5,https://en.wikipedia.org/wiki/Choom_World_Tour
BABYMONSTER,Choom World Tour,2026-09-11,2026-09,2026 3Q,Macau,Macau,Others,Venetian Arena,14000,2,28000,80,0.35,26600,2.128,0.7448,1117.2,https://en.wikipedia.org/wiki/Choom_World_Tour
BABYMONSTER,Choom World Tour,2026-09-22,2026-09,2026 3Q,Osaka,Japan,JP,Kyocera Dome Osaka,55000,2,110000,125,0.3,104500,13.0625,3.9187,5878.1,https://en.wikipedia.org/wiki/Choom_World_Tour
BABYMONSTER,Choom World Tour,2026-10-17,2026-10,2026 4Q,Jakarta,Indonesia,Others,Indonesia Arena,16500,1,16500,80,0.35,15675,1.254,0.4389,658.3,https://en.wikipedia.org/wiki/Choom_World_Tour
BABYMONSTER,Choom World Tour,2026-11-07,2026-11,2026 4Q,Bangkok,Thailand,Others,Impact Arena,12000,2,24000,80,0.35,22800,1.824,0.6384,957.6,https://en.wikipedia.org/wiki/Choom_World_Tour
BABYMONSTER,Choom World Tour,2026-11-14,2026-11,2026 4Q,Kuala Lumpur,Malaysia,Others,Unifi Arena,16000,1,16000,80,0.35,15200,1.216,0.4256,638.4,https://en.wikipedia.org/wiki/Choom_World_Tour
BABYMONSTER,Choom World Tour,2026-11-21,2026-11,2026 4Q,Taipei,Taiwan,Others,Taipei Arena,13000,2,26000,80,0.35,24700,1.976,0.6916,1037.4,https://en.wikipedia.org/wiki/Choom_World_Tour
BABYMONSTER,Choom World Tour,2026-11-28,2026-11,2026 4Q,Singapore,Singapore,Others,Singapore Indoor Stadium,9000,2,18000,80,0.35,17100,1.368,0.4788,718.2,https://en.wikipedia.org/wiki/Choom_World_Tour
BABYMONSTER,Choom World Tour,2026-12-08,2026-12,2026 4Q,Auckland,New Zealand,Others,Spark Arena,13280,1,13280,80,0.35,12616,1.0093,0.3532,529.9,https://en.wikipedia.org/wiki/Choom_World_Tour
BABYMONSTER,Choom World Tour,2026-12-11,2026-12,2026 4Q,Melbourne,Australia,Others,Rod Laver Arena,14820,1,14820,80,0.35,14079,1.1263,0.3942,591.3,https://en.wikipedia.org/wiki/Choom_World_Tour
BABYMONSTER,Choom World Tour,2026-12-13,2026-12,2026 4Q,Sydney,Australia,Others,Qudos Bank Arena,21032,1,21032,80,0.35,19980,1.5984,0.5594,839.2,https://en.wikipedia.org/wiki/Choom_World_Tour
BABYMONSTER,Choom World Tour,2027-01-09,2027-01,2027 1Q,Hong Kong,Hong Kong,Others,AsiaWorld-Arena,14000,1,14000,80,0.35,13300,1.064,0.3724,558.6,https://en.wikipedia.org/wiki/Choom_World_Tour
