group,tour,date,month,quarter,city,country,region,venue,capacity,shows,seats,price_usd,taking,att_est,gross_usd_m,yg_rev_usd_m,yg_rev_krw_mn,ref
BIGBANG,"BIGBANG 2026-2027 World Tour: XX : COSMOS (20th anniversary, announced as '20/26')",2026-08-21,2026-08,2026 3Q,Goyang,South Korea,KR,Goyang Stadium,41311,3,123933,100,0.4,117736,11.7736,4.7094,7064.2,https://en.wikipedia.org/wiki/XX:_Cosmos_World_Tour
BIGBANG,"BIGBANG 2026-2027 World Tour: XX : COSMOS (20th anniversary, announced as '20/26')",2026-09-04,2026-09,2026 3Q,Oakland,United States,NA/EU,Oakland Coliseum,47416,2,94832,200,0.35,90090,18.018,6.3063,9459.5,https://en.wikipedia.org/wiki/XX:_Cosmos_World_Tour
BIGBANG,"BIGBANG 2026-2027 World Tour: XX : COSMOS (20th anniversary, announced as '20/26')",2026-09-11,2026-09,2026 3Q,East Rutherford,United States,NA/EU,MetLife Stadium,82500,1,82500,200,0.35,78375,15.675,5.4863,8229.4,https://en.wikipedia.org/wiki/XX:_Cosmos_World_Tour
BIGBANG,"BIGBANG 2026-2027 World Tour: XX : COSMOS (20th anniversary, announced as '20/26')",2026-09-19,2026-09,2026 3Q,Saint-Denis,France,NA/EU,Stade de France,81338,1,81338,200,0.35,77271,15.4542,5.409,8113.5,https://en.wikipedia.org/wiki/XX:_Cosmos_World_Tour
BIGBANG,"BIGBANG 2026-2027 World Tour: XX : COSMOS (20th anniversary, announced as '20/26')",2026-09-26,2026-09,2026 3Q,London,United Kingdom,NA/EU,Tottenham Hotspur Stadium,62850,1,62850,200,0.35,59708,11.9416,4.1796,6269.3,https://en.wikipedia.org/wiki/XX:_Cosmos_World_Tour
BIGBANG,"BIGBANG 2026-2027 World Tour: XX : COSMOS (20th anniversary, announced as '20/26')",2026-10-10,2026-10,2026 4Q,Taipei,Taiwan,Others,Taipei Dome,40000,2,80000,80,0.35,76000,6.08,2.128,3192.0,https://en.wikipedia.org/wiki/XX:_Cosmos_World_Tour
BIGBANG,"BIGBANG 2026-2027 World Tour: XX : COSMOS (20th anniversary, announced as '20/26')",2026-10-17,2026-10,2026 4Q,Singapore,Singapore,Others,Singapore National Stadium,55000,1,55000,80,0.35,52250,4.18,1.463,2194.5,https://en.wikipedia.org/wiki/XX:_Cosmos_World_Tour
BIGBANG,"BIGBANG 2026-2027 World Tour: XX : COSMOS (20th anniversary, announced as '20/26')",2026-10-24,2026-10,2026 4Q,Hanoi,Vietnam,Others,My Dinh National Stadium,40192,2,80384,80,0.35,76365,6.1092,2.1382,3207.3,https://en.wikipedia.org/wiki/XX:_Cosmos_World_Tour
BIGBANG,"BIGBANG 2026-2027 World Tour: XX : COSMOS (20th anniversary, announced as '20/26')",2026-10-31,2026-10,2026 4Q,Sydney,Australia,Others,Accor Stadium,83000,1,83000,80,0.35,78850,6.308,2.2078,3311.7,https://en.wikipedia.org/wiki/XX:_Cosmos_World_Tour
BIGBANG,"BIGBANG 2026-2027 World Tour: XX : COSMOS (20th anniversary, announced as '20/26')",2026-11-07,2026-11,2026 4Q,Bangkok,Thailand,Others,Rajamangala Stadium,51560,1,51560,80,0.35,48982,3.9186,1.3715,2057.2,https://en.wikipedia.org/wiki/XX:_Cosmos_World_Tour
BIGBANG,"BIGBANG 2026-2027 World Tour: XX : COSMOS (20th anniversary, announced as '20/26')",2026-11-13,2026-11,2026 4Q,Hong Kong,Hong Kong,Others,Kai Tak Stadium,50000,3,150000,80,0.35,142500,11.4,3.99,5985.0,https://en.wikipedia.org/wiki/XX:_Cosmos_World_Tour
