group,tour,date,month,quarter,city,country,region,venue,capacity,shows,seats,price_usd,taking,att_est,gross_usd_m,yg_rev_usd_m,yg_rev_krw_mn,ref
BLACKPINK,Deadline World Tour,2026-01-16,2026-01,2026 1Q,Tokyo,Japan,JP,Tokyo Dome,55000,3,165000,130,,160524.0,20.868,6.26,9390.7,https://en.wikipedia.org/wiki/Deadline_World_Tour
BLACKPINK,Deadline World Tour,2026-01-24,2026-01,2026 1Q,Hong Kong,Hong Kong,APAC-DM,Kai Tak Stadium,50000,3,150000,150,,138634.0,20.795,7.278,10917.5,https://en.wikipedia.org/wiki/Deadline_World_Tour
BLACKPINK,BLACKPINK 2027-28 World Tour (next cycle) - EST,None,2027-07,2027 3Q,EST leg,South Korea,KR,,73684,1,73684,110,,70000.0,7.7,3.08,4620.0,
BLACKPINK,BLACKPINK 2027-28 World Tour (next cycle) - EST,None,2027-08,2027 3Q,EST leg,United States,NA/EU,,245263,1,245263,180,,233000.0,41.94,14.679,22018.5,
BLACKPINK,BLACKPINK 2027-28 World Tour (next cycle) - EST,None,2027-09,2027 3Q,EST leg,United States,NA/EU,,245263,1,245263,180,,233000.0,41.94,14.679,22018.5,
BLACKPINK,BLACKPINK 2027-28 World Tour (next cycle) - EST,None,2027-10,2027 4Q,EST leg,United States,NA/EU,,246315,1,246315,180,,234000.0,42.12,14.742,22113.0,
BLACKPINK,BLACKPINK 2027-28 World Tour (next cycle) - EST,None,2027-11,2027 4Q,EST leg,Japan,JP,,184210,1,184210,130,,175000.0,22.75,6.825,10237.5,
BLACKPINK,BLACKPINK 2027-28 World Tour (next cycle) - EST,None,2027-11,2027 4Q,EST leg,Singapore,APAC-DM,,73684,1,73684,150,,70000.0,10.5,3.675,5512.5,
BLACKPINK,BLACKPINK 2027-28 World Tour (next cycle) - EST,None,2027-11,2027 4Q,EST leg,Thailand,APAC-EM,,73684,1,73684,80,,70000.0,5.6,1.96,2940.0,
BLACKPINK,BLACKPINK 2027-28 World Tour (next cycle) - EST,None,2027-12,2027 4Q,EST leg,Japan,JP,,184210,1,184210,130,,175000.0,22.75,6.825,10237.5,
BLACKPINK,BLACKPINK 2027-28 World Tour (next cycle) - EST,None,2027-12,2027 4Q,EST leg,Singapore,APAC-DM,,73684,1,73684,150,,70000.0,10.5,3.675,5512.5,
BLACKPINK,BLACKPINK 2027-28 World Tour (next cycle) - EST,None,2027-12,2027 4Q,EST leg,Thailand,APAC-EM,,73684,1,73684,80,,70000.0,5.6,1.96,2940.0,
