date,rev3q_eok,rev4q_eok,op3q_eok,op4q_eok
2025-09-05,2000.0,2240.0,250.0,270.0
2025-09-08,2000.0,2240.0,250.0,270.0
2025-09-09,2000.0,2240.0,250.0,270.0
2025-09-10,2000.0,2240.0,250.0,270.0
2025-09-11,2000.0,2240.0,250.0,270.0
2025-09-12,2000.0,2240.0,250.0,270.0
2025-09-15,2000.0,2240.0,250.0,270.0
2025-09-16,2000.0,2240.0,250.0,270.0
2025-09-17,2000.0,2240.0,250.0,270.0
2025-09-18,2000.0,2240.0,250.0,270.0
2025-09-19,2000.0,2240.0,250.0,270.0
2025-09-22,2000.0,2240.0,250.0,270.0
2025-09-23,2000.0,2240.0,250.0,270.0
2025-09-24,2000.0,2240.0,250.0,270.0
2025-09-25,2000.0,2240.0,250.0,270.0
2025-11-10,1424.0,1365.5,168.5,155.0
2025-11-11,1424.0,1365.5,168.5,155.0
2025-11-12,1424.0,1365.5,168.5,155.0
2025-11-13,1424.0,1365.5,168.5,155.0
2025-11-14,1446.0,1463.6666667,172.3333333,183.3333333
2025-11-17,1446.0,1463.6666667,172.3333333,183.3333333
2025-11-18,1446.0,1463.6666667,172.3333333,183.3333333
2025-11-19,1446.0,1463.6666667,172.3333333,183.3333333
2025-11-20,1446.0,1463.6666667,172.3333333,183.3333333
2025-11-21,1446.0,1463.6666667,172.3333333,183.3333333
2025-11-24,1446.0,1463.6666667,172.3333333,183.3333333
2025-11-25,1446.0,1463.6666667,172.3333333,183.3333333
2025-11-26,1446.0,1463.6666667,172.3333333,183.3333333
2025-11-27,1446.0,1463.6666667,172.3333333,183.3333333
2025-11-28,1446.0,1463.6666667,172.3333333,183.3333333
2025-12-01,1446.0,1463.6666667,172.3333333,183.3333333
2025-12-02,1446.0,1463.6666667,172.3333333,183.3333333
2025-12-03,1446.0,1463.6666667,172.3333333,183.3333333
2025-12-04,1446.0,1463.6666667,172.3333333,183.3333333
2025-12-05,1446.0,1463.6666667,172.3333333,183.3333333
2025-12-08,1437.5,1402.0,171.5,167.25
2025-12-09,1437.5,1402.0,171.5,167.25
2025-12-10,1437.5,1402.0,171.5,167.25
2025-12-11,1437.5,1402.0,171.5,167.25
2025-12-12,1437.5,1402.0,171.5,167.25
2025-12-15,1437.5,1402.0,171.5,167.25
2025-12-16,1437.5,1402.0,171.5,167.25
2025-12-17,1437.5,1402.0,171.5,167.25
2025-12-18,1437.5,1402.0,171.5,167.25
2025-12-19,1437.5,1402.0,171.5,167.25
2025-12-22,1437.5,1402.0,171.5,167.25
2025-12-23,1437.5,1402.0,171.5,167.25
2025-12-24,1437.5,1402.0,171.5,167.25
