quarter,attendance,BIGBANG,BLACKPINK,BABYMONSTER,TREASURE,total_mn
2024 1Q,354009.9,0.0,0.0,0.0,19711.675574063054,19711.675574063054
2024 2Q,124450.0,0.0,0.0,0.0,5440.261748958953,5440.261748958953
2024 3Q,198499.99999999997,0.0,0.0,0.0,11256.157049375372,11256.157049375372
2024 4Q,0.0,0.0,0.0,0.0,0.0,0.0
2025 1Q,90858.39512243234,0.0,0.0,5408.515943009692,825.8048780487806,6234.320821058473
2025 2Q,279473.0575247809,0.0,0.0,8516.112818277006,8122.666829268293,16638.7796475453
2025 3Q,746506.3412635353,0.0,59689.3442805936,7024.9499754520475,0.0,66714.29425604564
2025 4Q,834781.6260782859,0.0,34556.685797031314,0.0,11970.000000000002,46526.685797031314
2026 1Q,364708.5800109655,0.0,20308.124824768773,0.0,4392.5625,24700.687324768773
2026 2Q,165971.65,0.0,0.0,2082.0789,6893.4375,8975.5164
2026 3Q,934548.25,36635.05709999999,0.0,14879.84715,15896.587499999998,67411.49174999999
2026 4Q,1113947.2,61861.29059999999,0.0,9221.78775,0.0,71083.07835
2027 1Q,326240.45,16983.8739,0.0,1047.375,0.0,18031.2489
2027 2Q,0.0,0.0,0.0,0.0,0.0,0.0
2027 3Q,536000.0035,0.0,48657.00034499999,0.0,0.0,48657.00034499999
2027 4Q,864000.0055000001,0.0,59493.00033599999,0.0,0.0,59493.00033599999
