group,tour,date,month,quarter,city,country,region,venue,capacity,shows,seats,price_usd,taking,att_est,gross_usd_m,yg_rev_usd_m,yg_rev_krw_mn,ref
TREASURE,2025-26 TREASURE TOUR [PULSE ON] (3rd tour),2026-01-10,2026-01,2026 1Q,Yokohama,Japan,JP,K-Arena Yokohama,20000,2,40000,130,,38000.0,4.94,1.482,2223.0,https://namu.wiki/w/TREASURE%20TOUR%20'PULSE%20ON'
TREASURE,2025-26 TREASURE TOUR [PULSE ON] (3rd tour),2026-03-06,2026-03,2026 1Q,Macau,Macau (China),APAC-DM,The Venetian Arena,14000,1,14000,150,,13300.0,1.995,0.698,1047.4,https://namu.wiki/w/TREASURE%20TOUR%20'PULSE%20ON'
TREASURE,2025-26 TREASURE TOUR [PULSE ON] (3rd tour),2026-03-28,2026-03,2026 1Q,Taipei,Taiwan,APAC-DM,NTSU Arena,15000,1,15000,150,,14250.0,2.138,0.748,1122.2,https://namu.wiki/w/TREASURE%20TOUR%20'PULSE%20ON'
TREASURE,2025-26 TREASURE TOUR [PULSE ON] (3rd tour),2026-04-18,2026-04,2026 2Q,Manila,Philippines,APAC-EM,SM Mall of Asia Arena,15000,1,15000,80,,14250.0,1.14,0.399,598.5,https://namu.wiki/w/TREASURE%20TOUR%20'PULSE%20ON'
TREASURE,2025-26 TREASURE TOUR [PULSE ON] (3rd tour),2026-04-25,2026-04,2026 2Q,Jakarta,Indonesia,APAC-EM,Indonesia Arena,16500,2,33000,80,,31350.0,2.508,0.878,1316.7,https://namu.wiki/w/TREASURE%20TOUR%20'PULSE%20ON'
TREASURE,2025-26 TREASURE TOUR [PULSE ON] (3rd tour),2026-05-03,2026-05,2026 2Q,Singapore,Singapore,APAC-DM,Singapore Indoor Stadium,9000,1,9000,150,,8550.0,1.282,0.449,673.3,https://namu.wiki/w/TREASURE%20TOUR%20'PULSE%20ON'
TREASURE,2025-26 TREASURE TOUR [PULSE ON] (3rd tour),2026-05-09,2026-05,2026 2Q,Hong Kong,Hong Kong,APAC-DM,AsiaWorld-Arena,14000,1,14000,150,,13300.0,1.995,0.698,1047.4,https://namu.wiki/w/TREASURE%20TOUR%20'PULSE%20ON'
TREASURE,2025-26 TREASURE TOUR [PULSE ON] (3rd tour),2026-05-16,2026-05,2026 2Q,Bangkok,Thailand,APAC-EM,Suphachalasai Stadium,35000,1,35000,80,,33250.0,2.66,0.931,1396.5,https://namu.wiki/w/TREASURE%20TOUR%20'PULSE%20ON'
TREASURE,2025-26 TREASURE TOUR [PULSE ON] (3rd tour),2026-05-30,2026-05,2026 2Q,Kuala Lumpur,Malaysia,APAC-EM,Axiata Arena,16000,1,16000,80,,15200.0,1.216,0.426,638.4,https://namu.wiki/w/TREASURE%20TOUR%20'PULSE%20ON'
TREASURE,TREASURE THE STAGE 2026 [NEW WAV:LIVE] (fan concert tour),2026-06-19,2026-06,2026 2Q,Seoul,South Korea,KR,Korea University Hwajeong Gymnasium (Tiger Dome),6500,3,19500,110,,18525.0,2.038,0.815,1222.7,https://namu.wiki/w/TREASURE/TREASURE%20THE%20STAGE%202026%20NEW%20WAV:LIVE
TREASURE,TREASURE THE STAGE 2026 [NEW WAV:LIVE] (fan concert tour),2026-07-08,2026-07,2026 3Q,Osaka,Japan,JP,Osaka-jo Hall,16000,2,32000,130,,30400.0,3.952,1.186,1778.4,https://namu.wiki/w/TREASURE/TREASURE%20THE%20STAGE%202026%20NEW%20WAV:LIVE
TREASURE,TREASURE THE STAGE 2026 [NEW WAV:LIVE] (fan concert tour),2026-07-18,2026-07,2026 3Q,Yokohama (Kanagawa),Japan,JP,K-Arena Yokohama,20000,3,60000,130,,57000.0,7.41,2.223,3334.5,https://namu.wiki/w/TREASURE/TREASURE%20THE%20STAGE%202026%20NEW%20WAV:LIVE
TREASURE,TREASURE THE STAGE 2026 [NEW WAV:LIVE] (fan concert tour),2026-07-25,2026-07,2026 3Q,Kobe (Hyogo),Japan,JP,GLION Arena Kobe,10000,3,30000,130,,28500.0,3.705,1.111,1667.2,https://namu.wiki/w/TREASURE/TREASURE%20THE%20STAGE%202026%20NEW%20WAV:LIVE
TREASURE,TREASURE THE STAGE 2026 [NEW WAV:LIVE] (fan concert tour),2026-08-01,2026-08,2026 3Q,Nagoya (Aichi),Japan,JP,IG Arena,17000,2,34000,130,,32300.0,4.199,1.26,1889.5,https://namu.wiki/w/TREASURE/TREASURE%20THE%20STAGE%202026%20NEW%20WAV:LIVE
TREASURE,TREASURE THE STAGE 2026 [NEW WAV:LIVE] (fan concert tour),2026-08-08,2026-08,2026 3Q,Fukui,Japan,JP,Sundome Fukui,10000,2,20000,130,,19000.0,2.47,0.741,1111.5,https://namu.wiki/w/TREASURE/TREASURE%20THE%20STAGE%202026%20NEW%20WAV:LIVE
TREASURE,TREASURE THE STAGE 2026 [NEW WAV:LIVE] (fan concert tour),2026-08-22,2026-08,2026 3Q,Fukuoka,Japan,JP,Marine Messe Fukuoka Hall A,13000,2,26000,130,,24700.0,3.211,0.963,1444.9,https://namu.wiki/w/TREASURE/TREASURE%20THE%20STAGE%202026%20NEW%20WAV:LIVE
TREASURE,TREASURE THE STAGE 2026 [NEW WAV:LIVE] (fan concert tour),2026-09-05,2026-09,2026 3Q,Tokyo,Japan,JP,Ariake Arena,15000,3,45000,130,,42750.0,5.558,1.667,2500.9,https://namu.wiki/w/TREASURE/TREASURE%20THE%20STAGE%202026%20NEW%20WAV:LIVE
TREASURE,TREASURE THE STAGE 2026 [NEW WAV:LIVE] (fan concert tour),2026-09-12,2026-09,2026 3Q,Hong Kong,Hong Kong,APAC-DM,AsiaWorld-Arena,14000,1,14000,150,,13300.0,1.995,0.698,1047.4,https://namu.wiki/w/TREASURE/TREASURE%20THE%20STAGE%202026%20NEW%20WAV:LIVE
TREASURE,TREASURE THE STAGE 2026 [NEW WAV:LIVE] (fan concert tour),2026-09-26,2026-09,2026 3Q,Kaohsiung,Taiwan,APAC-DM,Kaohsiung Arena,15000,1,15000,150,,14250.0,2.138,0.748,1122.2,https://namu.wiki/w/TREASURE/TREASURE%20THE%20STAGE%202026%20NEW%20WAV:LIVE
