period,group,artist,album,sales,rank,dist
2026-01,BABYMONSTER,BABYMONSTER,WE GO UP,27163.0,19.0,YG PLUS
2026-01,BLACKPINK,BLACKPINK,THE ALBUM,10465.0,49.0,YG PLUS
2026-01,BABYMONSTER,BABYMONSTER,DRIP,6256.0,78.0,YG PLUS
2026-01,BLACKPINK,BLACKPINK,BORN PINK,5530.0,86.0,YG PLUS
2026-01,BABYMONSTER,BABYMONSTER,BABYMONS7ER (Nemo),5063.0,97.0,YG PLUS
2026-02,BLACKPINK,BLACKPINK,DEADLINE,1750692.0,1.0,YG PLUS
2026-02,BABYMONSTER,BABYMONSTER,WE GO UP,19208.0,14.0,YG PLUS
2026-02,BLACKPINK,BLACKPINK,BORN PINK,12654.0,26.0,YG PLUS
2026-02,BLACKPINK,BLACKPINK,KILL THIS LOVE,12546.0,27.0,YG PLUS
2026-02,BLACKPINK,BLACKPINK,THE ALBUM,7586.0,42.0,YG PLUS
2026-02,BABYMONSTER,BABYMONSTER,BABYMONS7ER (Nemo),4775.0,61.0,YG PLUS
2026-02,BLACKPINK,BLACKPINK,SQUARE UP,4536.0,65.0,YG PLUS
2026-02,BABYMONSTER,BABYMONSTER,DRIP (Nemo),3391.0,88.0,YG PLUS
2026-02,BABYMONSTER,BABYMONSTER,DRIP,3240.0,92.0,YG PLUS
2026-03,BLACKPINK,BLACKPINK,DEADLINE,191946.0,57.0,YG PLUS
2026-04,BLACKPINK,BLACKPINK,DEADLINE,47951.0,31.0,YG PLUS
2026-04,AKMU,AKMU (악뮤),개화,14456.0,56.0,YG PLUS
2026-05,BABYMONSTER,BABYMONSTER,춤 (CHOOM) (Nemo),278999.0,3.0,YG PLUS
2026-05,TREASURE,TREASURE (트레저),3rd MINI ALBUM [LOVE PULSE],25700.0,37.0,YG PLUS
2026-05,BABYMONSTER,BABYMONSTER,춤 (CHOOM),463763.0,57.0,YG PLUS
2026-05,AKMU,AKMU (악뮤),개화,8526.0,85.0,YG PLUS
2026-06,TREASURE,TREASURE (트레저),4th MINI ALBUM [NEW WAV],1013769.0,2.0,YG PLUS
2026-06,BABYMONSTER,BABYMONSTER,춤 (CHOOM),62540.0,15.0,YG PLUS
2026-06,TREASURE,TREASURE (트레저),4th MINI ALBUM [NEW WAV] (Nemo),16597.0,51.0,YG PLUS
2026-07,TREASURE,TREASURE (트레저),4th MINI ALBUM [NEW WAV],31751.0,20.0,YG PLUS
2026-07,BABYMONSTER,BABYMONSTER,춤 (CHOOM),24284.0,26.0,YG PLUS
2026-07,TREASURE,TREASURE (트레저),4th MINI ALBUM [NEW WAV] (Nemo),9568.0,69.0,YG PLUS
2026-07,BABYMONSTER,BABYMONSTER,춤 (CHOOM) (Nemo),6799.0,87.0,YG PLUS
