week,group,artist,album,sales,rank,dist,start,end
27,BLACKPINK,BLACKPINK,KILL THIS LOVE,1131.0,70.0,YG PLUS,2026-06-28,2026-07-04
27,BABYMONSTER,BABYMONSTER,WE GO UP,1037.0,73.0,YG PLUS,2026-06-28,2026-07-04
27,TREASURE,TREASURE (트레저),4th MINI ALBUM [NEW WAV],31324.0,90.0,YG PLUS,2026-06-28,2026-07-04
28,BABYMONSTER,BABYMONSTER,춤 (CHOOM) (Nemo),2213.0,50.0,YG PLUS,2026-07-05,2026-07-11
28,BLACKPINK,BLACKPINK,BORN PINK,1506.0,65.0,YG PLUS,2026-07-05,2026-07-11
28,BABYMONSTER,BABYMONSTER,춤 (CHOOM),1346.0,70.0,YG PLUS,2026-07-05,2026-07-11
28,BABYMONSTER,BABYMONSTER,WE GO UP,988.0,85.0,YG PLUS,2026-07-05,2026-07-11
28,BABYMONSTER,BABYMONSTER,DRIP,925.0,88.0,YG PLUS,2026-07-05,2026-07-11
28,TREASURE,TREASURE (트레저),4th MINI ALBUM [NEW WAV],803.0,100.0,YG PLUS,2026-07-05,2026-07-11
29,BABYMONSTER,BABYMONSTER,춤 (CHOOM),5622.0,19.0,YG PLUS,2026-07-12,2026-07-18
29,BABYMONSTER,BABYMONSTER,춤 (CHOOM) (Nemo),1423.0,61.0,YG PLUS,2026-07-12,2026-07-18
29,BABYMONSTER,BABYMONSTER,WE GO UP,1198.0,70.0,YG PLUS,2026-07-12,2026-07-18
29,BLACKPINK,BLACKPINK,DEADLINE,1069.0,78.0,YG PLUS,2026-07-12,2026-07-18
30,BABYMONSTER,BABYMONSTER,춤 (CHOOM) (Nemo),2593.0,26.0,YG PLUS,2026-07-19,2026-07-25
30,TREASURE,TREASURE (트레저),4th MINI ALBUM [NEW WAV] (Nemo),2491.0,31.0,YG PLUS,2026-07-19,2026-07-25
30,BABYMONSTER,BABYMONSTER,WE GO UP,1330.0,59.0,YG PLUS,2026-07-19,2026-07-25
30,BABYMONSTER,BABYMONSTER,춤 (CHOOM),12473.0,79.0,YG PLUS,2026-07-19,2026-07-25
30,BABYMONSTER,BABYMONSTER,DRIP,848.0,91.0,YG PLUS,2026-07-19,2026-07-25
31,TREASURE,TREASURE (트레저),4th MINI ALBUM [NEW WAV] (Nemo),7057.0,6.0,YG PLUS,2026-07-26,2026-08-01
31,BABYMONSTER,BABYMONSTER,춤 (CHOOM),2587.0,28.0,YG PLUS,2026-07-26,2026-08-01
32,BABYMONSTER,BABYMONSTER,춤 (CHOOM) (Nemo),1274.0,60.0,YG PLUS,2026-08-02,2026-08-08
32,BABYMONSTER,BABYMONSTER,WE GO UP,993.0,71.0,YG PLUS,2026-08-02,2026-08-08
32,BABYMONSTER,BABYMONSTER,춤 (CHOOM),761.0,85.0,YG PLUS,2026-08-02,2026-08-08
32,BABYMONSTER,BABYMONSTER,DRIP (Nemo),682.0,98.0,YG PLUS,2026-08-02,2026-08-08
33,BABYMONSTER,BABYMONSTER,WE GO UP,1602.0,47.0,YG PLUS,2026-08-09,2026-08-15
33,BLACKPINK,BLACKPINK,BORN PINK,1489.0,55.0,YG PLUS,2026-08-09,2026-08-15
33,BLACKPINK,BLACKPINK,THE ALBUM,1354.0,59.0,YG PLUS,2026-08-09,2026-08-15
33,BABYMONSTER,BABYMONSTER,DRIP,1074.0,70.0,YG PLUS,2026-08-09,2026-08-15
34,BABYMONSTER,BABYMONSTER,춤 (CHOOM),7019.0,8.0,YG PLUS,2026-08-16,2026-08-22
34,BABYMONSTER,BABYMONSTER,WE GO UP,3999.0,18.0,YG PLUS,2026-08-16,2026-08-22
34,BABYMONSTER,BABYMONSTER,춤 (CHOOM) (Nemo),3682.0,20.0,YG PLUS,2026-08-16,2026-08-22
34,BLACKPINK,BLACKPINK,KILL THIS LOVE,1580.0,45.0,YG PLUS,2026-08-16,2026-08-22
34,BABYMONSTER,BABYMONSTER,DRIP,756.0,96.0,YG PLUS,2026-08-16,2026-08-22
35,BABYMONSTER,BABYMONSTER,WE GO UP,1682.0,41.0,YG PLUS,2026-08-23,2026-08-29
35,BABYMONSTER,BABYMONSTER,DRIP,698.0,98.0,YG PLUS,2026-08-23,2026-08-29
