month,artist,album,units
2012-01,세븐 (SE7EN),SE7EN NEW MINI ALBUM,11730.0
2012-02,세븐 (SE7EN),SE7EN NEW MINI ALBUM,3550.0
2014-07,Homme(창민 & 이현),Pour les femmes,1139.0
2018-03,BIGBANG (빅뱅),MADE (FULL),1306.0
2018-12,MINO (송민호),XX,22924.0
2018-12,위너(WINNER),MILLIONS,52074.0
2018-12,제니 (JENNIE),SOLO,1804.0
2019-01,BLACKPINK,SQUARE UP,9482.0
2019-01,MINO (송민호),XX,1357.0
2019-01,iKON,NEW KIDS REPACKAGE : THE NEW KIDS,59362.0
2019-01,위너(WINNER),MILLIONS,8064.0
2019-01,제니 (JENNIE),SOLO,2032.0
2019-02,BLACKPINK,SQUARE UP,7669.0
2019-02,iKON,NEW KIDS REPACKAGE : THE NEW KIDS,2166.0
2019-02,iKON,Return,2029.0
2019-02,검정치마 (The Black Skirts),THIRSTY,4522.0
2019-02,바비 (BOBBY),LOVE AND FALL,2000.0
2019-02,제니 (JENNIE),SOLO,1264.0
2019-03,BLACKPINK,SQUARE UP,4732.0
2019-03,iKON,NEW KIDS REPACKAGE : THE NEW KIDS,2249.0
2019-03,바비 (BOBBY),LOVE AND FALL,11074.0
2019-04,BLACKPINK,KILL THIS LOVE,248200.0
2019-04,BLACKPINK,SQUARE UP,7251.0
2019-05,BLACKPINK,KILL THIS LOVE,14756.0
2019-05,BLACKPINK,SQUARE UP,3859.0
2019-05,위너(WINNER),WE,118812.0
2019-05,이하이,24℃,5285.0
2019-06,BLACKPINK,KILL THIS LOVE,12976.0
2019-06,BLACKPINK,SQUARE UP,3405.0
2019-06,iKON,NEW KIDS REPACKAGE : THE NEW KIDS,1058.0
2019-06,위너(WINNER),WE,11120.0
2019-07,BLACKPINK,KILL THIS LOVE,9589.0
2019-07,BLACKPINK,SQUARE UP,3733.0
2019-07,은지원,G1,69976.0
2019-08,BLACKPINK,KILL THIS LOVE,7489.0
2019-08,BLACKPINK,SQUARE UP,3393.0
2019-08,JINU (김진우),JINU`s HEYDAY,50569.0
2019-08,VIINI (권현빈),DIMENSION,7254.0
2019-09,BLACKPINK,KILL THIS LOVE,7434.0
2019-09,BLACKPINK,SQUARE UP,3366.0
2019-09,세러데이 (SATURDAY),The 3rd Single Album 'IKYK',1797.0
2019-09,악동뮤지션 (AKMU),항해,7349.0
2019-09,제니 (JENNIE),SOLO,1125.0
2019-10,BLACKPINK,KILL THIS LOVE,8238.0
2019-10,BLACKPINK,SQUARE UP,2586.0
2019-10,악동뮤지션 (AKMU),항해,3182.0
2019-10,위너(WINNER),CROSS,85888.0
2019-10,위너(WINNER),WE,2087.0
2019-11,BLACKPINK,KILL THIS LOVE,7171.0
2019-11,BLACKPINK,SQUARE UP,3528.0
2019-11,위너(WINNER),CROSS,20655.0
2019-12,BLACKPINK,KILL THIS LOVE,8724.0
2019-12,BLACKPINK,SQUARE UP,4328.0
2019-12,제니 (JENNIE),SOLO,1441.0
2020-01,BLACKPINK,KILL THIS LOVE,6640.0
2020-01,BLACKPINK,SQUARE UP,3845.0
2020-01,제니 (JENNIE),SOLO,1178.0
2020-01,젝스키스,ALL FOR YOU,35891.0
2020-02,BLACKPINK,KILL THIS LOVE,5682.0
2020-02,BLACKPINK,SQUARE UP,3569.0
2020-02,iKON,i DECIDE,55254.0
2020-02,젝스키스,ALL FOR YOU,6568.0
2020-03,BLACKPINK,KILL THIS LOVE,7737.0
2020-03,BLACKPINK,SQUARE UP,2973.0
2020-03,제니 (JENNIE),SOLO,3423.0
2020-04,BLACKPINK,KILL THIS LOVE,6644.0
2020-04,BLACKPINK,SQUARE UP,2930.0
2020-04,위너(WINNER),Remember,113346.0
2020-04,제니 (JENNIE),SOLO,1988.0
2020-05,BLACKPINK,KILL THIS LOVE,8073.0
2020-05,BLACKPINK,SQUARE UP,5489.0
2020-05,레드스퀘어 (REDSQUARE),1ST Single Album [PREQUEL],1170.0
2020-05,제니 (JENNIE),SOLO,2507.0
2020-06,BLACKPINK,KILL THIS LOVE,12266.0
2020-06,BLACKPINK,SQUARE UP,6686.0
2020-07,BLACKPINK,KILL THIS LOVE,11997.0
2020-07,BLACKPINK,SPECIAL EDITION [How You Like That],299640.0
2020-07,BLACKPINK,SQUARE UP,7461.0
2020-07,제니 (JENNIE),SOLO,5074.0
2020-08,BLACKPINK,KILL THIS LOVE,12585.0
2020-08,BLACKPINK,SPECIAL EDITION [How You Like That],3112.0
2020-08,BLACKPINK,SQUARE UP,7479.0
2020-08,TREASURE (트레저),THE FIRST STEP : CHAPTER ONE,218118.0
2020-08,제니 (JENNIE),SOLO,3457.0
2020-09,BLACKPINK,KILL THIS LOVE,6619.0
2020-09,BLACKPINK,SQUARE UP,4634.0
2020-09,TREASURE (트레저),THE FIRST STEP : CHAPTER ONE,22590.0
2020-09,TREASURE (트레저),THE FIRST STEP : CHAPTER TWO,219314.0
2020-10,BLACKPINK,KILL THIS LOVE,6801.0
2020-10,BLACKPINK,SQUARE UP,5126.0
2020-10,BLACKPINK,THE ALBUM,1073671.0
2020-10,BLACKPINK,THE ALBUM - LIMITED EDITION- (LP),18879.0
2020-10,TREASURE (트레저),THE FIRST STEP : CHAPTER ONE,3482.0
2020-10,TREASURE (트레저),THE FIRST STEP : CHAPTER TWO,18381.0
2020-10,제니 (JENNIE),SOLO,3573.0
2020-11,BLACKPINK,KILL THIS LOVE,6014.0
2020-11,BLACKPINK,SQUARE UP,4334.0
2020-11,BLACKPINK,THE ALBUM,153985.0
2020-11,MINO (송민호),TAKE,97308.0
2020-11,MINO (송민호),TAKE (KiT),16700.0
2020-11,TREASURE (트레저),THE FIRST STEP : CHAPTER THREE,218855.0
2020-12,BLACKPINK,KILL THIS LOVE,6977.0
2020-12,BLACKPINK,SQUARE UP,5842.0
2020-12,BLACKPINK,THE ALBUM,17146.0
2020-12,TREASURE (트레저),THE FIRST STEP : CHAPTER ONE,2272.0
2020-12,TREASURE (트레저),THE FIRST STEP : CHAPTER THREE,13279.0
2020-12,제니 (JENNIE),SOLO,2623.0
2021-01,BLACKPINK,KILL THIS LOVE,6746.0
2021-01,BLACKPINK,SQUARE UP,5816.0
2021-01,BLACKPINK,THE ALBUM,67387.0
2021-01,TREASURE (트레저),THE FIRST STEP : TREASURE EFFECT,266894.0
2021-01,TREASURE (트레저),THE FIRST STEP : TREASURE EFFECT (KiT),27361.0
2021-01,바비 (BOBBY),LUCKY MAN,49221.0
2021-01,바비 (BOBBY),LUCKY MAN (KiT),5000.0
2021-01,제니 (JENNIE),SOLO,3263.0
2021-02,BLACKPINK,KILL THIS LOVE,11767.0
2021-02,BLACKPINK,SQUARE UP,5264.0
2021-02,BLACKPINK,THE ALBUM,11866.0
2021-02,TREASURE (트레저),THE FIRST STEP : TREASURE EFFECT,4329.0
2021-02,제니 (JENNIE),SOLO,5776.0
2021-03,BLACKPINK,KILL THIS LOVE,15503.0
2021-03,BLACKPINK,SQUARE UP,12262.0
2021-03,BLACKPINK,THE ALBUM,17733.0
2021-03,TREASURE (트레저),THE FIRST STEP : TREASURE EFFECT,8870.0
2021-03,로제 (ROSE),R,394156.0
2021-03,로제 (ROSE),R (KiT),52158.0
2021-03,제니 (JENNIE),SOLO,9688.0
2021-04,BLACKPINK,KILL THIS LOVE,6838.0
2021-04,BLACKPINK,SQUARE UP,7604.0
2021-04,BLACKPINK,THE ALBUM,8919.0
2021-04,TREASURE (트레저),THE FIRST STEP : TREASURE EFFECT,10814.0
2021-04,강승윤,PAGE,112202.0
2021-04,강승윤,PAGE (KiT),10000.0
2021-04,뉴이스트 (NU`EST),The 2nd Album 'Romanticize',206188.0
2021-04,로제 (ROSE),R,73725.0
2021-04,로제 (ROSE),R (LP),42814.0
2021-04,방탄소년단,2 Cool 4 Skool,13567.0
2021-04,방탄소년단,BE,42407.0
2021-04,방탄소년단,DARK&WILD,14427.0
2021-04,방탄소년단,LOVE YOURSELF 承 `Her`,43186.0
2021-04,방탄소년단,LOVE YOURSELF 結 `Answer`,45056.0
2021-04,방탄소년단,LOVE YOURSELF 轉 `Tear`,50767.0
2021-04,방탄소년단,MAP OF THE SOUL : 7,35188.0
2021-04,방탄소년단,MAP OF THE SOUL : PERSONA,42038.0
2021-04,방탄소년단,"O!RUL8,2?",14086.0
2021-04,방탄소년단,Skool Luv Affair,14146.0
2021-04,방탄소년단,WINGS,26072.0
2021-04,방탄소년단,YOU NEVER WALK ALONE,24968.0
2021-04,방탄소년단,화양연화 Young Forever,26743.0
2021-04,방탄소년단,화양연화 pt.1,17276.0
2021-04,방탄소년단,화양연화 pt.2,22216.0
