year,units,market,음악서비스매출,용역매출,상ㆍ제품매출,합계,n_month,share,음악서비스매출_원장,용역매출_원장,상ㆍ제품매출_원장,합계_원장
2011,0.0,6575225.0,,,,,12,0.0,,,,
2012,15280.0,6960972.0,,,,,12,0.0021950957423762085,,,,
2013,0.0,8116904.0,,,,,12,0.0,,,,
2014,1139.0,7389225.0,,,,,12,0.00015414336415523955,,,,
2015,0.0,8419463.0,,,,,12,0.0,,,,
2016,0.0,10929939.0,,,,70363.034149,12,0.0,,,,
2017,0.0,17013027.0,,,,72462.525143,12,0.0,,,,
2018,78108.0,22806125.0,,,,102350.29708,12,0.003424869415562705,,,,1310368.9389051057
2019,865626.0,24776580.0,,,,124525.579024,12,0.034937267371041525,,,,143856.0983889116
2020,2791187.0,41255796.0,,,,107139.764398,12,0.06765563316242887,,,,38385.01841617921
2021,14302153.0,56452045.0,51717.848,21245.335,13473.883,154302.564002,12,0.25335048535442783,3616.0882910426144,1485.4641115921497,942.0877402164555,10788.764740665269
2022,23751803.0,76997887.0,88320.176,17657.061999999998,34144.364,140221.116,12,0.3084734390178785,3718.461962656056,743.3988063979815,1437.548298964925,5903.598813109051
2023,42955846.0,115959511.0,105801.05,31586.427,86229.52100000001,223637.117,12,0.37043831618089523,2463.018654084941,735.3231269150187,2007.3989696303506,5206.2091152854955
2024,29426085.0,93518424.0,94336.163,17370.466,73187.574,184902.894,12,0.31465548435675095,3205.868636619516,590.308428729136,2487.166539483591,6283.638955029186
2025,28404264.0,88484348.0,106597.765,26815.749,102463.277,236047.405,12,0.32100890882984184,3752.8789691575885,944.0747699007445,3607.3202600848945,8310.280632513484
2026,26663106.0,68301125.0,52783.308000000005,10693.362000000001,51328.953,115575.107,8,0.39037579542064643,1979.638381214852,401.05462581891254,1925.0927855141858,4334.64529601315
