q,units,market,albums,n_month,share,상ㆍ제품매출,용역매출,음악서비스매출,합계,rev_krwmn,ebit_krwmn,음악서비스매출_원장,용역매출_원장,상ㆍ제품매출_원장,합계_원장
2011Q1,0.0,1425892.0,,3,0.0,,,,,,,,,,
2011Q2,0.0,1394472.0,,3,0.0,,,,,,,,,,
2011Q3,0.0,1880918.0,,3,0.0,,,,,,,,,,
2011Q4,0.0,1873943.0,,3,0.0,,,,,,,,,,
2012Q1,15280.0,1616537.0,1.0,3,0.009452304525043349,,,,,,,,,,
2012Q2,0.0,1986465.0,,3,0.0,,,,,,,,,,
2012Q3,0.0,2118298.0,,3,0.0,,,,,,,,,,
2012Q4,0.0,1239672.0,,3,0.0,,,,,,,,,,
2013Q1,0.0,1841984.0,,3,0.0,,,,,,,,,,
2013Q2,0.0,1868655.0,,3,0.0,,,,,,,,,,
2013Q3,0.0,2545314.0,,3,0.0,,,,,,,,,,
2013Q4,0.0,1860951.0,,3,0.0,,,,,,,,,,
2014Q1,0.0,2034278.0,,3,0.0,,,,,,,,,,
2014Q2,0.0,1893874.0,,3,0.0,,,,,,,,,,
2014Q3,1139.0,1940032.0,1.0,3,0.0005871037178768185,,,,,,,,,,
2014Q4,0.0,1521041.0,,3,0.0,,,,,,,,,,
2015Q1,0.0,1536045.0,,3,0.0,,,,,,,,,,
2015Q2,0.0,2141725.0,,3,0.0,,,,,,,,,,
2015Q3,0.0,2207970.0,,3,0.0,,,,,,,,,,
2015Q4,0.0,2533723.0,,3,0.0,,,,,,,,,,
2016Q1,0.0,1492111.0,,3,0.0,,,,10653.069538,10653.069538,-1631.889278,,,,
2016Q2,0.0,3120115.0,,3,0.0,,,,22242.124485,22242.124485,-954.662167,,,,
2016Q3,0.0,1940133.0,,3,0.0,,,,19098.880803,19098.880803,-919.148806,,,,
2016Q4,0.0,4377580.0,,3,0.0,,,,18368.959323,18368.959323,-3255.052666,,,,
2017Q1,0.0,3301954.0,,3,0.0,,,,14221.164371,14221.164371,-1553.46771,,,,
2017Q2,0.0,2633415.0,,3,0.0,,,,21821.214908,21821.214908,-895.151573,,,,
2017Q3,0.0,5653001.0,,3,0.0,,,,17326.693482,17326.693482,-1219.376977,,,,
2017Q4,0.0,5424657.0,,3,0.0,,,,19093.452382,19093.452382,-2343.802127,,,,
2018Q1,1306.0,4123807.0,1.0,3,0.0003166976534061851,,,,15441.64235,15441.64235,-1402.587374,,,,11823615.88820827
2018Q2,0.0,6011385.0,,3,0.0,,,,28059.105005,28059.105005,124.38686,,,,
2018Q3,0.0,5548239.0,,3,0.0,,,,27677.257883,27677.257883,914.303254,,,,
2018Q4,76802.0,7122694.0,3.0,3,0.01078271788736116,,,,31172.291842,31172.291842,1171.318643,,,,405878.6469362777
2019Q1,118002.0,3659043.0,6.0,3,0.03224941603583232,,,,24021.081585,24021.081585,-1399.312019,,,,203565.0377535974
