artist,album,units,first,last,months
세븐틴,10th Mini Album `FML`,5605236.0,2023-04,2024-10,13
세븐틴,11th Mini Album `SEVENTEENTH HEAVEN`,5193466.0,2023-10,2025-12,20
방탄소년단,ARIRANG,4247766.0,2026-03,2026-07,3
세븐틴,4th Album `Face the Sun`,4244727.0,2022-05,2026-02,44
방탄소년단,Proof,3523184.0,2022-06,2024-06,10
세븐틴,12th Mini Album `SPILL THE FEELS`,3248618.0,2024-10,2025-09,4
방탄소년단,Butter,3182116.0,2021-07,2023-04,19
세븐틴,BEST ALBUM `17 IS RIGHT HERE`,3156828.0,2024-04,2024-09,6
세븐틴,9th Mini Album `Attacca`,3053072.0,2021-10,2026-01,46
BLACKPINK,BORN PINK,2937496.0,2022-09,2026-02,37
투모로우바이투게더,이름의 장: TEMPTATION,2878408.0,2023-01,2024-02,12
세븐틴,5th Album `HAPPY BURSTDAY`,2611156.0,2025-05,2026-05,6
CORTIS (코르티스),GREENGREEN,2602422.0,2026-05,2026-08,4
투모로우바이투게더,이름의 장: FREEFALL,2519851.0,2023-10,2024-05,2
정국,GOLDEN,2452099.0,2023-11,2026-08,30
BLACKPINK,DEADLINE,1990589.0,2026-02,2026-04,3
투모로우바이투게더,minisode 2: Thursday`s Child,1959827.0,2022-05,2025-06,22
NewJeans,2nd EP `Get Up`,1868129.0,2023-07,2026-08,28
CORTIS (코르티스),COLOR OUTSIDE THE LINES,1815905.0,2025-09,2026-08,11
투모로우바이투게더,별의 장: TOGETHER,1809788.0,2025-07,2025-08,2
세븐틴,4th Album Repackage `SECTOR 17`,1792687.0,2022-07,2025-08,21
투모로우바이투게더,minisode 3: TOMORROW,1749392.0,2024-04,2026-02,11
투모로우바이투게더,별의 장: SANCTUARY,1731674.0,2024-11,2025-05,4
세븐틴,8th Mini Album `Your Choice`,1711743.0,2021-06,2024-07,19
BLACKPINK,THE ALBUM,1707518.0,2020-10,2026-02,47
V,Layover,1704751.0,2023-09,2026-02,11
투모로우바이투게더,7TH YEAR: 가시덤불에 잠시 바람이 멈췄을 때,1704498.0,2026-04,2026-05,2
TREASURE (트레저),2ND FULL ALBUM `REBOOT`,1655077.0,2023-07,2023-12,5
LE SSERAFIM (르세라핌),UNFORGIVEN,1347117.0,2023-05,2023-12,5
투모로우바이투게더,혼돈의 장: FIGHT OR ESCAPE,1333177.0,2021-08,2024-05,32
&TEAM,Back to Life,1331733.0,2025-10,2025-12,3
지민,FACE,1327094.0,2023-03,2024-10,5
NewJeans,`OMG`,1281417.0,2023-01,2026-05,20
&TEAM,We on Fire,1278394.0,2026-04,2026-06,2
TWS (투어스),5th Mini Album `NO TRAGEDY`,1271220.0,2026-04,2026-08,5
NewJeans,1st EP `New Jeans`,1268339.0,2022-08,2026-08,41
