month,ygplus_units,albums,market_units,share
2011-01,,,564700.0,
2011-02,,,476217.0,
2011-03,,,384975.0,
2011-04,,,472184.0,
2011-05,,,447798.0,
2011-06,,,474490.0,
2011-07,,,486629.0,
2011-08,,,634723.0,
2011-09,,,759566.0,
2011-10,,,817552.0,
2011-11,,,623102.0,
2011-12,,,433289.0,
2012-01,11730.0,1.0,408326.0,0.028727046526549865
2012-02,3550.0,1.0,628200.0,0.005651066539318688
2012-03,,,580011.0,
2012-04,,,639925.0,
2012-05,,,783828.0,
2012-06,,,562712.0,
2012-07,,,859093.0,
2012-08,,,593409.0,
2012-09,,,665796.0,
2012-10,,,473127.0,
2012-11,,,456292.0,
2012-12,,,310253.0,
2013-01,,,832719.0,
2013-02,,,513894.0,
2013-03,,,495371.0,
2013-04,,,443057.0,
2013-05,,,677427.0,
2013-06,,,748171.0,
2013-07,,,724528.0,
2013-08,,,1051743.0,
2013-09,,,769043.0,
2013-10,,,625894.0,
2013-11,,,430366.0,
2013-12,,,804691.0,
2014-01,,,635926.0,
2014-02,,,740347.0,
2014-03,,,658005.0,
2014-04,,,305853.0,
2014-05,,,1117147.0,
2014-06,,,470874.0,
2014-07,1139.0,1.0,775123.0,0.0014694442043391824
2014-08,,,435775.0,
2014-09,,,729134.0,
2014-10,,,644615.0,
2014-11,,,461649.0,
2014-12,,,414777.0,
2015-01,,,320998.0,
2015-02,,,266584.0,
2015-03,,,948463.0,
2015-04,,,731352.0,
2015-05,,,548644.0,
2015-06,,,861729.0,
2015-07,,,1019744.0,
2015-08,,,673128.0,
2015-09,,,515098.0,
2015-10,,,719646.0,
2015-11,,,733699.0,
2015-12,,,1080378.0,
2016-01,,,451590.0,
2016-02,,,540891.0,
2016-03,,,499630.0,
2016-04,,,854842.0,
2016-05,,,1042314.0,
2016-06,,,1222959.0,
2016-07,,,494035.0,
2016-08,,,845763.0,
2016-09,,,600335.0,
2016-10,,,1842151.0,
2016-11,,,1097206.0,
2016-12,,,1438223.0,
2017-01,,,722429.0,
2017-02,,,1547414.0,
2017-03,,,1032111.0,
2017-04,,,773340.0,
2017-05,,,1075686.0,
2017-06,,,784389.0,
2017-07,,,1533688.0,
2017-08,,,1844711.0,
2017-09,,,2274602.0,
2017-10,,,1815993.0,
2017-11,,,2159082.0,
2017-12,,,1449582.0,
2018-01,,,1188808.0,
2018-02,,,785322.0,
2018-03,1306.0,1.0,2149677.0,0.0006075331317216494
2018-04,,,1885424.0,
2018-05,,,2306746.0,
2018-06,,,1819215.0,
2018-07,,,1499033.0,
2018-08,,,2884893.0,
2018-09,,,1164313.0,
2018-10,,,1372353.0,
2018-11,,,3649936.0,
2018-12,76802.0,3.0,2100405.0,0.03656532906748936
2019-01,80297.0,5.0,1446558.0,0.05550900828034548
2019-02,19650.0,6.0,1003524.0,0.019580996568094037
2019-03,18055.0,3.0,1208961.0,0.014934311363228425
2019-04,255451.0,2.0,5221725.0,0.04892080682150056
2019-05,142712.0,4.0,1817755.0,0.07851003022959639
2019-06,28559.0,4.0,1853425.0,0.015408770249672903
2019-07,83298.0,3.0,2735625.0,0.030449348869088417
2019-08,68705.0,4.0,1505928.0,0.04562303111436935
2019-09,21071.0,5.0,1840974.0,0.011445571746260404
2019-10,101981.0,5.0,2694941.0,0.03784164477070184
2019-11,31354.0,3.0,2194116.0,0.014290037536757401
2019-12,14493.0,3.0,1253048.0,0.011566196985271116
2020-01,47554.0,4.0,1043681.0,0.04556373068015993
2020-02,71073.0,4.0,5469816.0,0.012993672913311893
2020-03,14133.0,3.0,2068220.0,0.0068334123062343466
2020-04,124908.0,4.0,1752124.0,0.07128947494583716
2020-05,17239.0,4.0,2842768.0,0.006064160001801062
2020-06,18952.0,2.0,4765120.0,0.003977234571217514
2020-07,324172.0,4.0,2548880.0,0.12718213489846522
2020-08,244751.0,5.0,2180400.0,0.11225050449458815
2020-09,253157.0,4.0,2824483.0,0.0896295003368758
2020-10,1129913.0,7.0,6647726.0,0.1699698513446553
2020-11,497196.0,6.0,5972105.0,0.08325305733907894
2020-12,48139.0,6.0,3140473.0,0.015328582668916435
2021-01,431688.0,8.0,2282069.0,0.18916518299841065
2021-02,39002.0,5.0,2667994.0,0.014618473654738354
2021-03,510370.0,7.0,4077000.0,0.12518273240127545
2021-04,980862.0,31.0,4559954.0,0.21510348569305743
2021-05,991818.0,28.0,4877790.0,0.2033334768409464
2021-06,1813800.0,28.0,6469540.0,0.280359963768676
2021-07,2925313.0,29.0,4724703.0,0.6191527806086435
2021-08,1324219.0,31.0,5133837.0,0.2579394320466349
2021-09,1514582.0,34.0,6104276.0,0.24811820435380053
2021-10,2573420.0,31.0,6423373.0,0.4006337480323811
2021-11,537374.0,30.0,5023343.0,0.10697537476537039
2021-12,659705.0,37.0,4108166.0,0.16058382256218467
2022-01,656280.0,37.0,3866615.0,0.1697298541489132
2022-02,1211514.0,37.0,2832669.0,0.4276934580072716
2022-03,665820.0,31.0,6728943.0,0.09894867589159248
2022-04,436319.0,32.0,4040327.0,0.10799101161861403
2022-05,4733506.0,34.0,9083623.0,0.5211033086687988
2022-06,3650876.0,22.0,7339122.0,0.49745405513084534
2022-07,2910442.0,36.0,10558190.0,0.2756572859552632
2022-08,1366596.0,36.0,6340082.0,0.21554863170539434
2022-09,2988486.0,31.0,7283621.0,0.4103022384058698
2022-10,2384751.0,30.0,8749539.0,0.2725573313062551
2022-11,1069622.0,26.0,4321670.0,0.24750200732587171
2022-12,1677591.0,42.0,5853486.0,0.2865969099439206
2023-01,3911964.0,39.0,7368457.0,0.5309068099332058
2023-02,2747419.0,34.0,5883473.0,0.466972313801729
2023-03,3838436.0,42.0,7930414.0,0.48401457981890983
2023-04,6233719.0,44.0,10208302.0,0.6106518988172568
2023-05,3481863.0,40.0,9929518.0,0.35065780635072114
2023-06,1963736.0,29.0,12150670.0,0.16161545001222155
2023-07,4261351.0,44.0,13994627.0,0.3044990766813578
2023-08,1653529.0,35.0,8590434.0,0.19248491985387467
2023-09,3053263.0,34.0,6532058.0,0.467427417209094
2023-10,8573143.0,26.0,14660886.0,0.584762953616855
2023-11,2857599.0,17.0,14854576.0,0.1923716301293285
2023-12,379824.0,40.0,3856096.0,0.09849962241603943
2024-01,782629.0,36.0,5081607.0,0.1540121068000733
2024-02,2138843.0,34.0,5934072.0,0.3604342852597677
2024-03,999355.0,23.0,6189813.0,0.16145156566119204
2024-04,6389261.0,27.0,12477381.0,0.5120674763397863
2024-05,2392942.0,25.0,8156070.0,0.2933939998062792
2024-06,2820558.0,35.0,6917755.0,0.4077273624174317
2024-07,1723837.0,39.0,10926221.0,0.15777065098719859
2024-08,1256413.0,34.0,5175897.0,0.2427430453117595
2024-09,1420693.0,28.0,6631951.0,0.21421946573489462
2024-10,4069639.0,27.0,9057565.0,0.4493082853945845
2024-11,4606201.0,24.0,11901534.0,0.3870258237299494
2024-12,825714.0,38.0,5068558.0,0.16290905618521087
2025-01,1138910.0,35.0,2909248.0,0.39147917262467824
2025-02,1829187.0,34.0,6975920.0,0.26221444626658563
2025-03,3093072.0,35.0,7203177.0,0.4294038588806023
2025-04,1167100.0,31.0,4599917.0,0.25372196933118574
2025-05,5561118.0,26.0,12176670.0,0.45670269457905976
2025-06,678244.0,26.0,7516131.0,0.09023844847834611
2025-07,3029612.0,25.0,8118114.0,0.3731916058335717
2025-08,401398.0,26.0,6985828.0,0.05745890107801108
2025-09,2811729.0,25.0,11177394.0,0.25155496889525414
